ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
かきりなき,なにおふふちの,はななれは,そこひもしらぬ,いろのふかさか
いろふかく,にほひしことは,ふちなみの,たちもかへらて,きみとまれとか
さをさせと,ふかさもしらぬ,ふちなれは,いろをはひとも,しらしとそおもふ
きのふみし,はなのかほとて,けさみれは,ねてこそさらに,いろまさりけれ
ひとよのみ,ねてしかへらは,ふちのはな,こころとけたる,いろみせむやは
あさほらけ,したゆくみつは,あさけれと,ふかくそはなの,いろはみえける
うくひすの,いとによるてふ,たまやなき,ふきなみたりそ,はるのやまかせ
いつのまに,ちりはてぬらむ,さくらはな,おもかけにのみ,いろをみせつつ
ちることの,うきもわすれて,あはれてふ,ことをさくらに,やとしつるかな
さくらいろに,きたるころもの,ふかけれは,すくるはるひも,をしけくもなし
あまりさへ,ありてゆくへき,としたにも,はるにかならす,あふよしもかな
つねよりも,のとけかるへき,はるなれは,ひかりにひとの,あはさらめやは
きみこすて,としはくれにき,たちかへり,はるさへけふに,なりにけるかな
ともにこそ,はなをもみめと,まつひとの,こぬものゆゑに,をしきはるかな
きみにたに,とはれてふれは,ふちのはな,たそかれときも,しらすそありける
やへむくら,こころのうちに,ふかけれは,はなみにゆかむ,いてたちもせす
をしめとも,はるのかきりの,けふのまた,ゆふくれにさへ,なりにけるかな
ゆくさきを,をしみしはるの,あすよりは,きにしかたにも,なりぬへきかな
ゆくさきに,なりもやすると,たのみしを,はるのかきりは,けふにそありける
はなしあらは,なにかははるの,をしからむ,くるともけふは,なけかさらまし
くれてまた,あすとたになき,はるのひを,はなのかけにて,けふはくらさむ
またもこむ,ときそとおもへと,たのまれぬ,わかみにしあれは,をしきはるかな
けふよりは,なつのころもに,なりぬれと,きるひとさへは,かはらさりけり
うのはなの,さけるかきねの,つききよみ,いねすきけとや,なくほとときす
ほとときす,きゐるかきねは,ちかなから,まちとほにのみ,こゑのきこえぬ
ほとときす,こゑまつほとは,とほからて,しのひになくを,きかぬなるらむ
うらめしき,きみかかきねの,うのはなは,うしとみつつも,なほたのむかな
うきものと,おもひしりなは,うのはなの,さけるかきねも,たつねさらまし
ときわかす,ふれるゆきかと,みるまてに,かきねもたわに,さけるうのはな
しろたへに,にほふかきねの,うのはなの,うくもきてとふ,ひとのなきかな
ときわかす,つきかゆきかと,みるまてに,かきねのままに,さけるうのはな
なきわひぬ,いつちかゆかむ,ほとときす,なほうのはなの,かけははなれし
あひみしも,またみぬこひも,ほとときす,つきになくよそ,よににさりける
ありとのみ,おとはのやまの,ほとときす,ききにきこえて,あはすもあるかな
こかくれて,さつきまつとも,ほとときす,はねならはしに,えたうつりせよ
いひそめし,むかしのやとの,かきつはた,いろはかりこそ,かたみなりけれ
ゆきかへる,やそうちひとの,たまかつら,かけてそたのむ,あふひてふなを
ゆふたすき,かけてもいふな,あたひとの,あふひてふなは,みそきにそせし
このころは,さみたれちかみ,ほとときす,おもひみたれて,なかぬひそなき
まつひとは,たれならなくに,ほとときす,おもひのほかに,なかはうからむ
にほひつつ,ちりにしはなそ,おもほゆる,なつはみとりの,はのみしけれは
さみたれに,はるのみやひと,くるときは,ほとときすをや,うくひすにせむ
みしかよの,ふけゆくままに,たかさこの,みねのまつかせ,ふくかとそきく
あしひきの,やましたみつは,ゆきかよひ,ことのねにさへ,なかるへらなり
なつのよは,あふなのみして,しきたへの,ちりはらふまに,あけそしにける
ゆめよりも,はかなきものは,なつのよの,あかつきかたの,わかれなりけり
よそなから,おもひしよりも,なつのよの,みはてぬゆめそ,はかなかりける
ふたこゑと,きくとはなしに,ほとときす,よふかくめをも,さましつるかな
あふとみし,ゆめにならひて,なつのひの,くれかたきをも,なけきつるかな
うとまるる,こころしなくは,ほとときす,あかぬわかれに,けさはけなまし
をりはへて,ねをのみそなく,ほとときす,しけきなけきの,えたことにゐて
ほとときす,きてはたひとや,なきわたる,われはわかれの,をしきみやこを
ひとりゐて,ものおもふわれを,ほとときす,ここにしもなく,こころあるらし
たまくしけ,あけつるほとの,ほとときす,たたふたこゑも,なきてこしかな
かすならぬ,わかみやまへの,ほとときす,このはかくれの,こゑはきこゆや
とこなつに,なきてもへなむ,ほとときす,しけきみやまに,なにかへるらむ
ふすからに,まつそわひしき,ほとときす,なきもはてぬに,あくるよなれは
さみたれに,なかめくらせる,つきなれは,さやにもみえす,くもかくれつつ
ふたはより,わかしめゆひし,なてしこの,はなのさかりを,ひとにをらすな
あしひきの,やまほとときす,うちはへて,たれかまさると,ねをのみそなく
つれつれと,なかむるそらの,ほとときす,とふにつけてそ,ねはなかれける
いろかへぬ,はなたちはなに,ほとときす,ちよをならせる,こゑきこゆなり
たひねして,つまこひすらし,ほとときす,かむなひやまに,さよふけてなく
なつのよに,こひしきひとの,かをとめは,はなたちはなそ,しるへなりける
ほとときす,はつかなるねを,ききそめて,あらぬもそれと,おほめかれつつ
さみたれの,つつけるとしの,なかめには,ものおもひあへる,われそわひしき
ほとときす,ひとこゑにあくる,なつのよの,あかつきかたや,あふこなるらむ
うちはへて,ねをなきくらす,うつせみの,むなしきこひも,われはするかな
つねもなき,なつのくさはに,おくつゆを,いのちとたのむ,せみのはかなさ
やへむくら,しけきやとには,なつむしの,こゑよりほかに,とふひともなし
うつせみの,こゑきくからに,ものそおもふ,われもむなしき,よにしすまへは
いかかせむ,をくらのやまの,ほとときす,おほつかなしと,ねをのみそなく
ほとときす,あかつきかたの,ひとこゑは,うきよのなかを,すくすなりけり
ひとしれす,わかしめしのの,とこなつは,はなさきぬへき,ときそきにける
わかやとの,かきねにうゑし,なてしこは,はなにさかなむ,よそへつつみむ
とこなつの,はなをたにみは,ことなしに,すくすつきひも,みしかかりなむ
とこなつに,おもひそめては,ひとしれぬ,こころのほとは,いろにみえなむ
いろといへは,こきもうすきも,たのまれす,やまとなてしこ,ちるよなしやは
なてしこは,いつれともなく,にほへとも,おくれてさくは,あはれなりけり
なてしこの,はなちりかたに,なりにけり,わかまつあきそ,ちかくなるらし
よひなから,ひるにもあらなむ,なつなれは,まちくらすまの,ほとなかるへき
なつのよの,つきはほとなく,あけぬれは,あしたのまをそ,かこちよせつる
かささきの,みねとひこえて,なきゆけは,なつのよわたる,つきそかくるる
