ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
あらかりし,なみのこころは,つらけれと,すこしによせし,こゑそこひしき
いつかたに,たちかくれつつ,みよとてか,おもひくまなく,ひとのなりゆく
つらきをも,うきをもよそに,みしかとも,わかみにちかき,よにこそありけれ
ふちはせに,なりかはるてふ,あすかかは,わたりみてこそ,しるへかりけれ
いとはるる,みをうれはしみ,いつしかと,あすかかはをも,たのむへらなり
あすかかは,せきてととむる,ものならは,ふちせになると,なにかいはせむ
あしたつの,さはへにとしは,へぬれとも,こころはくもの,うへにのみこそ
あしたつの,くもゐにかかる,こころあらは,よをへてさはに,すますそあらまし
まつやまに,つらきなからも,なみこさむ,ことはさすかに,かなしきものを
よひのまに,はやなくさめよ,いそのかみ,ふりにしとこも,うちはらふへく
わたつみと,あれにしとこを,いまさらに,はらははそてや,あわとうきなむ
しほのまに,あさりするあまも,おのかよよ,かひありとこそ,おもふへらなれ
あちきなく,なとかまつやま,なみこさむ,ことをはさらに,おもひはなるる
きしもなく,しほしみちなは,まつやまを,したにてなみは,こさむとそおもふ
よとともに,なけきこりつむ,みにしあれは,なそやまもりの,あるかひもなき
ひとしれぬ,わかものおもひの,なみたをは,そてにつけてそ,みすへかりける
やまのはに,かかるおもひの,たえさらは,くもゐなからも,あはれとおもはむ
なきなかす,なみたのいとと,そひぬれは,はかなきみつも,そてぬらしけり
ゆめのこと,はかなきものは,なかりけり,なにとてひとに,あふとみつらむ
おもひねの,よなよなゆめに,あふことを,たたかたときの,うつつともかな
ときのまの,うつつをしのふ,こころこそ,はかなきゆめに,まさらさりけれ
たまつしま,ふかきいりえを,こくふねの,うきたるこひも,われはするかな
つのくにの,なにはたたまく,をしみこそ,すくもたくひの,したにこかるれ
ゆめちにも,やとかすひとの,あらませは,ねさめにつゆは,はらはさらまし
なみたかは,なかすねさめも,あるものを,はらふはかりの,つゆやなになり
みるめかる,かたそあふみに,なしときく,たまもをさへや,あまはかつかぬ
なのみして,あふことなみの,しけきまに,いつかたまもを,あまはかつかむ
かつらきや,くめちのはしに,あらはこそ,おもふこころを,なかそらにせめ
かくれぬに,すむをしとりの,こゑたえす,なけとかひなき,ものにそありける
つくはねの,みねよりおつる,みなのかは,こひそつもりて,ふちとなりける
かりかねの,くもゐはるかに,きこえしは,いまはかきりの,こゑにそありける
いまはとて,ゆきかへりぬる,こゑならは,おひかせにても,きこえましやは
こころから,うきたるふねに,のりそめて,ひとひもなみに,ぬれぬひそなき
わすれなむと,おもふこころの,やすからは,つれなきひとを,うらみましやは
ちはやふる,かみひきかけて,ちかひてし,こともゆゆしく,あらかふなゆめ
おもひには,われこそいりて,まとはるれ,あやなくきみや,すすしかるへき
あらたまの,としもこえぬる,まつやまの,なみのこころは,いかかなるらむ
わかためは,いととあさくや,なりぬらむ,のなかのしみつ,ふかさまされは
あふみちを,しるへなくても,みてしかな,せきのこなたは,わひしかりけり
みちしらて,やみやはしなぬ,あふさかの,せきのあなたは,うみといふなり
つれなきを,おもひしのふの,さねかつら,はてはくるをも,いとふなりけり
いまさらに,おもひいてしと,しのふるを,こひしきにこそ,わすれわひぬれ
わかためは,みるかひもなし,わすれくさ,わするはかりの,こひにしあらねは
あひみても,つつむおもひの,わひしきは,ひとまにのみそ,ねはなかれける
をやまたの,なはしろみつは,たえぬとも,こころのいけの,いひははなたし
ちよへむと,ちきりおきてし,ひめまつの,ねさしそめてし,やとはわすれし
これをみよ,ひともすさへぬ,こひすとて,ねをなくむしの,なれるすかたを
あひみては,なくさむやとそ,おもひしに,なこりしもこそ,こひしかりけれ
わかこひの,かすをかそへは,あまのはら,くもりふたかり,ふるあめのこと
うちかへし,みまくそほしき,ふるさとの,やまとなてしこ,いろやかはれる
やまひこの,こゑにたてても,としはへぬ,わかものおもひを,しらぬひときけ
たまもかる,あまにはあらねと,わたつみの,そこひもしらす,いるこころかな
みるもなく,めもなきうみの,いそにいてて,かへるかへるも,うらみつるかな
こりすまの,うらのしらなみ,たちいてて,よるほともなく,かへるはかりか
せきこえて,あはつのもりの,あはすとも,しみつにみえし,かけをわするな
ちかけれは,なにかはしるし,あふさかの,せきのほかそと,おもひたえなむ
いまはとて,こすゑにかかる,うつせみの,からをみむとは,おもはさりしを
わすらるる,みをうつせみの,からころも,かへすはつらき,こころなりけり
かけにたに,みえもやすると,たのみつる,かひなくこひを,ますかかみかな
あしひきの,やまたのそほつ,うちわひて,ひとりかへるの,ねをそなきぬる
たねはあれと,あふことかたき,いはのうへの,まつにてとしを,ふるはかひなし
ひたすらに,いとひはてぬる,ものならは,よしののやまに,ゆくへしられし
わかやとと,たのむよしのに,きみしいらは,おなしかさしを,さしこそはせめ
くれなゐに,そてをのみこそ,そめてけれ,きみをうらむる,なみたかかりて
くれなゐに,なみたうつると,ききしをは,なといつはりと,われおもひけむ
くれなゐに,なみたしこくは,みとりなる,そてももみちと,みえましものを
いにしへの,のなかのしみつ,みるからに,さしくむものは,なみたなりけり
あまくもの,はるるよもなく,ふるものは,そてのみぬるる,なみたなりけり
あふことの,かたふたかりて,きみこすは,おもふこころの,たかふはかりそ
ときはにと,たのめしことは,まつほとの,ひさしかるへき,なにこそありけれ
こさまさる,なみたのいろも,かひそなき,みすへきひとの,このよならねは
すみよしの,きしにきよする,おきつなみ,まなくかけても,おもほゆるかな
すみのえの,めにちかからは,きしにゐて,なみのかすをも,よむへきものを
こひてへむと,おもふこころの,わりなさは,しにてもしれよ,わすれかたみに
もしもやと,あひみむことを,たのますは,かくふるほとに,まつそけなまし
あふとたに,かたみにみゆる,ものならは,わするるほとも,あらましものを
おとにのみ,こゑをきくかな,あしひきの,やましたみつに,あらぬものから
あきとてや,いまはかきりの,たちぬらむ,おもひにあへぬ,ものならなくに
みしゆめの,おもひいてらるる,よひことに,いはぬをしるは,なみたなりけり
しらつゆの,おきてあひみぬ,ことよりは,きぬかへしつつ,ねなむとそおもふ
ことのはは,なけなるものと,いひなから,おもはぬためは,きみもしるらむ
しらなみの,うちいつるはまの,はまちとり,あとやたつぬる,しるへなるらむ
おほしまに,みつをはこひし,はやふねの,はやくもひとに,あひみてしかな
ひたふるに,おもひなわひそ,ふるさるる,ひとのこころは,それそよのつね
よのつねの,ひとのこころを,またみねは,なにかこのたひ,けぬへきものを
すみそめの,くらまのやまに,いるひとは,たとるたとるも,かへりきななむ
ひをへても,かけにみゆるは,たまかつら,つらきなからも,たえぬなりけり
たかさこの,まつをみとりと,みしことは,したのもみちを,しらぬなりけり
ときわかぬ,まつのみとりも,かきりなき,おもひにはなほ,いろやもゆらむ
みつとりの,はかなきあとに,としをへて,かよふはかりの,えにこそありけれ
なみのうへに,あとやはみゆる,みつとりの,うきてへぬらむ,としはかすかは
なかれよる,せせのしらなみ,あさけれは,とまるいなふね,かへるなるへし
もかみかは,ふかきにもあへす,いなふねの,こころかろくも,かへるなるかな
はなすすき,ほにいつることも,なきものを,またきふきぬる,あきのかせかな
またさりし,あきはきぬれと,みしひとの,こころはよそに,なりもゆくかな
きみをおもふ,こころなかさは,あきのよに,いつれまさると,そらにしらなむ
かかみやま,あけてきつれは,あききりの,けさやたつらむ,あふみてふなは
えたもなく,ひとにをらるる,をみなへし,ねをたにのこせ,うゑしわかため
あきのたの,かりそめふしも,してけるか,いたつらいねを,なににつままし
あきかせの,ふくにつけても,とはぬかな,をきのはならは,おとはしてまし
きみみすて,いくよへぬらむ,としつきの,ふるとともにも,おつるなみたか
なかなかに,おもひかけては,からころも,みになれぬをそ,うらむへらなる
うらむとも,かけてこそみめ,からころも,みになれぬれは,ふりぬとかきく
なけけとも,かひなかりけり,よのなかに,なににくやしく,おもひそめけむ
こぬひとを,まつのえにふる,しらゆきの,きえこそかへれ,くゆるおもひに
きくのはな,うつるこころを,おくしもに,かへりぬへくも,おもほゆるかな
いまはとて,うつりはてにし,きくのはな,かへるいろをは,たれかみるへき
なかめして,もりもわひぬる,ひとめかな,いつかくもまの,あらむとすらむ
おなしくは,きみとならひの,いけにこそ,みをなけつとも,ひとにきかせめ
かけろふの,ほのめきつれは,ゆふくれの,ゆめかとのみそ,みをたとりつる
ほのみても,めなれにけりと,きくからに,ふしかへりこそ,しなまほしけれ
あふみてふ,かたのしるへも,えてしかな,みるめなきこと,ゆきてうらみむ
あふさかの,せきともらるる,われなれは,あふみてふらむ,かたもしられす
あしひきの,やましたみつの,こかくれて,たきつこころを,せきそかねつる
こかくれて,たきつやまみつ,いつれかは,めにしもみゆる,おとにこそきけ
あかつきの,なからましかは,しらつゆの,おきてわひしき,わかれせましや
おきてゆく,ひとのこころを,しらつゆの,われこそまつは,おもひきえぬれ
たかさこの,まつといひつつ,としをへて,かはらぬいろと,きかはたのまむ
かせをいたみ,くゆるけふりの,たちいてても,なほこりすまの,うらそこひしき
いはねとも,わかかきりなき,こころをは,くもゐにとほき,ひともしらなむ
きみかねに,くらふのやまの,ほとときす,いつれあたなる,こゑまさるらむ
こひてぬる,ゆめちにかよふ,たましひの,なるるかひなく,うとききみかな
かかりひに,あらぬおもひの,いかなれは,なみたのかはに,うきてもゆらむ
まちくらす,ひはすかのねに,おもほえて,あふよしもなと,たまのをならむ
はかなかる,ゆめのしるしに,はかられて,うつつにまくる,みとやなりなむ
おもひねの,ゆめといひても,やみなまし,なかなかなにに,ありとしりけむ
いつしかの,ねになきかへり,こしかとも,のへのあさちは,いろつきにけり
ひきまゆの,かくふたこもり,せまほしみ,くはこきたれて,なくをみせはや
せきやまの,みねのすきむら,すきゆけと,あふみはなほそ,はるけかりける
おもひいてて,おとつれしける,やまひこの,こたへにこりぬ,こころなになり
まとろまぬ,ものからうたて,しかすかに,うつつにもあらぬ,ここちのみする
うつつにも,あらぬこころは,ゆめなれや,みてもはかなき,ものをおもへは
かきりなく,おもひいりひの,ともにのみ,にしのやまへを,なかめやるかな
きみかなの,たつにとかなき,みなりせは,おほよそひとに,なしてみましや
たえぬると,みれはあひぬる,しらくもの,いとおほよそに,おもはすもかな
けふそへに,くれさらめやはと,おもへとも,たへぬはひとの,こころなりけり
いとかくて,やみぬるよりは,いなつまの,ひかりのまにも,きみをみてしか
いたつらに,たちかへりにし,しらなみの,なこりにそての,ひるときもなし
なににかは,そてのぬるらむ,しらなみの,なこりありけも,みえぬこころを
ちかひても,なほおもふには,まけにけり,たかためをしき,いのちならねは
なにはめに,みつとはなしに,あしのねの,よのみしかくて,あくるわひしさ
かへるへき,かたもおほえす,なみたかは,いつれかわたる,あさせなるらむ
なみたかは,いかなるせより,かへりけむ,みなるるみをも,あやしかりしを
いけみつの,いひいつることの,かたけれは,みこもりなから,としそへにける
いせのうみに,あそふあまとも,なりにしか,なみかきわけて,みるめかつかむ
おほろけの,あまやはかつく,いせのうみの,なみたかきうらに,おふるみるめは
つらしとや,いひはててまし,しらつゆの,ひとにこころは,おかしとおもふを
なからへは,ひとのこころも,みるへきに,つゆのいのちそ,かなしかりける
ひとりぬる,ときはまたるる,とりのねも,まれにあふよは,わひしかりけり
うつせみの,むなしきからに,なるまても,わすれむとおもふ,われならなくに
いつまての,はかなきひとの,ことのはか,こころのあきの,かせをまつらむ
うたたねの,ゆめはかりなる,あふことを,あきのよすから,おもひつるかな
あきのよの,くさのとさしの,わひしきは,あくれとあけぬ,ものにそありける
いふからに,つらさそまさる,あきのよの,くさのとさしに,さはるへしやは
ひとしれす,ものおもふころの,わかそては,あきのくさはに,おとらさりけり
しつはたに,おもひみたれて,あきのよの,あくるもしらす,なけきつるかな
はちすはの,うへはつれなき,うらにこそ,ものあらかひは,つくといふなれ
ふりやめは,あとたにみえぬ,うたかたの,きえてはかなき,よをたのむかな
あはてのみ,あまたのよをも,かへるかな,ひとめのしけき,あふさかにきて
なひくかた,ありけるものを,なよたけの,よにへぬものと,おもひけるかな
ねになけは,ひとわらへなり,くれたけの,よにへぬをたに,かちぬとおもはむ
いせのあまと,きみしなりなは,おなしくは,こひしきほとに,みるめからせよ
こひしくは,かけをたにみて,なくさめよ,わかうちとけて,しのふかほなり
かけみれは,いととこころそ,まとはるる,ちかからぬけの,うときなりけり
ひとことの,うきをもしらす,ありかせし,むかしなからの,わかみともかな
ほとときす,なつきそめてし,かひもなく,こゑをよそにも,ききわたるかな
つねよりも,おきうかりつる,あかつきは,つゆさへかかる,ものにそありける
おくしもの,あかつきおきを,おもはすは,きみかよとのに,よかれせましや
しもおかぬ,はるよりのちの,なかめにも,いつかはきみか,よかれせさりし
いせのうみの,あまのまてかた,いとまなみ,なからへにける,みをそうらむる
あふことの,かたのへとてそ,われはゆく,みをおなしなに,おもひなしつつ
きみかあたり,くもゐにみつつ,みやちやま,うちこえゆかむ,みちもしらなく
おもふてふ,ことのはいかに,なつかしな,のちうきものと,おもはすもかな
おもふてふ,ことこそうけれ,くれたけの,よにふるひとの,いはぬなけれは
おもはむと,われをたのめし,ことのはは,わすれくさとそ,いまはなるらし
いままても,きえてありつる,つゆのみは,おくへきやとの,あれはなりけり
ことのはも,みなしもかれに,なりゆくは,つゆのやとりも,あらしとそおもふ
わすれむと,いひしことにも,あらなくに,いまはかきりと,おもふものかは
うつつには,ふせとねられす,おきかへり,きのふのゆめを,いつかわすれむ
ささらなみ,まなくたつめる,うらをこそ,よにあさしとも,みつつわすれめ
いせのうみの,ちひろのはまに,ひろふとも,いまはなにてふ,かひかあるへき
わすれねと,いひしにかなふ,きみなれと,とはぬはつらき,ものにそありける
はるかすみ,はかなくたちて,わかるとも,かせよりほかに,たれかとふへき
めにみえぬ,かせにこころを,たくへつつ,やらはかすみの,わかれこそせめ
ふかみとり,そめけむまつの,えにしあらは,うすきそてにも,なみはよせてむ
まつやまの,すゑこすなみの,えにしあらは,きみかそてには,あともとまらし
ふかくおもひ,そめつといひし,ことのはは,いつかあきかせ,ふきてちりぬる
ひとをのみ,うらむるよりは,こころから,これいまさりし,つみとおもはむ
あしひきの,やましたしけく,ゆくみつの,なかれてかくし,とははたのまむ
わひはつる,ときさへものの,かなしきは,いつこをしのふ,こころなるらむ
いなせとも,いひはなたれす,うきものは,みをこころとも,せぬよなりけり
こすやあらむ,きやせむとのみ,かはきしの,まつのこころを,おもひやらなむ
しひてゆく,こまのあしをる,はしをたに,なとわかやとに,わたささりけむ
としをへて,いけるかひなき,わかみをは,なにかはひとに,ありとしられむ
あさりする,ときそわひしき,ひとしれす,なにはのうらに,すまふわかみは
なかめつつ,ひとまつよひの,よふことり,いつかたへとか,ゆきかへるらむ
ひとことの,たのみかたさは,なにはなる,あしのうらはの,うらみつへしな
ひとはかる,こころのくまは,きたなくて,きよきなきさを,いかてすきけむ
たかために,われかいのちを,なかはまの,うらにやとりを,しつつかはこし
せきもあへす,ふちにそまよふ,なみたかは,わたるてふせを,しるよしもかな
ふちなから,ひとかよはさし,なみたかは,わたらはあさき,せをもこそみれ
きてかへる,なをのみそたつ,からころも,したゆふひもの,こころとけねは
たえぬとも,なにおもひけむ,なみたかは,なかれあふせも,ありけるものを
いまははや,みやまをいてて,ほとときす,けちかきこゑを,われにきかせよ
ひとはいさ,みやまかくれの,ほとときす,ならはぬさとは,すみうかるへし
ありしたに,うかりしものを,あかすとて,いつこにそふる,つらさなるらむ
おもひわひ,きみかつらきに,たちよらは,あめもひとめも,もらささらなむ
ふえたけの,もとのふるねは,かはるとも,おのかよよには,ならすもあらなむ
めもみえす,なみたのあめの,しくるれは,みのぬれきぬは,ひるよしもなし
にくからぬ,ひとのきせけむ,ぬれきぬは,おもひにあへす,いまかわきなむ
おほかたは,せとたにかけし,あまのかは,ふかきこころを,ふちとたのまむ
ふちとても,たのみやはする,あまのかは,としにひとたひ,わたるてふせを
みのならむ,ことをもしらす,こくふねは,なみのこころも,つつまさりけり
わひぬれは,いまはたおなし,なにはなる,みをつくしても,あはむとそおもふ
いかにして,かくおもふてふ,ことをたに,ひとつてならて,きみにかたらむ
もろともに,いさといはすは,してのやま,こゆともこさむ,ものならなくに
かくはかり,ふかきいろにも,うつろふを,なほきみきくの,はなといはなむ
いさやまた,ひとのこころも,しらつゆの,おくにもとにも,そてのみそひつ
よるしほの,みちくるそらも,おもほえす,あふことなみに,かへるとおもへは
かすならぬ,みはやまのはに,あらねとも,おほくのつきを,すくしつるかな
たのめつつ,あはてとしふる,いつはりに,こりぬこころを,ひとはしらなむ
なつむしの,しるしるまよふ,おもひをは,こりぬかなしと,たれかみさらむ
うちわひて,よははむこゑに,やまひこの,こたへぬやまは,あらしとそおもふ
やまひこの,こゑのまにまに,とひゆかは,むなしきそらに,ゆきやかへらむ
あらたまの,としのみとせは,うつせみの,むなしきねをや,なきてくらさむ
なかれいつる,なみたのかはの,ゆくすゑは,つひにあふみの,うみとたのまむ
あめふれと,ふらねとぬるる,わかそての,かかるおもひに,かわかぬやなそ
つゆはかり,ぬるらむそての,かわかぬは,きみかおもひの,ほとやすくなき
つねよりも,まとふまとふそ,かへりつる,あふみちもなき,やとにゆきつつ
ぬれつつも,くるとみえしは,なつひきの,てひきにたえぬ,いとにやありけむ
かすならぬ,みはうきくさと,なりななむ,つれなきひとに,よるへしられし
ゆふやみは,みちもみえねと,ふるさとは,もとこしこまに,まかせてそくる
こまにこそ,まかせたりけれ,あやなくも,こころのくると,おもひけるかな
いつかたに,ことつてやりて,かりかねの,あふことまれに,いまはなるらむ
ありとたに,きくへきものを,あふさかの,せきのあなたそ,はるけかりける
せきもりか,あらたまるてふ,あふさかの,ゆふつけとりは,なきつつそゆく
ゆきかへり,きてもきなかむ,あふさかの,せきにかはれる,ひともありやと
もるひとの,あるとはきけと,あふさかの,せきもととめぬ,わかなみたかな
かつらきや,くめちにわたす,いははしの,なかなかにても,かへりぬるかな
なかたえて,くるひともなき,かつらきの,くめちのはしは,いまもあやふし
しらくもの,みなひとむらに,みえしかと,たちいててきみを,おもひそめてき
よそなれと,こころはかりは,かけたるを,なとかおもひに,かわかさるらむ
わかこひの,きゆるまもなく,くるしきは,あはぬなけきや,もえわたるらむ
きえすのみ,もゆるおもひは,とほけれと,みもこかれぬる,ものにそありける
うへにのみ,おろかにもゆる,かやりひの,よにもそこには,おもひこかれし
かはとのみ,わたるをみるに,なくさまて,くるしきことそ,いやまさりなる
みつまさる,ここちのみして,わかために,うれしきせをは,みせしとやする
あふことを,よとにありてふ,みつのもり,つらしときみを,みつるころかな
みつのもり,もるこのころの,なかめには,うらみもあへす,よとのかはなみ
うきよとは,おもふものから,あまのとの,あくるはつらき,ものにそありける
うらむれと,こふれときみか,よとともに,しらすかほにて,つれなかるらむ
うらむとも,こふともいかか,くもゐより,はるけきひとを,そらにしるへき
しつはたに,へつるほとなり,しらいとの,たえぬるみとは,おもはさらなむ
へつるより,うすくなりにし,しつはたの,いとはたえても,かひやなからむ
くることは,つねならすとも,たまかつら,たのみはたえしと,おもふこころあり
たまかつら,たのめくるひの,かすはあれと,たえたえにては,かひなかりけり
いにしへの,こころはなくや,なりにけむ,たのめしことの,たえてとしふる
いにしへも,いまもこころの,なけれはそ,うきをもしらて,としをのみふる
たえたりし,むかしたにみし,うちはしを,いまはわたると,おとにのみきく
わすられて,としふるさとの,ほとときす,なににひとこゑ,なきてゆくらむ
とふやとて,すきなきやとに,きにけれと,こひしきことそ,しるへなりける
つゆのいのち,いつともしらぬ,よのなかに,なとかつらしと,おもひおかるる
かりひとの,たつぬるしかは,いなみのに,あはてのみこそ,あらまほしけれ
をやまたの,みつならなくに,かくはかり,なかれそめては,たえむものかは
つきにたに,まつほとおほく,すきぬれは,あめもよにこしと,おもほゆるかな
おもひつつ,またいひそめぬ,わかこひを,おなしこころに,しらせてしかな
あすかかは,こころのうちに,なかるれは,そこのしからみ,いつかよとまむ
ふしのねを,よそにそききし,いまはわか,おもひにもゆる,けふりなりけり
しるしなき,おもひとそきく,ふしのねも,かことはかりの,けふりなるらむ
いひさして,ととめらるなる,いけみつの,なみいつかたに,おもひよるらむ
しられしな,わかひとしれぬ,こころもて,きみをおもひの,なかにもゆとは
あふはかり,なくてのみふる,わかこひを,ひとめにかくる,ことのわひしさ
なつころも,みにはなるとも,わかために,うすきこころは,かけすもあらなむ
いかにして,ことかたらはむ,ほとときす,なけきのしたに,なけはかひなし
おもひつつ,へにけるとしを,しるへにて,なれぬるものは,こころなりけり
われならぬ,ひとすみのえの,きしにいてて,なにはのかたを,うらみつるかな
にこりゆく,みつにはかけの,みえはこそ,あしまよふえを,ととめてもみめ
すかはらや,ふしみのさとの,あれしより,かよひしひとの,あともたえにき
ちはやふる,かみにもあらぬ,わかなかの,くもゐはるかに,なりもゆくかな
ちはやふる,かみにもなにに,たとふらむ,おのれくもゐに,ひとをなしつつ
うきしつみ,ふちせにさわく,にほとりは,そこものとかに,あらしとそおもふ
まつやまに,なみたかきおとそ,きこゆなる,われよりこゆる,ひとはあらしを
さしてこと,おもひしものを,みかさやま,かひなくあめの,もりにけるかな
もるめのみ,あまたみゆれは,みかさやま,しるしるいかか,さしてゆくへき
なくさむる,ことのはにたに,かからすは,いまもけぬへき,つゆのいのちを
ひとしれす,まつにねられぬ,ありあけの,つきにさへこそ,あさむかれけれ
たつたかは,たちなはきみか,なををしみ,いはせのもりの,いはしとそおもふ
うたののは,みみなしやまか,よふことり,よふこゑにたに,こたへさるらむ
みみなしの,やまならすとも,よふことり,なにかはきかむ,ときならぬねを
こひわひて,しぬてふことは,またなきを,よのためしにも,なりぬへきかな
かけみれは,おくへいりける,きみにより,なとかなみたの,とへはいつらむ
しらさりし,ときたにこえし,あふさかを,なといまさらに,われまよふらむ
あかすして,まくらのうへに,わかれにし,ゆめちをまたも,たつねてしかな
おともせす,なりもゆくかな,すすかやま,こゆてふなのみ,たかくたちつつ
こえぬてふ,なをなうらみそ,すすかやま,いととまちかく,ならむとおもふを
わかために,かつはつらしと,みやまきの,こりともこりぬ,かかるこひせし
あふこなき,みとはしるしる,こひすとて,なけきこりつむ,ひとはよきかは
あさことに,つゆはおけとも,ひとこふる,わかことのはは,いろもかはらす
まちかくて,つらきをみるは,うけれとも,うきはものかは,こひしきよりは
つくしなる,おもひそめかは,わたりなは,みつやまさらむ,よとむときなく
わたりては,あたになるてふ,そめかはの,こころつくしに,なりもこそすれ
はなさかり,すくししひとは,つらけれと,ことのはをさへ,かくしやはせむ
とふことを,まつにつきひは,こゆるきの,いそにやいてて,いまはうらみむ
わすれくさ,なをもゆゆしみ,かりにても,おふてふやとは,ゆきてたにみし
うきことの,しけきやとには,わすれくさ,うゑてたにみし,あきそわひしき
かすしらぬ,おもひはきみに,あるものを,おきところなき,ここちこそすれ
おきところ,なきおもひとし,ききつれは,われにいくらも,あらしとそおもふ
わかたちて,きるこそうけれ,なつころも,おほかたとのみ,みへきうすさを
やへむくら,さしてしかとを,いまさらに,なににくやしく,あけてまちけむ
さをしかの,つまなきこひを,たかさこの,をのへのこまつ,ききもいれなむ
さをしかの,こゑたかさこに,きこえしは,つまなきときの,ねにこそありけれ
せきもあへす,なみたのかはの,せをはやみ,かからむものと,おもひやはせし
せをはやみ,たえすなかるる,みつよりも,たえせぬものは,こひにそありける
こふれとも,あふよなきみは,わすれくさ,ゆめちにさへや,おひしけるらむ
よのなかの,うきはなへても,なかりけり,たのむかきりそ,うらみられける
ゆふされは,おもひそしけき,まつひとの,こむやこしやの,さためなけれは
いとはれて,かへりこしちの,しらやまは,いらぬにまよふ,ものにそありける
ひとなみに,あらぬわかみは,なにはなる,あしのねのみそ,したになかるる
しらくもの,ゆくへきやまは,さたまらす,おもふかたにも,かせはよせなむ
よのなかに,なほありあけの,つきなくて,やみにまよふを,とはぬつらしな
あすかかは,せきてととむる,ものならは,ふちせになると,なとかいはれむ
みをつめは,あはれとそおもふ,はつゆきの,ふりぬることも,たれにいはまし
ふゆなれと,きみかかきほに,さきけれは,うへとこなつに,こひしかりけり
しらゆきの,けさはつもれる,おもひかな,あはてふるよの,ほともへなくに
しらゆきの,つもるおもひも,たのまれす,はるよりのちは,あらしとおもへは
わかこひし,きみかあたりを,はなれねは,ふるしらゆきも,そらにきゆらむ
やまかくれ,きえせぬゆきの,わひしきは,きみまつのはに,かかりてそふる
あらたまの,としはけふあす,こえぬへし,あふさかやまを,われやおくれむ
さかのやま,みゆきたえにし,せりかはの,ちよのふるみち,あとはありけり
おきなさひ,ひとなとかめそ,かりころも,けふはかりとそ,たつもなくなる
いままてに,なとかははなの,さかすして,よそとせあまり,としきりはする
はるはるの,かすはわすれす,ありなから,はなさかぬきを,なににうゑけむ
よとともに,みねへふもとへ,おりのほり,ゆくくものみは,われにそありける
ことしけし,しはしはたてれ,よひのまに,おけらむつゆは,いててはらはむ
てるつきを,まさきのつなに,よりかけて,あかすわかるる,ひとをつなかむ
かきりなき,おもひのつなの,なくはこそ,まさきのかつら,よりもなやまめ
すみわひぬ,いまはかきりと,やまさとに,つまきこるへき,やともとめてむ
あしひきの,やまにおひたる,しらかしの,しらしなひとを,くちきなりとも
いせのうみの,つりのうけなる,さまなれと,ふかきこころは,そこにしつめり
しらかはの,たきのいとみま,ほしけれと,みたりにひとは,よせしものをや
しらかはの,たきのいとなみ,みたれつつ,よるをそひとは,まつといふなる
はちすはの,はひにそひとは,おもふらむ,よにはこひちの,なかにおひつつ
これやこの,ゆくもかへるも,わかれつつ,しるもしらぬも,あふさかのせき
あまのすむ,うらこくふねの,かちをなみ,よをうみわたる,われそかなしき
はまちとり,かひなかりけり,つれもなき,ひとのあたりは,なきわたれとも
このみゆき,ちとせかへても,みてしかな,かかるやまふし,ときにあふへく
おとにきく,まつかうらしま,けふそみる,うへもこころある,あまはすみけり
われのみは,たちもかへらぬ,あかつきに,わきてもおける,そてのつゆかな
しほといへは,なくてもからき,よのなかに,いかてあへたる,たたみなるらむ
すみよしの,きしともいはし,おきつなみ,なほうちかけよ,うらはなくとも
ことのはに,たえせぬつゆは,おくらむや,むかしおほゆる,まとゐしたれは
うみとのみ,まとゐのなかは,なりぬめり,そなからあらぬ,かけのみゆれは
なにせむに,へたのみるめを,おもひけむ,おきつたまもを,かつくみにして
ひるなれや,みそまかへつる,つきかけを,けふとやいはむ,きのふとやいはむ
くやしくそ,あまつをとめと,なりにける,くもちたつぬる,ひともなきよに
ひとのおやの,こころはやみに,あらねとも,こをおもふみちに,まとひぬるかな
なにはかた,なににもあらす,みをつくし,ふかきこころの,しるしはかりそ
あけてたに,なににかはみむ,みつのえの,うらしまのこを,おもひやりつつ
としをへて,にこりたにせぬ,さひえには,たまもかへりて,いまそすむへき
ふるさとの,みかさのやまは,とほけれと,こゑはむかしの,うとからぬかな
ひきうゑし,ひとはうへこそ,おいにけれ,まつのこたかく,なりにけるかな
をやまたの,おとろかしにも,こさりしを,いとひたふるに,にけしきみかな
いかてかの,としきりもせぬ,たねもかな,あれたるやとに,うゑてみるへく
はることに,ゆきてのみみむ,としきりも,せすといふたねは,おひぬとかきく
おもひきや,きみかころもを,ぬきかへて,こきむらさきの,いろをきむとは
いにしへも,ちきりてけりな,うちはふき,とひたちぬへし,あまのはころも
ふるさとの,ならのみやこの,はしめより,なれにけりとも,みゆるころもか
ふりぬとて,おもひもすてし,からころも,よそへてあやな,うらみもそする
なかれての,よをもたのます,みつのうへの,あわにきえぬる,うきみとおもへは
うはたまの,こよひはかりそ,あけころも,あけなはひとを,よそにこそみめ
ひとわたす,ことたになきを,なにしかも,なからのはしと,みのなりぬらむ
ふるるみは,なみたのうちに,みゆれはや,なからのはしに,あやまたるらむ
ひとりのみ,なかめてとしを,ふるさとの,あれたるさまを,いかにみるらむ
まめなれと,あたなはたちぬ,たはれしま,よるしらなみを,ぬれきぬにきて
としをへて,たのむかひなし,ときはなる,まつのこすゑも,いろかはりゆく
へたてける,ひとのこころの,うきはしを,あやふきまても,ふみみつるかな
たまくしけ,ふたとせあはぬ,きみかみを,あけなからやは,あらむとおもひし
