あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
いくかへり,けふのみあれに,あふひくさ,たのみをかけて,としのへぬらむ
ひさかたの,かつらにかくる,あふひくさ,そらのひかりに,いくよなるらむ
すむさとは,しのふのもりの,ほとときす,このしたこゑそ,しるへなりける
かみなひの,いはせのもりの,ほとときす,ならしのをかに,いつかきなかむ
ききてしも,なほそまたるる,ほとときす,なくひとこゑに,あかぬこころは
よしさらは,なかてもやみね,ほとときす,きかすはひとも,わするはかりに
いつのまに,さとなれぬらむ,ほとときす,けふをさつきの,はしめとおもふに
ほとときす,なくやさつきの,たまくしけ,ふたこゑききて,あくるよもかな
ふかきえに,けふあらはるる,あやめくさ,としのをなかき,ためしにそひく
いくちよと,いはかきぬまの,あやめくさ,なかきためしに,けふやひかれむ
おしなへて,さつきのそらを,みわたせは,みつもくさはも,みとりなりけり
ほとときす,こゑききしより,あやめくさ,かさすさつきと,しりにしものを
ほとときす,こそやとかりし,ふるさとの,はなたちはなに,さつきわするな
いまははや,かたらひつくせ,ほとときす,なかなくころの,さつききぬなり
ほとときす,こよひいつこに,やとるらむ,はなたちはなを,ひとにをられて
ほとときす,はなたちはなの,やとかれて,そらにやくさの,まくらゆふらむ
おほつかな,たれそまやまの,ほとときす,とふになのらて,すきぬなるかな
さらぬたに,ふすほともなき,なつのよを,またれてもなく,ほとときすかな
さよふかみ,やまほとときす,なのりして,きのまろとのを,いまそすくなる
ほとときす,くものうへより,かたらひて,とはぬになのる,あけほののそら
なかきひの,もりのしめなは,くりかへし,あかすかたらふ,ほとときすかな
あれにける,たかつのみやの,ほとときす,たれとなにはの,ことかたるらむ
ふりそめて,いくかになりぬ,すすかかは,やそせもしらぬ,さみたれのころ
さみたれの,むつたのよとの,かはやなき,うれこすなみや,たきのしらいと
さみたれに,いせをのあまの,もしほくさ,ほさてもやかて,くちぬへきかな
さみたれの,ひをふるままに,ひまそなき,あしのしのやの,のきのたまみつ
さみたれの,ころもへぬれは,さはたかは,そてつくはかり,あさきせもなし
うちはへて,いくかかへぬる,なつひきの,てひきのいとの,さみたれのそら
