あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
こひしなぬ,みのおこたりそ,としへぬる,あらはあふよの,こころつよさに
つれなしと,たれをかいはむ,たかさこの,まつもいとふも,としはへにけり
たかさこの,をのへにみゆる,まつのはの,われもつれなく,ひとをこひつつ
いたつらに,いくとしなみの,こえぬらむ,たのめかおきし,すゑのまつやま
あたにみし,ひとのこころの,ゆふたすき,さのみはいかか,かけてたのまむ
あひみても,さらぬわかれの,あるものを,つれなしとても,なになけくらむ
おろかにそ,ことのはならは,なりぬへき,いはてやきみに,そてをみせまし
さきのよの,ちきりありけむ,とはかりも,みをかへてこそ,ひとにしられめ
あふさかの,せきのせきもり,こころあれや,いはまのしみつ,かけをたにみむ
よそにのみ,ゆふつけとりの,ねをそなく,そのなもしらぬ,せきのゆききに
またこえぬ,あふさかやまの,いはしみつ,むすはぬそてを,しほるものかは
いかにせむ,こひちのすゑに,せきすゑて,ゆけともとほき,あふさかのやま
あふさかの,やまはゆききの,みちなれと,ゆるさぬせきは,そのかひもなし
こひちには,たかすゑおきし,せきなれは,おもふこころを,とほささるらむ
こひちには,まつさきにたつ,わかなみた,おもひかへらむ,しるへともなれ
いせのうみ,をふのうらみを,かさねつつ,あふことなしの,みをいかにせむ
をふのうみの,おもはぬうらに,こすしほの,さてもあやなく,たつけふりかな
うらみしな,なにはのみつに,たつけふり,こころからやく,あまのもしほひ
うらみても,わかみのかたに,やくしほの,おもひはしるく,たつけふりかな
しらせはや,おもひいりえの,たまかしは,ふねさすさをの,したにこかると
かすならぬ,みしまかくれに,こくふねの,あとなきものは,おもひなりけり
はるかすみ,たななしをふね,いりえこく,おとにのみきく,ひとをこひつつ
うかりける,よさのうらなみ,かけてのみ,おもふにぬるる,そてをみせはや
わかこひは,なみこすいその,はまひさき,しつみはつれと,しるひともなし
うらむとも,きみはしらしな,すまのうらに,やくしほかまの,けふりならねは
わかこひは,あはてのうらの,うつせかひ,むなしくのみも,ぬるるそてかな
いはみかた,ひとのこころは,おもふにも,よらぬたまもの,みたれかねつつ
いそなつむ,あまのしるへを,たつねつつ,きみをみるめに,うくなみたかな
よとともに,かわくまもなき,わかそてや,しほひもわかぬ,なみのしたくさ
はるのなみの,いりえにまよふ,はつくさの,はつかにみえし,ひとそこひしき
ひとしれぬ,うきみにしけき,おもひくさ,おもへはきみそ,たねはまきける
つたへても,いかにしらせむ,おなしのの,をはなかもとの,くさのゆかりに
したにのみ,いはてふるのの,おもひくさ,なひくをはなは,ほにいつれとも
さしもくさ,もゆるいふきの,やまのはの,いつともわかぬ,おもひなりけり
いつまてか,つれなきなかの,おもひくさ,むすはぬそてに,つゆをかくへき
あふまてと,くさをふゆのに,ふみからし,ゆききのみちの,はてをしらはや
みよしのの,みくまかすけを,かりにたに,みぬものからや,おもひみたれむ
きえぬとも,あさちかうへの,つゆしあれは,なほおもひおく,いろやのこらむ
ひとめもる,わかかよひちの,しのすすき,いつとかまたむ,あきのさかりを
おほゐかは,ゐせきによとむ,みつなれや,けふくれかたき,なけきをそする
こえはやな,あつまちときく,ひたちおひの,かことはかりの,あふさかのせき
こひこひて,たのむるけふの,くれはとり,あやにくにまつ,ほとそひさしき
おもひわひ,いのちたえすは,いかにして,けふとたのむる,くれをまたまし
うれしきも,つらきもおなし,なみたにて,あふよもそては,なほそかわかぬ
かつみれと,なほそこひしき,わきもこか,ゆつのつまくし,いかかささまし
かなしさも,あはれもたくひ,おほかるを,ひとにふるさぬ,ことのはもかな
ひとめもる,やまゐのしみつ,むすひても,なほあかなくに,ぬるるそてかな
きぬきぬに,なるともきかぬ,とりたにも,あけゆくほとそ,こゑもをしまぬ
あふことを,またはまつよも,なきものを,あはれもしらぬ,とりのこゑかな
なにしおはぬ,ゆふつけとりの,なきそめて,あくるわかれの,こゑもうらめし
おのかねに,つらきわかれは,ありとたに,おもひもしらて,とりやなくらむ
かへるさを,おのれうらみぬ,とりのねも,なきてそつくる,あけかたのそら
うかりける,たかあふことの,ならひより,ゆふつけとりの,ねにわかれけむ
あけかたに,いてにしつきも,いりぬらむ,なほなかそらの,くもそみたるる
をしとおもふ,いのちにかへて,あかつきの,わかれのみちを,いかてととめむ
あけぬとて,ちとりしはなく,しろたへの,きみかたまくら,いまたあかなくに
わすれしの,ちきりをたのむ,わかれかな,そらゆくつきの,すゑをかそへて
さむしろに,つゆのはかなく,おきていなは,あかつきことに,きえやわたらむ
わすれしの,たたひとことを,かたみにて,ゆくもとまるも,ぬるるそてかな
なほさりの,そてのわかれの,ひとことを,はかなくたのむ,けふのくれかな
ちきりおく,しらぬいのちを,うらみても,あかつきかけて,ねをのみそなく
いまはとて,わかれしままの,とりのねを,わすれかたみの,しののめのそら
あかつきの,ゆふつけとりも,しらつゆの,おきてかなしき,ためしにそなく
くれなはと,たのめてもなほ,あさつゆの,おきあへぬとこに,きえぬへきかな
そまかはの,せせのしらなみ,よるなから,あけすはなにか,くれをまたまし
となせかは,いはまにたたむ,いかたしや,なみにぬれても,くれをまつらむ
あひみても,かへるあしたの,つゆけさは,ささわけしそてに,おとりしもせし
きぬきぬの,つらきためしに,たれなりて,そてのわかれを,ゆるしそめけむ
あふさかの,ゆふつけとりも,わかれちを,うきものとてや,なきはしめけむ
いかにせむ,くれをまつへき,いのちたに,なほたのまれぬ,みをなけきつつ
きえかへり,くれまつそてそ,しをれぬる,おきつるひとは,つゆならねとも
うつつとも,ゆめともなくて,あけにけり,けさのおもひは,たれまさるらむ
うつつとも,ゆめともたれか,さたむへき,よひともしらぬ,けさのわかれは
つゆよりも,いかなるみとか,なりぬらむ,おきところなき,けさのここちは
あひみても,つつむおもひの,かなしきは,ひとまにのみそ,ねはなかれける
しののめの,あくれはきみは,わすれけり,いつともわかぬ,われそかなしき
しらつゆの,おくをまつまの,あさかほは,みすそなかなか,あるへかりける
われならて,したひもとくな,あさかほの,ゆふかけまたぬ,はなにはありとも
あかてのみ,ふれはなりけり,あはぬよも,あふよもひとを,あはれとそおもふ
こひといへは,よのつねのとや,おもふらむ,けさのこころは,たくひたになし
よのつねの,ことともさらに,おもほえす,はしめてものを,おもふみなれは
ゆめにたに,みてあかしつる,あかつきの,こひこそこひの,かきりなりけれ
とりのねに,いそきいてにし,つきかけの,のこりおほくて,あけしそらかな
みしひとの,ねくたれかみの,おもかけに,なみたかきやる,さよのたまくら
くもとなり,あめとなるてふ,なかそらの,ゆめにもみえよ,よるならすとも
うたたねの,はかなきゆめの,さめしより,ゆふへのあめを,みるそかなしき
くもとなり,あめとなりても,みにそはは,むなしきそらを,かたみとやみむ
いかなりし,ときそやゆめに,みしことは,それさへにこそ,わすられにけれ
きみこふと,ゆめのうちにも,なくなみた,さめてののちも,えこそかわかね
いかにして,さめしなこりの,はかなさそ,またもみさりし,よはのゆめかな
ゆめのこと,みしはひとにも,かたらぬに,いかにちかへて,あはぬなるらむ
みるとなき,やみのうつつに,あくかれて,うちぬるなかの,ゆめやたえなむ
わかこころ,やみのうつつは,かひもなし,ゆめをそたのむ,くるるよことに
さりともと,たのむもかなし,うはたまの,やみのうつつの,ちきりはかりを
こひしなむ,のちのうきよは,しらねとも,いきてかひなき,ものはおもはし
あかつきの,とりそおもへは,はつかしき,ひとよはかりに,なにいとひけむ
たまのをの,たえてみしかき,なつのよの,よはになるまて,まつひとのこぬ
とへかしな,あやしきほとの,ゆふくれの,あはれすくさぬ,なさけはかりに
わすれしの,ちきりたかはぬ,よなりせは,たのみやせまし,きみかひとこと
これもまた,いつはりそとは,しりなから,こりすやけふの,くれをまたまし
いつはりと,おもひとられぬ,ゆふへこそ,はかなきものの,かなしかりけれ
なみたせく,そてにおもひや,あまるらむ,なかむるそらも,いろかはるまて
うきふねの,たよりもしらぬ,なみちにも,みしおもかけの,たたぬひそなき
わきもこか,たまものとこに,よるなみの,よるとはなしに,ほさぬそてかな
まつしまや,わかみのかたに,やくしほの,けふりのすゑを,とふひともかな
こぬひとを,まつほのうらの,ゆふなきに,やくやもしほの,みもこかれつつ
こひをのみ,すまのしほひに,たまもかる,あまりにうたて,そてなぬらしそ
こころから,わかみこすなみ,うきしつみ,うらみてそふる,やへのしほかせ
たのめつつ,こぬよつもりの,うらみても,まつよりほかの,なくさめそなき
こきかへる,そてのみなとの,あまをふね,さとのしるへを,たれかをしへし
いはみかた,なみちへたてて,ゆくふねの,よそにこかるる,あまのもしほひ
わかこひは,あふよもしらす,ふたみかた,あけくれそてに,なみそかけける
しらまゆみ,いそへのやまの,まつのいろの,ときはにものを,おもふころかな
わくらはに,あふさかやまの,さねかつら,くるをたえすと,たれかたのまむ
むさしのや,ひとのこころの,あさつゆに,つらぬきとめぬ,そてのしらたま
くるるよは,ゑしのたくひを,それとみよ,むろのやしまも,みやこならねは
いはのうへに,なみこすあへの,しまつとり,うきなにぬれて,こひつつそふる
ゆふされは,きみきまさむと,まちしよの,なこりそいまも,いねかてにする
あしひきの,やましたかせは,ふかねとも,きみかこぬよは,かねてさむしも
こぬひとを,まつとなかめて,わかやとの,なとかこのくれ,かなしかるらむ
たのましと,おもはむとては,いかかせむ,ゆめよりほかに,あふよなけれは
わすれなむと,おもふこころの,かなしきは,うきもうからぬ,ものにそありける
さりともと,おもふらむこそ,かなしけれ,あるにもあらぬ,みをしらすして
おもへはや,したゆふひもの,とけつらむ,われをはひとの,こひしものゆゑ
しくれつつ,いろまさりゆく,くさよりも,ひとのこころそ,かれにけらしな
むさしのの,のなかをわけて,つみそめし,わかむらさきの,いろはかきりか
あつさゆみ,すゑのはらのに,とかりする,きみかゆつるの,たえむとおもへや
あつさゆみ,ひきみひかすみ,むかしより,こころはきみに,よりにしものを
いせのあまの,あさなゆふなに,かつくてふ,あはひのかひの,かたおもひにして
ゆふたたみ,しらつきやまの,さねかつら,のちもかならす,あはむとそおもふ
あふさかの,せきはよるこそ,もりまされ,くるるをなとて,われたのむらむ
あさくこそ,ひとはみるとも,せきかはの,たゆるこころは,あらしとそおもふ
せきかはの,いはまをくくる,みつをあさみ,たえぬへくのみ,みゆるこころを
さくらあさの,をふのしたくさ,つゆしあらは,あかしてゆかむ,おやはしるとも
つゆしもの,うへともしらし,むさしのの,われはゆかりの,くさはならねは
いまはとて,わするるくさの,たねをたに,ひとのこころに,まかせすもかな
たまほこの,みちゆきつかれ,いなむしろ,しきてもひとを,みるよしもかな
ゆふされは,みちたとたとし,つきまちて,かへれわかせこ,そのまにもみむ
きみまつと,わかこひをれは,わかやとの,すたれうこかし,あきかせそふく
もろくとも,いさしらつゆに,みをなして,きみかあたりの,くさにきえなむ
わひぬれは,いまはとものを,おもへとも,こころしらぬは,なみたなりけり
みかさやま,きてもとはれぬ,みちのへに,つらきゆくての,かけそつれなき
あひみすは,ちきりしほとに,おもひいてよ,そへつるたまを,みにもはなたて
こひしさの,ほかにこころの,あらはこそ,ひとのわするる,みをもうらみめ
つゆしけき,くさのたもとを,まくらにて,きみまつむしの,みをのみそなく
みのうへも,ひとのこころも,しらぬまは,ことそともなき,ねをのみそなく
ありしより,みたれまさりて,あまのかる,ものおもふみとも,きみはしらしな
かせふけは,そらにたたよふ,くもよりも,うきてみたるる,わかこころかな
あらしかし,このよのほかを,たつぬとも,なみたのそてに,かかるたくひは
ひとしれぬ,そてそつゆけき,あふことの,かれのみまさる,やまのかけくさ
おくやまの,したかけくさは,かれやする,のきはにのみは,おのれなりつつ
みしまえの,かりそめにさへ,まこもくさ,ゆふてにあまる,こひもするかな
なみたかは,みなわをそてに,せきかねて,ひとのうきせに,くちやはてなむ
うしとおもふ,ものからぬるる,そてのうら,ひたりみきにも,なみやたつらむ
ほしわひぬ,あまのかるもに,しほたれて,われからぬるる,そてのうらなみ
あまのかる,みるをあふにて,ありしたに,いまはなきさに,よせぬなみかな
みるままに,ひとのこころは,のきはにて,われのみしける,わすれくさかな
わするなよ,わすれしとこそ,たのめしか,われやはいひし,きみそちきりし
めのまへに,かはるこころを,しらつゆの,きえはともにと,なにおもひけむ
わするなよ,きえはともにと,いひおきし,すゑののくさに,むすふしらつゆ
わかこひは,あはてふるのの,をささはら,いくよまてとか,しものおくらむ
たとりつつ,わくるたもとに,かけてけり,ゆきもならはぬ,みちしはのつゆ
はなすすき,ほにたにこひぬ,わかなかの,しもおくのへと,なりにけるかな
なかつきの,しくれにぬれぬ,ことのはも,かはるならひの,いろそかなしき
とへかしな,しくるるそての,いろにいてて,ひとのこころの,あきになるみを
ふくからに,みにそしみける,きみはさは,われをやあきの,こからしのかせ
わきもこを,かたまつよひの,あきかせは,をきのうははを,よきてふかなむ
はきのうへの,かりのなみたを,かこつとも,こひにいろこき,そてやみゆらむ
もみちせぬ,やまにもいろや,あらはれむ,しくれにまさる,こひのなみたに
もろひとの,そてまてそめよ,たつたひめ,よそのちしほを,たくひともみむ
なれなれて,あきにあふきを,おくつゆの,いろもうらめし,ねやのつきかけ
つきくさの,うつろふいろの,ふかけれは,ひとのこころの,はなそしをるる
おもかけは,なほありあけの,つきくさに,ぬれてうつろふ,そてのあさつゆ
しろたへの,わかころもてを,かたしきて,ひとりやねなむ,いもにこひつつ
おもひきや,またうらわかき,はつくさの,あきをもまたて,かれむものとは
とへかしな,あさちふきこす,あきかせに,ひとりくたくる,つゆのまくらを
よしさらは,しけりもはてね,あたひとの,まれなるあとの,にはのよもきふ
うらみわひ,おもひたえても,やみなまし,なにおもかけの,わすれかたみそ
しなはやと,あたにもいはし,のちのよは,おもかけたにも,そはしとおもへは
ちきりしに,かはるうらみも,わすられて,そのおもかけは,なほとまるかな
よのうさや,きこえこさらむ,おもかけは,いはほのなかに,おくれしもせし
おほそらに,こひしきひとも,やとらなむ,なかむるをたに,かたみとおもはむ
みえもせむ,みもせむひとを,あさことに,おきてはむかふ,かかみともかな
ちりのゐる,ものとまくらは,なりにけり,なにのためにか,うちもはらはむ
こころには,しのふとおもふを,しきたへの,まくらにてこそ,まつはみえけれ
わくらはに,まれなるひとの,たまくらは,ゆめかとのみそ,あやまたれける
かたときも,わすれやはする,つらかりし,こころのさらに,たくひなけれは
かたしきの,ころもをせはみ,みたれつつ,なほつつまれぬ,そてのしらたま
あふことを,たまのをにする,みにしあれは,たゆるをいかか,なしとおもはぬ
ををよわみ,みたれておつる,たまとこそ,なみたもひとの,めにはみゆらめ
あふことを,いまはかきりと,おもへとも,なみたはたえぬ,ものにそありける
よしさらは,こひしきことを,しのひみて,たへすはたへぬ,いのちとおもはむ
あつさゆみ,ひきつのつなる,なのりその,たれうきものと,しらせそめけむ
わかれての,のちそかなしき,なみたかは,そこもあらはに,なりぬとおもへは
にほとりの,おきなかかはは,たえぬとも,きみにかたらふ,ことつきめやは
ゆくふねの,あとなきなみに,ましりなは,たれかはみつの,あわとたにみむ
たちておもひ,ゐてもそおもふ,くれなゐの,あかもたれひき,いにしすかたを
くれたけの,しけくもものを,おもふかな,ひとよへたつる,ふしのつらさに
しのふやま,しのひてかよふ,みちもかな,ひとのこころの,おくもみるへく
こひしきを,ひとにはいはて,しのふくさ,しのふにあまる,いろをみよかし
いはておもふ,ほとにあまらは,しのふくさ,いととひさしの,つゆやしけらむ
きみみすて,ほとをふるやの,ひさしには,あふことなしの,くさそおひける
いへはえに,ふかくかなしき,ふえたけの,よこゑはたれと,とふひともかな
むつのをの,よりめことにそ,かはにほふ,ひくをとめこの,そてやふれつる
たまのをを,あわをによりて,むすへれは,たえてののちも,あはむとそおもふ
あふことは,たまのをはかり,おもほえて,つらきこころの,なかくもあるかな
ひとはいさ,おもひやすらむ,たまかつら,おもかけにのみ,いととみえつつ
なかからぬ,いのちのほとに,わするるは,いかにみしかき,こころなるらむ
つきのうちの,かつらのえたを,おもふとや,なみたのしくれ,ふるここちする
めにはみて,てにはとられぬ,つきのうちの,かつらのことき,いもをいかにせむ
こぬひとを,つきになさはや,うはたまの,よことにわれは,かけをたにみむ
さもあらはあれ,くもゐなからも,やまのはに,いているよひの,つきとたにみは
たのめつつ,こぬよはふとも,ひさかたの,つきをはひとの,まつといへかし
おもひやる,こころもそらに,なりにけり,ひとりありあけの,つきをなかめて
ものおもふに,つきみることは,たえねとも,なかめてのみも,あかしつるかな
あふことを,たのめぬにたに,ひさかたの,つきをなかめぬ,よひはなかりき
なかめつつ,つきにたのむる,あふことを,くもゐにてのみ,すきぬへきかな
こひわたる,きみかくもゐの,つきならは,およはぬみにも,かけはみてまし
こひしさの,なかむるそらに,みちぬれは,つきもこころの,うちにこそすめ
ふけにけり,これやたのめし,よはならむ,つきをのみこそ,まつへかりけれ
あたひとを,まつよふけゆく,やまのはに,そらたのめせぬ,ありあけのつき
あまをふね,はつかのつきの,やまのはに,いさよふまても,みえぬきみかな
まつひとは,たれとねまちの,つきかけを,かたふくまてに,われなかむらむ
なからへて,またやはみむと,まつよひを,おもひもしらす,ふくるつきかな
こぬひとを,なににかこたむ,やまのはの,つきはまちいてて,さよふけにけり
いけにすむ,おしあけかたの,そらのつき,そてのこほりに,なくなくそみる
たひころも,かへすゆめちは,むなしくて,つきをそみつる,ありあけのそら
いかにせむ,ゆめちにたにも,ゆきやらぬ,むなしきとこの,たまくらのそて
うちなけき,いかにねしよかと,おもへとも,ゆめにもみえて,ころもへにけり
おもひねの,われのみかよふ,ゆめちにも,あひみてかへる,あかつきそなき
なけきわひ,ぬるたまのをの,よるよるは,おもひもたえぬ,ゆめもはかなし
いかにせむ,しはしうちぬる,ほともかな,ひとよはかりの,ゆめをたにみむ
いかにせむ,いまひとたひの,あふことを,ゆめにたにみて,ねさめすもかな
つらきをも,うきをもゆめに,なしはてて,あふよはかりを,うつつともかな
ゆめにさへ,あはすとひとの,みえつれは,まとろむほとの,なくさめもなし
あはれあはれ,はかなかりける,ちきりかな,たたうたたねの,はるのよのゆめ
ちきりしも,みしもむかしの,ゆめなから,うつつかほにも,ぬるるそてかな
なつむしも,あくるたのみの,あるものを,けつかたもなき,わかおもひかな
しかのたつ,はやまのやみに,ともすひの,あはていくよを,もえあかすらむ
あふことは,しのふのころも,あはれなと,まれなるいろに,みたれそめけむ
いかにせむ,ねをなくむしの,からころも,ひともとかめぬ,そてのなみたを
おのれなく,こころからにや,うつせみの,はにおくつゆに,みをくたくらむ
はしたかの,とやまのいほの,ゆふくれを,かりにもとたに,ちきりやはする
あつまちの,ふしのしはやま,しはしたに,けたぬおもひに,たつけふりかな
ことうらの,けふりのよそに,としふれと,なほこりはてぬ,あまのもしほき
そてのなみ,むねのけふりは,たれもみよ,きみかうきなの,たつそかなしき
ゆふけふり,のへにもみえは,つひにわか,きみにかへつる,いのちとをしれ
こひしなは,きみゆゑとたに,しられてや,むなしきそらの,くもとなりなむ
さためなき,かせにしたかふ,うきくもの,あはれゆくへも,しらぬこひかな
こひしぬる,よはのけふりの,くもとならは,きみかやとにや,わきてしくれむ
おもひかね,なかむれはまた,ゆふひさす,のきはのをかの,まつもうらめし
ひとこころ,このはふりしく,えにしあれは,なみたのかはも,いろかはりけり
つくつくと,おつるなみたの,かすしらす,あひみぬよはの,つもりぬるかな
いかにせむ,あまのさかてを,うちかへし,うらみてもなほ,あかすもあるかな
うたかひし,こころのうらの,まさしさは,とはぬにつけて,まつそしらるる
はるかなる,ほとはくもゐの,つきひのみ,おもはぬなかに,ゆきめくりつつ
いつはりの,ことのはなくは,なにをかは,わすらるるよの,かたみともみむ
つのくにの,みつとないひそ,やましろの,とはぬつらさは,みにあまるとも
のちのよを,たのむたのみも,ありなまし,ちきりかはらぬ,わかれなりせは
のちのよと,いひてそひとに,わかれまし,あすまてとたに,しらぬいのちを
あふことの,いまいくとせの,つきひへて,なほなかなかの,みをもうらみむ
おなしよに,なほありなから,あふことの,むかしかたりに,なりにけるかな
せきかぬる,なみたのつゆの,たまのをの,たえぬもつらき,ちきりなりけり
かたいとの,あはすはさてや,たえなまし,ちきりそひとの,なかきたまのを
としをへて,あふことはなほ,かたいとの,たかこころより,たえはしめけむ
たれもこの,あはれみしかき,たまのをに,みたれてものを,おもはすもかな
うつろひし,こころのはなに,はるくれて,ひともこすゑに,あきかせそふく
めのまへに,かせもふきあへす,うつりゆく,こころのはなも,いろはみえけり
あたひとの,こころのうちを,みせたらは,いととつらさの,かすやまさらむ
なににてか,うちもはらはむ,きみこふと,なみたにそては,くちにしものを
すりころも,きたるけふたに,ゆふたすき,かけはなれても,いぬるきみかな
ふゆのよの,ゆきとつもれる,おもひをは,いはねとそらに,しりやしぬらむ
ふゆのよの,ねさめにいまは,おきてみむ,つもれるゆきの,かすをたのまは
なかれての,なにこそありけれ,わたりかは,あふせありやと,たのみけるかな
やまかはの,はやくもいまも,おもへとも,なかれてうきは,ちきりなりけり
よもすから,くひなよりけに,なくなくそ,まきのとくちに,たたきわひつる
たたならし,とはかりたたく,くひなゆゑ,あけてはいかに,くやしからまし
われもおもふ,きみもしのふる,あきのよは,かたみにかせの,おとそみにしむ
はなならて,はななるものは,しかすかに,あたなるひとの,こころなりけり
やまさとの,はなのにほひの,いかなれや,かをたつねくる,うくひすのなき
ゆきふかき,みやまのさとに,すむひとは,かすむそらにや,はるをしるらむ
ゆききえて,うらめつらしき,はつくさの,はつかにのへも,はるめきにけり
かすかのに,またもえやらぬ,わかくさの,けふりみしかき,をきのやけはら
むさしのの,はるのけしきも,しられけり,かきねにめくむ,くさのゆかりに
いのちありて,あひみむことも,さためなく,おもひしはるに,なりにけるかな
さかぬまは,はなとみよとや,みよしのの,やまのしらゆき,きえかてにする
かすみしく,わかふるさとよ,さらぬたに,むかしのあとは,みゆるものかは
みよしのの,やまのはかすむ,はることに,みはあらたまの,としそふりゆく
さひしさの,ましはのけふり,そのままに,かすみをたのむ,はるのやまさと
ここのへに,かはらぬうめの,はなみてそ,いととむかしの,はるはこひしき
やとからそ,うめのたちえも,とはれける,あるしもしらす,なににほふらむ
ありあけの,つきはなみたに,くもれとも,みしよににたる,うめのかそする
うめかかの,たかさとわかす,にほふよは,ぬしさたまらぬ,はるかせそふく
はるのつき,かすめるそらの,うめかかに,ちきりもおかぬ,ひとそまたるる
おほかたの,かすみにつきそ,くもるらむ,ものおもふころの,なかめならねは
おもひすてて,わかみともなき,こころにも,なほむかしなる,やまさくらかな
やまさくら,みねにもをにも,うゑおかむ,みぬよのはるを,ひとやしのふと
はるをへて,しかのはなその,にほはすは,なにかみやこの,かたみならまし
あたなりと,なにうらみけむ,やまさくら,はなそみしよの,かたみなりける
いさやなほ,はなにもそめし,わかこころ,さてもうきよに,かへりもそする
わするなよ,なれしくもゐの,さくらはな,うきみははるの,よそになるとも
いにしへの,くもゐのはなに,こひかねて,みをわすれても,みつるはるかな
くもゐなる,はなもむかしを,おもひいては,わするらむみを,わすれしもせし
うゑおきて,むかしかたりに,なりにける,ひとさへをしき,はなのいろかな
としことに,みつつふるきの,さくらはな,わかよののちは,たれかをしまむ
みのうさを,はなにわするる,このもとは,はるよりのちの,なくさめそなき
しからきの,そまやまさくら,はることに,いくよみやきに,もれてさくらむ
よしのやま,なほしもおくに,はなさかは,またあくかるる,みとやなりなむ
はなさそふ,あらしのにはの,ゆきならて,ふりゆくものは,わかみなりけり
いととしく,はなはゆきとそ,ふるさとの,にはのこけちは,あとたえにける
めくりあはむ,わかかねことの,いのちたに,こころにかなふ,はるのくれかは
くれてゆく,そらをやよひの,しはしとも,はるのわかれは,いふかひもなし
はるはいかに,ちきりおきてか,すきにしと,おくれてにほふ,はなにとははや
おもひきや,そのかみやまの,あふひくさ,かけてもよそに,ならむものとは
あとたえて,ひともわけこぬ,なつくさの,しけくもものを,おもふころかな
あまのとの,つきのかよひち,ささねとも,いかなるかたに,たたくくひなそ
まきのとも,ささてやすらふ,つきかけに,なにをあかすと,たたくくひなそ
かくれぬに,おひそめにける,あやめくさ,ふかきしたねを,しるひともなし
あやめくさ,ねにあらはるる,けふこそは,いつかとまちし,かひもありけれ
さみたれの,のきのしつくに,あらねとも,うきよにふれは,そてそぬれける
みしまえの,たまえのまこも,かりにたに,とはてほとふる,さみたれのそら
わすれては,あきかとそおもふ,かたをかの,ならのはわけて,いつるつきかけ
ふくかせに,をきのうははの,こたへすは,あきたつけふを,たれかしらまし
よをいとふ,すみかはひとに,しられねと,をきのはかせは,たつねきにけり
なほさりの,おとたにつらき,をきのはに,ゆふへをわきて,あきかせそふく
かりかねの,こゑせぬのへを,みてしかな,こころとはきの,はなはちるやと
あきかせの,こころもしらす,はなすすき,そらにむすへる,ひとはたれそも
かせのまに,たれむすひけむ,はなすすき,うははのつゆも,こころおくらし
あきのよを,いまはとかへる,ゆふくれは,なくむしのねそ,かなしかりける
むしのねに,わかなみたさへ,おちそはは,のはらのつゆの,いろやかはらむ
あまのとを,くもゐなからも,よそにみて,むかしのあとを,こふるつきかな
むかしおもふ,なみたのそこに,やとしてそ,つきをはそての,ものとしりぬる
あさちはら,ぬしなきやとの,にはのおもに,あはれいくよの,つきかすみけむ
おもひいてて,むかしをしのふ,そてのうへに,ありしにもあらぬ,つきそやとれる
なかめつる,みにたにかはる,よのなかに,いかてむかしの,つきはすむらむ
このさとは,たけのはわけて,もるつきの,むかしのよよの,かけをこふらし
しのへとや,しらぬむかしの,あきをへて,おなしかたみに,のこるつきかけ
つきかけは,いつれのやまと,わかすとも,すますみねにや,すみまさるらむ
いかはかり,そのよのつきの,はれにけむ,きみのみやまは,くもものこらし
たかのやま,おくまてひとの,とひこすは,しつかにみねの,つきはみてまし
あらはさぬ,わかこころをそ,うらむへき,つきやはうとき,をはすてのやま
みにつもる,おいともしらて,なかめこし,つきさへかけの,かたふきにける
おいぬれは,ことしはかりと,おもひこし,またあきのよの,つきをみるかな
わすれしの,ゆくすゑかたき,よのなかに,むそちなれぬる,そてのつきかけ
いくあきを,なれてもつきの,あかなくに,のこりすくなき,みをうらみつつ
はらひかね,くもるもかなし,そらのつき,つもれはおいの,あきのなみたに
いまはとて,みさらむあきの,そらまても,おもへはかなし,よはのつきかけ
とちはつる,みやまのおくの,まつのとを,うらやましくも,いつるつきかな
わきてなと,ゆふへのあめと,なりにけむ,まつたにおそき,やまのはのつき
たかまとの,をのへのみやの,つきのかけ,たれしのへとて,かはらさるらむ
このさとは,しくれにけりな,あきのいろの,あらはれそむる,みねのもみちは
さほやまの,ははそのもみち,いたつらに,うつろふあきは,ものそかなしき
たつたやま,もみちのにしき,をりはへて,なくといふとりの,しものゆふして
ひとはみな,のちのあきとも,たのむらむ,けふをわかれと,ちるもみちかな
ふくかせも,えたにのとけき,みよなれは,ちらぬもみちの,いろをこそみれ
もみちはの,ちりかひくもる,ゆふしくれ,いつれかみちと,あきのゆくらむ
あかつきと,うらみしひとは,かれはてて,うたてしくるる,あさちふのやと
むらくもは,またすきはてぬ,とやまより,しくれにきほふ,ありあけのつき
かくてよに,わかみしくれは,ふりはてぬ,おいそのもりの,いろもかはらて
このはちる,あらしのかせの,ふくころは,なみたさへこそ,おちまさりけれ
もみちにも,あめにもそひて,ふるものは,むかしをこふる,なみたなりけり
うきねせし,みつのうへのみ,こひしくて,かものうはけに,さえそおとらぬ
うちはらふ,ともなきころの,ねさめには,つかひしをしそ,よはにこひしき
ふゆのよを,はねもかはさす,あかすらむ,とほやまとりそ,よそにかなしき
をみころも,かへらぬものと,おもははや,ひかけのかつら,けふはくるとも
かへりてそ,くやしかりける,をみころも,そのひかけのみ,わすれかたさに
あしひきの,やましたひかけ,かつらなる,うへにやさらに,うめをしのはむ
あまつかせ,こほりをわたる,ふゆのよの,をとめのそてを,みかくつきかけ
ひかけさす,くものうへには,かけてたに,おもひもいてし,ふるさとのつき
ふゆこもり,あとかきたえて,いととしく,ゆきのうちにそ,たききつみける
わすられて,としくれはつる,ふゆくさの,かれははひとも,たつねさりけり
ことのねを,はるのしらへに,ひくからに,かすみてみゆる,そらめなるらむ
ことのねの,はるのしらへに,きこゆれは,かすみたなひく,そらかとそおもふ
