さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
はるよりも,はなはいくかも,なきものを,しひてもをしめ,うくひすのこゑ
はるかすみ,またたちかへり,たつねこむ,はなはいくかも,あらしふくころ
はるかせに,さきぬるはなの,みやきもり,こころゆるすな,やとのさくらを
さくらはな,よきてとおもふ,かひもなく,このひともとも,はるかせそふく
さてもなほ,さそひやすると,さくらはな,たをりてかせの,こころをもみむ
こころから,ちるといふなの,をしけれは,うつろふはなに,かせもいとはす
はなたにも,をしむとはしれ,やまさくら,かせはこころの,なきよなりとも
いのちをそ,ちるはなよりも,をしむへき,さすかにさかぬ,はるしなけれは
さくらはな,おもふあまりに,ちることの,うきをはかせに,おほせつるかな
ちれはこそ,かせもさそへと,おもへとも,はなのうきには,なさてみるかな
あたにちる,ほとをもまたて,さくらはな,つらくもさそふ,はるのかせかな
うしとおもふ,かせにそやかて,さそはるる,ちりゆくはなを,したふこころは
なにとまた,かせふくことに,うらみても,はなにしられぬ,ものおもふらむ
はるきても,かせよりほかは,とふひとの,なきやまさとに,ちるさくらかな
あたなりや,うはのそらなる,はるかせに,さそはれやすき,はなのこころは
はることに,さそはれてゆく,はななれと,さくらやかせの,やとりしるらむ
はなのいろを,えやはととめむ,あふさかの,せきふきこゆる,はるのあらしに
たきのうへに,おちそふなみは,あらしふく,みふねのやまの,さくらなりけり
みよしのの,はなのしらゆき,ふるままに,こすゑのくもを,はらふやまかせ
あらしふく,このもとはかり,うつもれて,よそにつもらぬ,はなのしらゆき
はなのちる,やまのたかねの,かすますは,くもらぬそらの,ゆきとみてまし
さらぬたに,おほろにみゆる,はるのつき,ちりかひくもる,はなのかけかな
さくはなも,おもひしよりは,うつろひぬ,よのまのあめの,はるのあけほの
あすもなほ,きえすはありとも,さくらはな,ふりたにそはむ,にはのゆきかは
ちるはなを,またふきさそふ,はるかせに,にはをさかりと,みるほともなし
ゆくはるの,ひかすそはなを,さそひける,かせはかりとは,なにうらむらむ
たつねはや,しのふのおくの,さくらはな,かせにしられぬ,いろやのこると
ちりはてし,はなよりのちの,みねのくも,わすれぬいろに,のこるおもかけ
むらくもを,なにかはいとふ,よはのつき,かすめるそらは,たえまたになし
かねのおとは,かすみのそこに,あけやらて,かせほのかなる,はるのよのつき
やまふきの,まかきにはなの,さくころや,ゐてのさとひと,はるをしるらむ
やまふきの,はなのゆかりに,あやなくも,ゐてのさとひと,むつましきかな
かけみゆる,ゐてのかはなみ,はやけれと,うきてなかれぬ,やまふきのはな
やまふきの,はなのしらつゆ,むすほほれ,いはぬもをしや,はるのなこりは
はるかせは,ふくともみえて,たかさこの,まつのこすゑに,かかるふちなみ
としをへて,なほいくはるも,みかさやま,こたかくかかれ,まつのふちなみ
かけしあれは,をられぬなみも,をられけり,みきはのふちの,はるのかさしに
つれなくて,のこるならひを,くれてゆく,はるにをしへよ,ありあけのつき
あらしふく,はなのこすゑに,あとみえて,はるはすきゆく,しかのやまこえ
くれてゆく,はるのわかれは,いかにそと,はなををしまぬ,ひとにとははや
いまもなほ,はなにはあかて,おいかみに,むそちあまりの,はるそくれぬる
くれてゆく,はるのたむけや,これならむ,けふこそはなは,ぬさとちりけれ
ゆくかたも,しられぬはると,しりなから,こころつくしの,けふにもあるかな
たちかふる,なこりやなほも,のこるらむ,はなのかうすき,せみのはころも
やましろの,ときはのもりは,なのみして,したくさいそく,なつはきにけり
いかなれは,ひかけにむかふ,あふひくさ,つきのかつらの,えたをそふらむ
ことしとや,ちきりおきけむ,あふひくさ,わきてこころに,かけしかさしを
ほとときす,ことかたらひし,をりになと,ことしをいつと,ちきらさりけむ
しのひねを,いつくになきて,ほとときす,うのはなかきに,なほまたるらむ
たつねつる,をののしのはら,しのひねも,あまりほとふる,ほとときすかな
われききて,ひとにかたらむ,このさとに,まつなきそめよ,やまほとときす
またすとも,われとなくへき,ゆふくれを,つれなくすくす,ほとときすかな
ふくるまて,まつよのそらの,ほとときす,つきにをしまぬ,ひとこゑもかな
さてもなほ,ねていくよにか,なりぬらむ,やまほとときす,いまやきなくと
ほとときす,はつねきかせよ,これをたに,おいのねさめの,おもひてにせむ
ひとをわく,はつねならしを,ほとときす,われにはなとか,なほもつれなき
ほとときす,なにかこころを,つくすらむ,われきけとても,なかぬものゆゑ
まてとたに,たのめもおかす,ほとときす,いつまてさのみ,こころつくさむ
