さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
ささなみや,かみよのまつの,そのままに,むかしなからの,うらかせそふく
からさきや,きよきうらわに,こきかへり,かみのみふねの,あとをしそおもふ
くもりなき,よをてらさむと,ちかひてや,ひよしのみやの,あとをたれけむ
あひにあひて,ひよしのそらそ,さやかなる,ななつのほしの,てらすひかりに
しはしたに,はるるこころや,なからまし,ひよしのかけの,てらささりせは
くもりなき,かみのみむろに,かけそへて,むかふかかみの,やまのはのつき
さかきはや,むそちあまりの,あきのしも,おきかさねても,よをいのるかな
かみかきに,わかおいらくの,ゆふかけて,なほさしそふる,みねのさかきは
いかてかは,きみもにほひを,そへさらむ,かみにたむくる,ももくさのはな
たむくへき,こころはかりは,ありなから,はなにならへむ,ことのはそなき
たむけおく,つゆのことはの,かすかすに,かみもあはれや,かけてみるらむ
いのること,かみよりほかに,もらさねは,ひとにしられす,ぬるるそてかな
あとたれし,もとのちかひを,わすれすは,むかしにかへれ,わかのうらなみ
かみたにも,わかみちまもれ,みしめなは,よのひとことは,ひくによるとも
としをへて,いのるこころを,しきしまの,みちあるみよに,かみもあらはせ
みつかきの,ひさしきよより,ゆふたすき,かけしこころは,かみそしるらむ
ちはやふる,かみもひかりを,やはらけて,くもらすてらせ,あきのよのつき
さねこして,さかきにかけし,かかみこそ,きみかときはの,かけはみえけれ
さかきはに,しものしらゆふ,かけてけり,かみなひやまの,あけほののそら
いろかへぬ,みむろのさかき,としをへて,おなしときはに,よをいのるかな
かみかきに,おもふこころを,ゆふしての,なひくはかりに,いかていのらむ
あとたれて,かみもいくよを,まもるらむ,おほみやところ,いまもくちせす
たちかへり,すててしみにも,いのるかな,こをおもふみちは,かみもしるらむ
すめらきの,かみのみことを,うけきつる,いやつきつきに,よをおもふかな
よをてらす,かけとおもへは,くまのやま,こころのそらに,すめるつきかな
ひとしれす,おもひいるのの,はなすすき,みたれそめける,そてのつゆかな
いりそむる,しけきをささの,つゆならて,まつそてぬらす,わかなみたかな
さもこそは,またみぬこひの,みちならめ,おもひたつより,まよひぬるかな
つらからは,いかにせむとか,ゆくすゑの,こころもしらす,おもひそむらむ
しられしな,かすみにこめて,かけろふの,をののわかくさ,したにもゆとも
しるやいかに,いはたのをのの,しのすすき,おもふこころは,ほにいてすとも
しられしな,つゆかかりとも,したをきの,ほにいたすへき,おもひならねは
ほのかなる,なにはのあしひ,いかなれは,たきそむるより,みをこかすらむ
むねにみつ,おもひはあれと,ふしのねの,けふりならねは,しるひともなし
しるらめや,かつらきやまに,ゐるくもの,たちゐにかかる,わかこころとは
あはれとも,たれかはこひを,なくさめむ,みよりほかには,しるひともなし
うきみには,たえぬなけきに,おもなれて,ものやおもふと,とふひともなし
こひわひて,なけかはいろに,いてぬへし,みにもしられぬ,こころともかな
かひなしや,しられぬなかに,なからへて,こころひとつの,たのみはかりは
ひとしれす,おもふこころの,くるしさを,いろにいててや,しらせそめまし
なみたこそ,しのははよそに,みえすとも,おさふるそてを,ひとやとかめむ
せきかへし,おさふるそてに,としふりて,ひとめにしらぬ,なみたともかな
したにのみ,いはまのみつに,むせかへり,もらさぬさきに,そてそぬれける
なにたてる,おとはのたきも,おとにのみ,きくよりそては,ぬるるものかは
はるかすみ,かすみのうらを,ゆくふねの,よそにもみえぬ,ひとをこひつつ
わかこひは,いはせのもりの,したくさの,みたれてのみも,すくすころかな
しられしな,さてもしのふの,もりのつゆ,もりてなみたの,そてにみえすは
したにこそ,しのふのつゆの,みたるとも,そてのほかには,いかかもらさむ
いろみえぬ,これやしのふの,すりころも,おもひみたるる,そてのしらつゆ
こころのみ,かきりしられぬ,みたれにて,いくとしつきを,しのふもちすり
みちのくに,みたれてすれる,かりころも,なをたにたつな,ひとにしられし
ふしのねの,けたぬけふりも,たたはたて,みのおもひたに,ひとししらすは
うらかせに,たくものけふり,なひくとも,しらるなひとに,こころよわさを
あまのたく,うらのしほやの,ゆふけふり,おもひきゆとも,ひとにしらるな
かはらやの,けふりはしたに,むせふとも,おもひありとは,ひとにしらせし
われのみと,くゆるけふりの,したもえに,ひとはやすくや,おもひけつらむ
ものおもふ,あたなはたたし,ゆふけふり,なひかぬなかに,こひはしぬとも
いかにせむ,しのふにたへぬ,いのちにて,のちのうきなの,よにものこらは
しのひつつ,このよつきなは,おもふこと,こけのしたにや,ともにくちなむ
いかにせむ,そてにひとめを,もるやまの,つゆもしくれも,いろにいてなは
おもひねと,ひともこそしれ,うはたまの,ゆめにもこよひ,みつとかたらし
うはたまの,ゆめのうきはし,あはれなと,ひとめをよきて,こひわたるらむ
よしさらは,なみたゆるさむ,しるとても,ひとにいふへき,まくらならねは
みせはやな,くたけておもふ,なみたとも,よもしらたまの,かかるたもとを
ひとしれぬ,おもひのいろの,したそめに,しほるなみたの,そてをみせはや
くれなゐの,なみたのいろも,まかふやと,あきはしくれに,そてやかさまし
あきののの,はきのしけみに,ふすしかの,ふかくもひとに,しのふころかな
このころは,のへのをしかの,ねにたてて,なかぬはかりと,いかてしらせむ
おとたてぬ,ものからひとに,しらせはや,ゑにかくたきの,わきかへるとも
もらさはや,やまもとかけて,せくいけの,いひいてかたき,こころありとも
せきかねぬ,ものおもふそての,みなとかは,いまはつつまぬ,なをやなかさむ
うもれきの,さてやくちなむ,なとりかは,あらはれぬへき,せせはすきにき
かくれぬの,いりえにおふる,あしのねの,したのみたれは,くるしかりけり
みくさゐる,いたゐのしみつ,いたつらに,いはぬをくみて,しるひとはなし
いかにせむ,こころのうちの,しからみに,あまりてかかる,そてのなみたを
われなから,いかにこころの,なりぬらむ,ひとめもしらす,ぬるるそてかな
おのつから,もらさはなほも,いかならむ,せくたにそてに,あまるなみたを
せきかぬる,なみたはあらし,もろともに,しのふはおなし,こころなりとも
しのふるは,おもふなかたに,くるしきを,つらきにそへて,せくなみたかな
ひとしれぬ,こころにたつる,にしききの,くちぬるいろや,そてにみゆらむ
つれなきも,いはねはこそと,おもはすは,としつきいかて,なからへもせむ
われならぬ,しのふのやまの,まつのはも,としへていろに,いつるものかは
なつやまの,しけみかしたに,はふくすの,いつあらはれて,うらみたにせむ
いろにいてて,のちもいくよか,つらからむ,しのふはかりに,としそへにける
いはておもふ,こころのうちの,あらましに,みをなくさめて,なほやしのはむ
ひとしれす,おもふとたにも,いはぬまの,こころのうちを,いかてみせまし
しのふるも,ためしあらしと,くるしきを,あらはれはまた,いかかなけかむ
うきみとて,さのみはいかか,つつむへき,いはてくやしき,こともこそあれ
つらしとも,いひてこころや,なくさむと,しのはてたにも,ひとをこひはや
われはかり,うきななれはと,しのふとも,こころかよはぬ,ひとやもらさむ
としをふる,なみたなりとも,おのつから,もらさはそての,ひまもあらまし
よしさらは,そてのなみたは,もらはもれ,たれゆゑとたに,ひとのしらすは
つつむとて,われとはいはぬ,おもひをも,なみたやよその,ひとにしらせむ
せきかねて,なみたはそてに,あまるとも,わかこころとは,いかかもらさむ
せかてたた,あらましものを,なかなかに,つつめはあまる,わかなみたかな
けふこそは,そてにももらせ,いつのまに,やかてなみたの,いろにみゆらむ
もらさしと,おもふこころも,いさやかは,せくにせかるる,うきなならねは
そてのうらの,みなといりえの,みをつくし,くちすはなほや,うきなたちなむ
みのための,おもひとならは,きえもせて,わかうきなのみ,たつけふりかな
したもえの,けふりのすゑよ,そらにのみ,たつななれとは,おもはさりしを
しのふれと,ものおもふひとは,うきくもの,そらにこひする,なをのみそたつ
こひすとも,いかてかそらに,なはたてし,しのふるほとは,そてにつつまて
いかにして,なみたとともに,もりぬらむ,そてのうちなる,うきなならぬに
こひすとも,ひとはしらしな,からころも,そてにあまらぬ,なみたなりせは
いはてたた,おもひしまての,あらましは,うきみなからも,なくさみそせし
くやしくそ,つらきこころを,あらはさて,しのひてすゑを,たのまさりける
ほのかにも,しらせてけりな,あつまなる,かすみのうらの,あまのいさりひ
あしのやの,こやのあまひと,しほたれて,そてほすひまも,なきみなりけり
いかさまに,みをつくしてか,なにはえに,ふかきおもひの,しるしみすへき
あまのすむ,うらのたまもを,かりそめに,みしはかりにも,ぬるるそてかな
むらくもに,かせふくよはの,つきかけの,はやくもみてし,ひとそこひしき
あきのたの,わさほのかつら,つゆかけて,むすふちきりは,かりにたになし
なからへは,さてもあふよの,たのみとて,なほをしまるる,わかいのちかな
かきりある,いのちのほとの,つれなさも,こひしなぬにそ,おもひしらるる
こむよには,ちきりありやと,こひしなむ,あふをかきりの,いのちをしまて
つれなさの,かきりをせめて,しりもせは,いのちをかけて,ものはおもはし
こひしなぬ,みのつれなさを,なけきにて,あひみむまては,おもひたえにき
あちきなく,いつまてものを,おもへとて,うきにのこれる,いのちなるらむ
あはてこそ,たたそのままに,こひしなめ,なかなかのちの,つらさおもへは
ありてうき,いのちにかへて,ときのまも,このよなからの,あふこともかな
なからへて,つらきおもひは,なからまし,あふにいのちを,かふるよならは
あふとみる,ほとはうつつに,かはらぬを,さめてゆめそと,おもはすもかな
これもまた,たかいつはりの,ゆめなれは,かよはぬなかも,あふとみゆらむ
うつつには,あふよもしらす,みるゆめを,はかなしとては,たのみこそせめ
あふとみし,ゆめのたたちに,せきすゑて,うちぬるひまも,なきおもひかな
あふことは,たたおもひねの,ゆめちにて,うつつゆるさぬ,よはのせきもり
あふとみる,わかおもひねの,おもかけを,さめてもたのむ,ほとそはかなき
ぬるかうちを,いかにたのみて,はかなくも,ちきらぬなかの,ゆめをまつらむ
おもかけの,うきにかはらて,みえもせは,いかにせむとか,ゆめをまつらむ
うたたねに,つれなくみえし,おもかけは,ゆめとしりても,なほやうらみむ
いかにせむ,まとろむほとの,ゆめにたに,うしとみぬよの,なくさめもかな
さよころも,かへすしるしの,なくさめも,ねられしまての,ゆめにそありける
おもひねの,よはのころもを,かへしても,なくさむほとの,ゆめをやはみる
なけきつつ,ふしみのさとの,ゆめにさへ,むなしきとこを,はらふまつかせ
いはかねの,こりしくやまの,こけむしろ,ぬるよもなしと,なけくころかな
しらせはや,ひとをうらみの,こひころも,なみたかさねて,ひとりぬるよを
うきものと,わかれになして,うらみはや,つれなきなかの,ありあけのつき
うきみにそ,つれなかりける,あつさゆみ,いかなるかたに,こころひくらむ
よしさらは,たたなかなかに,つれなかれ,うきにまけてや,おもひよわると
つもれたた,あはてつきひの,かさならは,しはしわするる,をりもありやと
よとともに,われにはものを,おもはせて,さのみやひとの,しらすかほなる
あふまての,しるへそいまは,たとらるる,こころのかよふ,みちはあれとも
のちはいさ,あひみぬさきの,つらさこそ,おもひくらふる,かたなかりけれ
せめてなほ,のちはうくとも,あひみての,つらさをなけく,わかみともかな
いまはたた,いろにいててや,うらみまし,うきみをしらぬ,なにはたつとも
いかにせむ,なみたのかはの,あさきせに,あたなみかけて,たつなはかりを
うきなをや,なほたてそへむ,にしききの,ちつかにあまる,ひとのつらさに
なきなのみ,をふのうらなし,いたつらに,ならぬこひする,みこそつらけれ
うらかせの,はけしきいその,まつをみよ,つれなきいろも,なひきやはせぬ
かひなしや,みるめはかりを,ちきりにて,なほそてぬるる,ちかのうらなみ
いせのうみの,をののみなとの,おのつから,あひみるほとの,なみのまもかな
もしほやく,あまのたくなは,うちはへて,くるしとたにも,いふかたそなき
おのつから,あふよもあらは,すまのあまの,しほやきころも,まとほなりとも
すまのあまの,しほたれころも,なみかけて,よるこそそても,ぬれまさりけれ
みくまのの,うらのはまゆふ,いくよへぬ,あはぬなみたを,そてにかさねて
なみたかき,ゆらのみなとを,こくふねの,しつめもあへぬ,わかこころかな
よるへなき,たななしをふね,くちもせて,おなしいりえに,みはこかれつつ
とははやな,みぬめのうらに,すむあまも,こころのうちに,ものやおもふと
みにはまた,まとほにたにも,あまころも,なれぬたもとの,なとしをるらむ
つれなくも,なほあふことを,まつしまや,をしまのあまと,そてはぬれつつ
たつたかは,くれなゐくくる,あきのみつ,いろもなかれも,そてのほかかは
いかにして,かけをもみまし,さはたかは,そてつくほとの,ちきりなりとも
いたつらに,なのみなかれて,いさやまた,あふせもしらぬ,とこのやまかは
おもひかは,せせのうたかた,いたつらに,あはてきえぬる,なをなかせとや
おもひかは,いつまてひとに,なひきもの,したにみたれて,あふせまつらむ
なみたかは,うきせにまよふ,みつのあわの,さすかにきえぬ,みをいかにせむ
としふれと,わたらぬなかに,なかるるを,あふくまかはと,たれかいひけむ
ひとしれぬ,こひちのはてや,みちのくの,あふくまかはの,わたりなるらむ
よそにのみ,なほいつまてか,おもひかは,わたらぬなかの,ちきりたのまむ
わかそての,ものとはよしや,いはしろの,のへのしたくさ,つゆふかくとも
あすかかは,ゆききのをかの,くすかつら,くるしやひとに,あはぬうらみは
まよひゆく,すゑはいかにと,とふへきを,わかこひちには,あふひともなし
あふさかの,せきのこなたの,いかなれは,またこえぬより,くるしかるらむ
せきなくて,たたあふさかの,やまならは,へたつるなかに,ものはおもはし
たれにかは,あふさかやまの,なのみして,わかみにこえぬ,せきとなるらむ
いかにせむ,よそのひとめの,せきもりに,かよふみちなき,あふさかのやま
いこまやま,へたつるなかの,みねのくも,なにとてかかる,こころなるらむ
よとともに,もゆともいかか,いふきやま,さしもつれなき,ひとにしらせむ
こひしなむ,のちせのやまの,みねのくも,きえなはよそに,あはれともみよ
けふりたつ,むろのやしまや,いつくそと,とへなおもひの,ゆくへしらせむ
まつしまや,わかみのかたに,やくしほの,けふりのすゑを,とふひともかな
すまのうらの,あまりにもゆる,おもひかな,しほやくけふり,ひとはなひかて
おもふこと,ありそのうみの,うつせかひ,あはてやみぬる,なをやのこさむ
つれなくも,なほなからへて,おもふかな,うきなををしむ,こころはかりに
うきひとの,こころもしらす,われはかり,いのちあらはと,みをいのるかな
つれなさも,よしやいのらし,かみたにも,うけすはのちの,たのみなけれは
すみよしの,かみにいのりし,あふことの,まつもひさしく,なりにけるかな
おもふこと,たねしあれはと,たのみても,まつのねたくや,あはてやみなむ
こひしなぬ,みののをやまの,つれなくも,いつまてひとに,まつときかれむ
いとせめて,まつにたへたる,わかみそと,しりてやひとの,つれなかるらむ
とへかしな,あまのまてかた,さのみやは,まつにいのちの,なからへもせむ
つれなさの,うきにしもなと,なからへて,おもひつきせぬ,いのちなるらむ
こひしなむ,のちにあふせの,あるへくは,なほをしからぬ,いのちならまし
なからへて,あらはとおもふ,こころこそ,ひともちきらぬ,たのみなりけれ
いかにせむ,われのみひとを,おもふとも,こふともおなし,こころならすは
よしさらは,こひしなすとも,なからへて,おなしよにたに,ありときかれむ
われはかり,いのちにかへて,なけくとも,をしまれぬへき,みとはたのます
さてもまた,あはてたえなは,たまのをの,いくよをかけて,おもひみたれむ
めくりあはむ,こむよもしらぬ,ちきりには,みをかへてとも,えこそたのまね
つらくとも,なほうつせみの,みをかへて,のちのよまてや,ひとをこひまし
いけみつに,つかはぬをしの,うきまくら,ならふかたなき,こひもするかな
ゆくみつに,かすかくひとも,わかことく,あとなきこひに,そてやぬれけむ
ものおもへは,まののこすけの,すかまくら,たえぬなみたに,くちそはてぬる
つれなさの,ためしにひかむ,あつさゆみ,おもひよわらぬ,こころつよさを
ものおもふ,なみたのはても,いかならむ,あふをかきりの,なくてやみなは
たまかつら,たえぬつらさの,としをへて,さのみやひとに,おもひみたれむ
さりともと,おもふこころに,としふるは,つらきもたえぬ,ちきりなりけり
あふまてと,たのむつきひの,はてもなし,うきをかきりの,こころなかさに
つれなさの,うきにつけても,かこつかな,よよのむかしの,しらぬむくひを
さきのよに,われにこころや,つくしけむ,むくひならては,かからましやは
さてもなほ,ひとのこころを,しらぬまは,ちきるさへこそ,おもひなりけれ
まことかと,またおしかへし,とふほとの,ひとめのひまも,なきちきりかな
いつはりの,あるよかなしき,こころこそ,たのましとたに,おもひさためね
たのめおく,ひとのちきりそ,ありはてぬ,いのちまつまも,うたかはれける
あふことを,しらぬたのみは,かひなくて,ちきりはかりに,みをやかへてむ
あちきなし,たれもはかなき,いのちもて,たのめはけふの,くれをたのめよ
ひとつての,いつはりにたに,おのつから,あはれをかくる,ことのはもかな
ちきりしも,あらぬよにとは,きかさりき,こひしなてまつ,いのちともかな
さならては,たのめもおかし,いつはりの,あるよそひとの,なさけなりける
いつはりを,たのまてもまた,いかかせむ,かねてしらるる,まことならねは
いつはりと,おもひなからや,ちきるらむ,しらはやひとの,したのこころを
おのつから,いつはりならぬ,ちきりをも,わかこころとや,たのまさるらむ
たのむるを,いのちになして,すくすみは,いつはりかとも,よしやおもはし
さのみまた,ひとのこころを,うたかはは,わかいつはりの,ほとやしられむ
いつはりの,ことのはそとて,たのますは,うきみにちきる,ひとやなからむ
けにおもふ,こころのそこの,しられねは,ちきるままにも,えやはたのまむ
さりともと,おもひなからも,まつほとは,なほみのうさに,うたかはれつつ
いつはりを,たのむにこそは,なりもせめ,またすといかか,ひとにきかれむ
ちきりしを,ひとのまことと,たのみても,またいかならむ,ゆふくれのそら
まちみはや,よもいつはりに,なりはてし,しひてたのめし,ゆふくれのそら
さりともと,このゆふくれの,またるるや,いひしをたのむ,こころなるらむ
となせかは,こすいかたしの,みなれさを,さしてたのめし,くれそまたるる
くるるまを,はかなくいそく,こころかな,あふにかへむと,ちかふいのちに
わすれても,とはすもそなる,ちきりおきし,くれそとひとに,おとろかさはや
おもへたた,たのめぬたにも,またるるに,こよひといひし,こころつくしは
いつはりを,おもひしらぬに,なしはてて,またなほさりの,くれをまつかな
ちきりしは,たたなほさりの,ゆふへとも,しらてまちける,ほとそはかなき
こよひたに,いかにゆふけの,うらそとも,ききさためてや,ひとをまたまし
ふけにける,うらみやなほも,のこるへき,いつはりならぬ,こよひなりとも
ひとめよく,みちはさこそと,おもへとも,なくさめかたく,ふくるよはかな
おもひやれ,そらたのめせぬ,つきたにも,まつはこころを,つくすものとは
まちわひて,ふけゆくつきの,かけのみや,ねぬよのそての,なみたとふらむ
ふけぬるは,こぬひとゆゑに,うきものを,またれかほにも,いつるつきかな
かきくらす,なみたしなくは,こぬひとの,つらさにかへて,つきもみてまし
ふけぬとも,しはしはまたむ,やまのはの,つきみてのちも,おもひいつやと
たのめても,こぬひとつらき,よひよひに,いつはりしらて,いつるつきかな
いつはりに,ふけゆくほとの,しらるれは,まつよのつきの,かけはなかめし
たのめしは,こよひもいかに,なりぬらむ,ふけぬるものを,やまのはのつき
やまのはに,いるまてつきを,なかむとも,しらてやひとの,ありあけのそら
かへるさの,わかれのみかは,まつひとの,つれなきもうき,ありあけのそら
ふけぬれは,せめてたのみの,なきままに,こよひもあすの,くれそまたるる
とはるへき,そのあらましに,まきのとを,たのめぬよはも,ささてあけぬる
まちわひて,こぬよむなしく,あけゆけは,なみたかすそふ,しきのはねかき
たのめすは,うきみのとかと,なけきつつ,ひとのこころを,うらみさらまし
たのめぬを,わかこころより,まちかねて,ひとのうきにや,おもひなすへき
たのましと,おもひなりても,いつはりに,かはらてまつは,こころなりけり
うかりける,ひとのことのは,なけけとて,なといつはりの,あるよなるらむ
ちきりしに,かはるときくも,つらからす,さてもとはるる,ならひなけれは
うらみしよ,おもへはひとの,こぬまても,なさけにこそは,ちきりおきけめ
なくさむる,わかあらましに,まちなれて,さのみねぬよの,かすやかさねむ
きくたひに,なこそのせきの,なもつらし,ゆきてはかへる,みにしられつつ
まちえても,やかてわかれの,ゆふへこそ,とふさへつらき,ちきりなりけれ
ひとりねの,とこになれこし,つきかけを,もろともにみる,よはもありけり
つらかりし,ときこそあらめ,あひみての,のちさへものは,なとやかなしき
なけきわひ,あふにかへむと,おもひしは,うかりしまての,いのちなりけり
うつつとも,おもひさためぬ,あふことを,ゆめにまかへて,ひとにかたるな
きみもまた,あふとみるよの,ゆめならは,たれかわかれの,まつはさむらむ
うれしさを,こよひつつまむ,ためとてや,そてはなみたに,くちのこりけむ
わすられむ,のちのうきなを,おもふにも,あふとはよその,ひとにしられし
しのふやま,いはねのまくら,かはすとも,したゆくみつの,もらさすもかな
いかかせむ,まつほとすきて,ふくるよに,やかてなこりの,をしきわかれを
かよひくる,なのみありその,はまちとり,あとはしはしも,なとかととめぬ
こころある,とりのねならは,いかはかり,いまひとときも,うれしからまし
わかるれは,おなしこころに,うしとのみ,ゆふつけとりの,ねをそうらむる
あかつきの,わかれもしらぬ,とりのねは,なにのつらさに,なきはしめけむ
せめてなほ,のちのよをこそ,たのめつれ,なからへぬへき,わかれならねは
あたになと,おもひそめけむ,あさつゆの,おきわかれても,きえぬいのちを
あかつきの,とこはくさはの,なになれや,つゆにわかれの,なみたそふらむ
あふまての,おもひはことの,かすならて,わかれそこひの,はしめなりける
あちきなく,またありあけや,つらからむ,ことをかきりの,わかれならすは
かへるさの,わすれかたみの,そてのつき,それもとまらす,あくるそらかな
ありあけの,つきはかたみに,たのまれす,くれまつまての,みにもそはねは
なからへて,またあふことも,しらぬみは,これやかたみの,ありあけのつき
かたみとて,われこそみつれ,おもかけを,ひとはのこさぬ,ありあけのつき
うつつこそ,けさはなかなか,かなしけれ,かへるうらみは,ゆめにみさりき
われならぬ,くすのうらはも,けさみれは,かへるとてこそ,つゆもこほるれ
わけわひぬ,そてのわかれの,しののめに,なみたおちそふ,みちしはのつゆ
もらすなよ,みちのささはら,ふみわけし,ひとよのふしの,つゆのたまくら
ありしよの,のちはたかひに,しのひきて,かよふこころも,しらぬなかかな
あひみても,はかなきものは,ゆくみつに,かすかきとめぬ,ちきりなりけり
ひとすちに,たのむこころの,なくもかな,かはらはつらき,みともこそなれ
よよかけて,なみこさしとは,ちきるとも,いさやこころの,すゑのまつやま
あさくとも,たのみこそせめ,なみたかは,さてもあふせの,かはりはてすは
あふことを,なほやたのまむ,かたいとの,くるよまれなる,ちきりなりとも
たかかたに,こころをかけて,したひもの,まれにあふよも,むすほほるらむ
おもひやる,ひとのこころを,へたてすは,いくへもかかれ,みねのしらくも
たつねても,ゆくへしるへき,ちきりかは,もろこしふねの,あとのしらなみ
わたつうみの,そことしりても,いかかせむ,みるめはおのか,こころならねは
おもかけは,をしへしやとに,さきたちて,こたへぬかせの,まつにふくこゑ
いたつらに,きえかへるとも,しらせはや,ゆきてはきぬる,みちしはのつゆ
いたつらに,まちみるひとも,なかりけり,とひてくやしき,みわのやまもと
いもかすむ,やとのこなたの,ころもかは,わたらぬをりも,そてぬらしけり
すみよしの,きしのあたなみ,かけてたに,わするるくさは,ありとしらすな
さとのあまの,かりそめなりし,ちきりより,やかてみるめの,たよりをそとふ
おとろかす,かせにつけても,こぬひとの,つらさそまさる,あきのゆふくれ
ゆくすゑを,かけてちきりし,うつつをは,あとなきゆめに,いかかなすへき
みしゆめの,わすられぬたに,うきものを,なにかうつつに,なしてなけかむ
いかにせむ,いはまをつたふ,やまみつの,あさきちきりは,すゑもとほらす
くやしくそ,むすひそめける,そのままに,さてやまのゐの,あさきちきりを
まれならむ,ことをやかねて,ちきりおきし,たえてもたのむ,こころなかさは
たなはたの,あふよまれなる,ちきりたに,さすかにとしを,へたてやはする
あふことを,またはいつとも,いはさりし,わかれよりこそ,かはりそめけめ
われさらは,ひとよりさきに,わすれなむ,かはらむのちの,つらさをもみて
あひみても,またいかさまに,なけけとて,かはるつらさの,あるよなるらむ
いたつらに,あけぬくれぬと,たまくしけ,ふたたひあはぬ,みこそつらけれ
うきみには,ちきりしままに,たのむへき,ひとのまことも,なきよなりけり
はかなくも,ひとのこころを,またしらて,とはるへきみと,おもひけるかな
いつまてか,しきしのふへき,そのままに,わかちりはらふ,とこのさむしろ
かはらしと,いひしはいつの,ちきりにて,よかるるとこに,つきをみるらむ
くもるへき,わかなみたとも,しらてこそ,つきをかたみと,ちきりおきけめ
さてもまた,いかなるよはの,つきかけに,うきおもかけを,さそひそめけむ
おもひいてよ,たかきぬきぬの,あかつきも,わかまたしのふ,つきそみゆらむ
いかにせむ,なくさむやとて,なかむれは,わかれしよはの,ありあけのそら
おもひいてて,つきもつらさの,まさるかな,みしやわかれの,ありあけのそら
つれなくそ,なほおもかけの,のこりける,またもみさりし,ありあけのつき
うきなから,さてもみにそふ,おもかけの,わすれぬのみや,かたみなるらむ
わすれすよ,しはしといひし,かへるさの,そてのわかれに,のこるおもかけ
なれしよの,とこはかはらぬ,おもひねに,またみるゆめの,おもかけそなき
うつつとて,かたるはかりの,ちきりかは,あたなるゆめの,ままのつきはし
わすれねよ,ゆめそといひし,かねことを,なとそのままに,たのまさりけむ
さらにまた,あふをかきりと,なけくかな,みしはむかしの,ゆめになしつつ
ねぬにみし,ゆめはいかなる,ちきりそと,われたにひとを,おとろかさはや
あひみしは,ひとよのゆめの,くさまくら,むすふもかりの,ちきりなりけり
かりそめの,ゆめよりのちは,くさまくら,またもむすはぬ,ちきりなりけり
いかてなほ,よはのころもを,かへしても,かさねしほとの,ゆめをたにみむ
さめぬれは,もとのつらさの,うつつにて,なかなかなりや,おもひねのゆめ
おもひねの,ゆめのうちにも,なくさまて,さむるうつつは,なほそかなしき
そのままに,またもとはれぬ,うつつこそ,さてもゆめかと,おもひなさるれ
くちねたた,おなしなみたの,そてのいろを,またもみすへき,ちきりならねは
おもひかは,あふせのいかに,かはりてか,またはなみたの,ふちとなるらむ
なみこゆる,そてのみなとの,うきまくら,うきてそひとり,ねはなかれける
つれなさは,ありしにかへる,つらさにて,またもかさねぬ,そてのうらなみ
あふことは,よそになるをの,おきつなみ,うきてみるめの,よるへたになし
ふみみても,うらみそふかき,はまちとり,まれになりゆく,あとのつらさは
いかにせむ,くもゐのかりの,つてにたに,みえすなりゆく,ひとのたまつさ
かりにたに,こぬひとまつと,さのみやは,あきのわさたの,いねかてにせむ
たえぬるか,あふさかやまの,さねかつら,しられぬほとを,なになけきけむ
あとたゆる,みちのささはら,いつまてか,よをへたてても,ひとをまちけむ
あひみてし,のちせのやまの,のちもなと,かよはぬみちの,くるしかるらむ
そへてやる,こころやきみに,なれぬらむ,とほさかるみは,へたてはつとも
いははしの,ちきりはよはの,むかしにて,たえまをとほく,こひわたるかな
なかめても,むかしにかはる,こころかな,ひとのとふへき,ゆふへならねは
いまはとて,おもひたえても,あられねは,またぬゆふへも,そてはぬれけり
おもひいては,またおのつから,とはるやと,さすかにたえぬ,ちきりをそまつ
そのままに,おもひもこりは,いかかせむ,うきをしらぬそ,ちきりなりける
もろともに,わすれしとのみ,ちきりしは,わかみひとつの,まことなりけり
われをたに,わするなとこそ,ちきりしか,いつよりかはる,こころなるらむ
おもひわひ,いまひとたひは,うらみはや,こころのままに,わすれもそする
あやにくに,うらみはなほや,つらからむ,かはりそめぬる,ひとのこころは
あはぬよの,つもるつらさは,しきたへの,まくらのちりそ,まつしらせける
よそなから,つれなかりしは,なかなかに,うきみのほとも,しられやはせし
いかにせむ,つらきかきりを,みてもまた,なほしたはるる,こころよわさを
うとくなる,ちきりをひとに,かこちても,うきはわかみに,なほのこりけり
うきなから,なほこそたのめ,つれなさの,さてはてさりし,こころならひに
おなしよに,いけるをうしと,おもふみの,こころににぬは,いのちなりけり
さきたたぬ,みはおなしよに,なからへて,かはるをみるも,うきいのちかな
いかにせむ,いまはたおなし,よのなかに,ありとはひとに,しられすもかな
なからへて,いけるいのちの,つれなさを,きかるはかりの,ひとつてもかな
こひこひて,そなたになひく,けふりあらは,いひしちきりの,はてとなかめよ
はつせかは,またみむとこそ,たのめしか,おもふもつらし,ふたもとのすき
ひとははや,いひしちきりも,かはるよに,むかしなからの,みこそつらけれ
こころこそ,むかしにもあらす,かはるとも,ちきりしことを,わすれすもかな
はかなくそ,わすれはてしと,たのみける,むかしのままの,こころならひに
わすれしと,いひしはかりの,ことのはや,つらきかなかの,なさけなるらむ
ことのはに,そへてもいまは,かへさはや,わすらるるみに,のこるおもかけ
いつはりの,ことのはたにも,なきときそ,けにたえはつる,ちきりとはしる
なほさりに,ひとたひちきる,いつはりも,なかきうらみの,ゆふくれのそら
まちなれし,ちきりはよその,ゆふくれに,ひとりかなしき,いりあひのかね
