こすゑより,ちりかふはなを,さきたてて,かせのしたゆく,しかのやまみち
そこきよき,なかれたえせぬ,みつのおもに,はなのにほひを,うつしてそみる
なかれては,いつくにはるの,とまるらむ,はなちりかかる,やまかはのみつ
よしのかは,はなのしらなみ,なかるめり,ふきにけらしな,やまおろしのかせ
いけみつに,はなのにしきを,うつしては,なみのあやをや,たちかさぬらむ
くやしくそ,うつろふはなを,たをりつる,あやなくそての,ゆきとふりけり
ちりつもる,はなのしらゆき,あともなし,さかりまてとや,ひともとひけむ
ゆきとふる,はなにしをりも,うつもれて,またふみまよふ,はるのみやまち
ふきみたる,はなのしらゆき,かきくれて,あらしにまよふ,はるのやまみち
またさそふ,このしたかせに,かつきえて,ふるとしもなき,はなのしらゆき
これもまた,ありあけのかけと,みゆるかな,よしののやまの,はなのしらゆき
たつねつつ,けふみさりせは,さくらはな,ちりにけりとや,よそにきかまし
はるかすみ,たなひくやまの,さくらはな,はやくみてまし,ちりすきにけり
あすかかせ,あすもふきなは,たをやめの,かさしのさくら,ちりかすきなむ
あかさりし,こころにはるや,とまるらむ,なほおもかけの,さらぬはなかな
としをへて,わかみはあらす,なりゆけと,はなのすかたは,かはらさりけり
いたつらに,さきてちりぬる,さくらはな,むかしのはるの,しるしなりけり
やまたかみ,さこそあらしは,さそふとも,あまりなるまて,ちるさくらかな
ちりまかふ,はなはころもに,かかれとも,みなせをそおもふ,つきのいるまは
みなそこの,かけもうかへは,かかりひの,あまたにみゆる,はるのよひかな
ちらぬまに,ゆきてをみはや,いにしへの,いろはかはらし,ゐてのやまふき
いくはるに,ゐてのしたおひ,めくりあひて,さくやまふきの,はなをみつらむ
よしのかは,きしうつなみの,たかけれは,さけるやまふき,ちらまくもをし
かはかせは,いかにふくとも,やまふきの,ちりゆくみつを,せきやとめまし
かけうつす,ゐてのたまかは,そこきよみ,やへにやへそふ,やまふきのはな
そこきよき,ゐてのかはへに,かけみえて,いまさかりなり,やまふきのはな
ちりぬれは,くやしきものを,おほゐかは,きしのやまふき,けふさかりなり
なかれゆく,かはせのみつに,かけみえて,ちらぬもうかふ,やまふきのはな
やまふきの,はなのかかみと,なるみつに,はるのひかすも,うつるとそみる
ちりはつる,やまふきのせに,ゆくはるの,はなにさをさす,うちのかはをさ
やまたかみ,まつにかかれる,ふちのはな,そらよりおつる,なみかとそみる
ふちのはな,あたにちりなは,ときはなる,まつにかかれる,かひやなからむ
なにゆゑに,なほしたふらむ,はなとりの,あとなきのちの,はるのわかれち
はなゆゑに,あかぬわかれは,ならひけむ,おもひしらすも,かへるはるかな
うつりゆく,つきひもしらぬ,やまさとは,はなをかきりに,はるそくれぬる
はなもちり,とりものこらす,ものことに,またあらたまる,はるのくれかな
はつせやま,をのへのはなは,ちりはてて,いりあひのかねに,はるそくれぬる
はなはみな,ちりはてにけり,いまいくか,ひかすはかりの,はるをしたはむ
すかのねの,なかなかしひも,いつのまに,つもりてやすく,はるはくるらむ
をしむとて,くるるひかすの,ととまらは,なほいかはかり,はるをしたはむ
みやひとの,そてつきころも,けふかへて,なつきにけらし,たかまとのやま
きのふにも,そらはかはらて,もろひとの,ころものいろに,なつはきにけり
けふもなほ,かすむとやまの,あさほらけ,きのふのはるの,おもかけそたつ
なつころも,たちかへてしも,わすれぬは,わかれしはるの,はなそめのそて
なつころも,はるにおくれて,さくはなの,かをたににほへ,おなしかたみに
うくひすの,わすれかたみの,こゑはあれと,はなはあとなき,なつこたちかな
はなさかぬ,こすゑとみしは,よしのやま,はるにおくるる,さくらなりけり
なつあさき,あをはのやまの,あさほらけ,はなにかをりし,はるそわすれぬ
あをはのみ,しけりにけりな,かたをかの,こすゑははなの,かけとみしまに
