いにしへの,はるをそしたふ,いまのよの,はなになりぬる,ひとのこころに
ふくかせの,うらみはみにそ,かへりぬる,をさまれるよは,はなもちらしを
ふくかせの,をさまれるよは,かきりありて,ちるものとけき,やまさくらかな
はるかせは,ふくとしもなき,ゆふくれに,こすゑのはなも,のとかにそちる
さくらはな,ちりかひかすむ,ひさかたの,くもゐにかをる,はるのやまかせ
さくらはな,そらさへにほふ,やまかせに,うつろふくもの,あともさためす
たかさこの,まつのみとりは,つれなくて,をのへのはなの,いろそうつろふ
にほひくる,かせのたよりを,しをりにて,はなにこえゆく,しかのやまみち
ふきおくる,はなをたよりに,たつねきて,つらさわするる,はるのやまかせ
さしもこそ,いとふうきなの,あらしやま,はなのところと,いかてなりけむ
うらみはや,かつちるはなの,こすゑこそ,やかてあらしの,やとりなりけれ
ちるかうへに,またさそはれて,はるかせの,ふくにまかする,やまさくらかな
いまよりは,はなのたよりに,ひとまたし,ちれはわかるる,おもひそひけり
さくらはな,またみぬほとに,ちりにけり,のちのはるたに,こころあらなむ
このはるも,きみをはまちつ,さくらはな,かせのこころの,なきにやあるらむ
あちきなく,またこりすまに,をしめとも,うつろひまさる,やまさくらかな
むかしより,かくこそひとも,をしみけめ,たかならはしに,はなのちるらむ
おのつから,ちりやのこらむ,やまさくら,をしむこころを,はなにしられは
みれはまた,ちらぬこころを,やまさくら,はなにもいかて,おもひしらせむ
ゆふたたみ,たむけのやまの,さくらはな,ぬさもとりあへす,はるかせそふく
しらくもに,まかふたかねの,やまさくら,ちるをははなと,みるかひそなき
いろもかも,わきそかねぬる,はなさそふ,あらしになひく,みねのしらくも
みよしのの,よしののさくら,ちりぬらし,たえまかちなる,みねのしらくも
いまさらに,ゆきとみよとや,みよしのの,よしののさくら,はるかせそふく
ゆきとのみ,あらしのすゑに,さそはれて,くもにまかはぬ,やまさくらかな
かへるさを,いかにせよとて,やまさくら,ふままくをしき,ゆきとふるらむ
このまより,はなのゆきのみ,ちりくるは,みかさのやまの,もるにやあるらむ
にはたつみ,このもとちかく,なかれすは,うたかたはなを,ありとみましや
とふひとも,こすゑをみてや,かへるらむ,あはれさひしき,はなのにはかな
みやきもり,なきさのかすみ,たなひきて,むかしもとほし,しかのはなその
ふるさとと,なりにしかとも,さくらさく,はるやむかしの,しかのはなその
しかのうらや,よせくるなみも,しろたへに,はなふきおろす,ひらのやまかせ
しかのうらや,さくらふきこす,やまかせに,よるへさためぬ,はなのささなみ
はるかせに,かすみなかれて,よしのかは,みつのうへゆく,はなのしらなみ
よしのかは,おつるしらあわの,きえかへり,のこるもつらき,はなのいろかな
はるかせを,たきついはねに,せきかねて,かすみにおつる,はなのしらなみ
とませかは,とまらぬなみに,かけてけり,しらゆふたきつ,はなのしからみ
たきつせは,かすみのそこに,おとたえて,くもよりおつる,はなのしらなみ
さそはれし,なこりときけは,ふくかせの,おとこそはなの,かたみなりけれ
ひとりのみ,なかむるやとに,ちるはなを,あふきのかせの,つてにたにみよ
ふきまよふ,あふきのかせの,つてにこそ,いはてかひある,いろもみえけれ
はるのよの,あらしやそらに,さむからし,かすみもなれぬ,つきのかけかな
はるのよの,ならひもつらし,なにしかも,くもらぬつきの,かすみそめけむ
そことしも,わかれぬそらの,ひかりにて,かすみににほふ,はるのよのつき
このもとは,ひかすはかりを,にほひにて,はなものこらぬ,はるのふるさと
はるかすみ,たなひくたにに,かへるなり,くもよりいてし,うくひすのこゑ
をやまたの,なはしろみつも,せきわけす,ゆたかなるよに,まかせてそみる
せきとめぬ,ゐてのしからみ,なみこえて,はるのわかれに,なくかはつかな
いろみえて,なかれもやらす,やまふきの,うつろふかけや,ゐてのしからみ
みなそこに,うつるをしらて,やまふきの,はなのうへこす,なみかとそみる
よしのかは,はやせのなみに,かけみえて,はなもいはこす,きしのやまふき
たちかへり,みれともあかぬ,ふちなみは,すくるこころに,かかるなりけり
ときはなる,みきはのまつに,かかるより,はなもひさしき,いけのふちなみ
ふちのはな,かせをさまれる,むらさきの,くもたちさらぬ,ところとそみる
かすかのの,ふちはちりゆく,なにをかは,みかりのひとの,をりてかささむ
ゆくふねの,あとなきかたを,したひても,はるはとまらぬ,やへのしほかせ
わかれゆく,はるのかすみの,せきもりも,すくるひかすを,ととめやはする
ちりはつる,はなのあとたに,さひしきを,いかにせよとて,はるのゆくらむ
ちるはなを,まつさきたてて,ひかすさへ,うつりはてぬと,くるるはるかな
ねにかへり,ふるすをいそく,はなとりの,おなしみちにや,はるもゆくらむ
はなたにも,ちらてわかるる,はるならは,いとかくけふは,をしまさらまし
いくかへり,はるのわかれを,をしみきぬ,みとりのそらも,あはれとはみよ
