こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
かみかきに,かかるとならは,あさかほも,ゆふかくるまて,にほはさらめや
ぬしやたれ,きるひとなしに,ふちはかま,みれはのことに,ほころひにけり
あさなあさな,つゆおもけなる,はきかえに,こころをさへも,かけてみるかな
をきのはに,こととふひとも,なきものを,くるあきことに,そよとこたふる
あきののの,くさむらことに,おくつゆは,よるなくむしの,なみたなるへし
やへむくら,しけれるやとは,よもすから,むしのねきくそ,とりところなる
なくむしの,ひとつこゑにも,きこえぬは,こころこころに,ものやかなしき
ふるさとに,かはらさりけり,すすむしの,なるみののへの,ゆふくれのこゑ
あきかせに,つゆをなみたと,なくむしの,おもふこころを,たれにとはまし
あふさかの,すきまのつきの,なかりせは,いくきのこまと,いかてしらまし
きくひとの,なとやすからぬ,しかのねは,わかつまをこそ,こひてなくらめ
あきはきを,くさのまくらに,むすふよは,ちかくもしかの,こゑをきくかな
あきふかみ,はなにはきくの,せきなれは,したはにつきも,もりあかしけり
しもかるる,はしめとみすは,しらきくの,うつろふいろを,なけかさらまし
ことしまた,さくへきはなの,あらはこそ,うつろふきくに,めかれをもせめ
くさかれの,ふゆまてみよと,つゆしもの,おきてのこせる,しらきくのはな
せきこゆる,ひとにとははや,みちのくの,あたちのまゆみ,もみちしにきや
いくらとも,みえぬもみちの,にしきかな,たれふたむらの,やまといひけむ
ゆふされは,なにかいそかむ,もみちはの,したてるやまは,よるもこえなむ
やまさとは,ゆききのみちの,みえぬまて,あきのこのはに,うつもれにけり
はるさめの,あやおりかけし,みつのおもに,あきはもみちの,にしきをそしく
なこりなく,しくれのそらは,はれぬれと,またふるものは,このはなりけり
あれはてて,つきもとまらぬ,わかやとに,あきのこのはを,かせそふきける
あきふかみ,もみちおちしく,あしろきは,ひをのよるさへ,あかくみえけり
はつしもも,おきにけらしな,けさみれは,のへのあさちも,いろつきにけり
いつかたに,あきのゆくらむ,わかやとに,こよひはかりは,あまやとりせて
なにことも,ゆきていのらむと,おもひしに,かみなつきにも,なりにけるかな
ひさきおふる,さはへのちはら,ふゆくれは,ひはりのとこそ,あらはれにける
こすゑにて,あかさりしかは,もみちはの,ちりしくにはを,はらはてそみる
いろいろに,そむるしくれに,もみちはは,あらそひかねて,ちりはてにけり
やまふかみ,おちてつもれる,もみちはの,かわけるうへに,しくれふるなり
いまさらに,おのかすみかを,たたしとて,このはのしたに,をしそなくなる
かせふけは,ならのうらはの,そよそよと,いひあはせつつ,いつちちるらむ
とやまなる,しはのたちえに,ふくかせの,おときくをりそ,ふゆはものうき
あきはなほ,このしたかけも,くらかりき,つきはふゆこそ,みるへかりけれ
もろともに,やまめくりする,しくれかな,ふるにかひなき,みとはしらすや
いほりさす,ならのこかけに,もるつきの,くもるとみれは,しくれふるなり
みやまには,あらしやいたく,ふきぬらむ,あしろもたわに,もみちつもれり
あられふる,かたののみのの,かりころも,ぬれぬやとかす,ひとしなけれは
やまふかみ,やくすみかまの,けふりこそ,やかてゆきけの,くもとなりけれ
としをへて,よしののやまに,みなれたる,めにめつらしき,けさのはつゆき
ひくらしに,やまちのきのふ,しくれしは,ふしのたかねの,ゆきにそありける
おくやまの,いはかきもみち,ちりはてて,くちはかうへに,ゆきそつもれる
くれなゐに,みえしこすゑも,ゆきふれは,しらゆふかくる,かみなひのもり
まつひとの,いまもきたらは,いかかせむ,ふままくをしき,にはのゆきかな
かすならぬ,みにさへとしの,つもるかな,おいはひとをも,きらはさりけり
たままつる,としのをはりに,なりにけり,けふにやまたも,あはむとすらむ
きみかよに,あふくまかはの,そこきよみ,ちとせをへつつ,すまむとそおもふ
めつらしく,けふたちそむる,つるのこは,ちよのむつきを,かさぬへきかな
すききにし,ほとをはすてつ,ことしより,ちよのかすつむ,すみよしのまつ
きみかよは,しらくもかかる,つくはねの,みねのつつきの,うみとなるまて
さかきはを,てにとりもちて,いのりつる,かみのよよりも,ひさしからなむ
あかてのみ,かへるとおもへは,さくらはな,をるへきはるそ,つきせさりける
まつしまの,いそにむれゐる,あしたつの,おのかさまさま,みえしちよかな
ひととせを,くれぬとなにか,をしむへき,つきせぬちよの,はるをまつには
たれにとか,いけのこころも,おもふらむ,そこにやとれる,まつのちとせは
きみかよの,ひさしかるへき,ためしにや,かみもうゑけむ,すみよしのまつ
すみよしの,あらひとかみの,ひさしさに,まつもいくたひ,おひかはるらむ
みやこにて,おほつかなさを,ならはすは,たひねをいかに,おもひやらまし
もろともに,たたましものを,みちのくの,ころものせきを,よそにきくかな
よろこひを,くはへにいそく,たひなれは,おもへとえこそ,ととめさりけれ
とまりゐて,まつへきみこそ,おいにけれ,あはれわかれは,ひとのためかは
かへりこむ,ほとをもしらす,かなしきは,よをなかつきの,わかれなりけり
むとせにそ,きみはきまさむ,すみよしの,まつへきみこそ,いたくおいぬれ
あかねさす,ひにむかひても,おもひいてよ,みやこははれぬ,なかめすらむと
わかれちの,くさはをわけむ,たひころも,たつよりかねて,ぬるるそてかな
またこむと,たれにもえこそ,いひおかね,こころにかなふ,いのちならねは
ととまらむ,ととまらしとも,おもほえす,いつくもつひの,すみかならねは
ふたつなき,こころをきみに,ととめおきて,われさへわれに,わかれぬるかな
くれはまつ,そなたをのみそ,なかむへき,いてむひことに,おもひおこせよ
あつまちの,はるけきみちを,ゆきめくり,いつかとくへき,したひものせき
たちわかれ,はるかにいきの,まつなれは,こひしかるへき,ちよのかけかな
はかなくも,けさのわかれの,をしきかな,いつかはひとを,なからへてみし
あやしくも,わかみやまきの,もゆるかな,おもひはひとに,つけてしものを
いかてかは,おもひありとも,しらすへき,むろのやしまの,けふりならては
かくとたに,いはてはかなく,こひしなは,やかてしられぬ,みとやなりなむ
おもひかね,けふたてそむる,にしききの,ちつかもまたて,あふよしもかな
たにかはの,いはまをわけて,ゆくみつの,おとにのみやは,きかむとおもひし
よとともに,こひつつすくる,としつきは,かはれとかはる,ここちこそせね
わかこひは,ゆめちにのみそ,なくさむる,つれなきひとも,あふとみゆれは
なくさむる,かたもなくてや,やみなまし,ゆめにもひとの,つれなかりせは
いのちあらは,あふよもあらむ,よのなかに,なとしぬはかり,おもふこころそ
