ふくかせを,いとひてのみも,すくすかな,はなみぬとしの,はるしなけれは
いきてこそ,ことしもみつれ,やまさくら,はなにをしきは,いのちなりけり
はなをみて,なくさむよりや,みよしのの,やまをうきよの,ほかといひけむ
いかはかり,ひとをまたまし,やとからに,とはれぬはなと,おもひしらすは
よしさらは,かせにもちりね,さくらはな,みるわれならて,とふひともなし
おのつから,はなのをりのみ,とふひとの,こころのいろを,いかかたのまむ
たちかへり,いさまたゆかむ,やまさくら,はなのにほひの,うしろめたさに
みねつつき,にほふさくらを,わかものと,をりてやきつる,はるのひくらし
をしむとて,いくかもあらし,やまさくら,こころのままに,をりてかへらむ
いかはかり,まつもをしむも,はなゆゑは,ひとのこころを,みよしののやま
たれもみな,はなにかへさや,わするらむ,けふはやまちに,あふひともなし
たつねつる,しるへとたのむ,やまひとの,かへるもしらす,はなをみるかな
ぬれつつも,あかすそみつる,やまさくら,かをるのきはの,はなのしつくに
ちるをこそ,うしともかこて,さくはなの,にほひはさそへ,はるのやまかせ
あたにさく,はなのつらさに,ならはすは,ちらぬよりまつ,ものはおもはし
あたにちる,ものからいかて,さくらはな,のとけきはるの,いろをみすらむ
かせのまに,ちらすはありとも,やまさくら,いくかをはなの,さかりとかみむ
はるかせは,ふくともちるな,さくらはな,はなのこころを,われになしつつ
かすみたつ,やまのさくらは,いたつらに,ひとにもみえて,はるやすくらむ
うつろはて,しはしはまかふ,やまさくら,ちれはよそなる,みねのしらくも
いとはしよ,そらにあらしの,さそはすは,よものこすゑの,はなをみましや
あたなりと,うつろふはなに,かこつかな,ちらぬをかせも,さそひやはする
はなとみる,よそめはかりの,しらくもも,はらふはつらき,はるのやまかせ
わかきつる,あとたにみえす,さくらはな,ちりのまかひの,はるのやまかせ
みやこには,ちりにしものを,やまさくら,われをまつとや,かせもよきけむ
あたなりと,かねてしりにき,さくらはな,をしむほとたに,のとけかるらむ
ちるときは,うしとみれとも,わすれつつ,はなにこころの,なほとまるかな
たをりても,なほうつろはは,さくらはな,こころつからの,うさやわすれむ
はるかせは,はなちるへくも,ふかぬひに,おのれうつろふ,やまさくらかな
さくらはな,ちらてもおなし,たむけやま,ぬさとなふきそ,はるのゆふかせ
ちるはなの,あかぬいろかを,みにかへて,さもしたはるる,やまさくらかな
なれてみる,おいきのはなよ,ちりやすき,わかなみたには,ならはさらなむ
あめはるる,のきはのはなに,かせすきて,つゆもたまらす,ちるさくらかな
たちかへり,かせをのみこそ,うらみつれ,ふかすははなも,ちらしとおもへは
はなよりも,つきをそこよひ,をしむへき,いりなはいかか,ちるをたにみむ
をしとたに,いはれさりけり,さくらはな,ちるをみるまの,こころまとひに
はるかせの,ふきまふときは,さくらはな,ちりぬるえたに,さくかとそみる
よしのかは,はなのしからみ,かけてけり,をのへのさくら,いまやちるらむ
ちるはなの,なみをいはねに,ふきこして,かせにそまさる,やまかはのみつ
おもひやる,こころのはなも,いけみつに,うつるはかりの,いろやみゆらむ
けふこすは,あすともまたし,さくらはな,いたつらにのみ,ちらはちらなむ
あすはまた,いかになかめむ,ちりはてぬ,けふたにつらき,はなのこすゑを
ふくかせを,うらみははてし,やまさくら,こころとちらは,はなのなもうし
なれてみる,わかなこりをは,をしまてや,さそふあらしに,はなのちるらむ
きのふみし,こすゑのはなは,このねぬる,あさけのかせに,ふれるしらゆき
わきてなと,おなしこすゑの,はるかせに,かたえのこして,はなのちるらむ
ちりのこる,みきはのさくら,かけみえて,はなのなみたつ,はるかせそふく
さくらはな,ちりのこるらし,よしのやま,あらしのあとに,かかるしらくも
かせわたる,くものはやしの,やまさくら,はなのところそ,ゆきとふりぬる
ゆきとのみ,ふりこそまされ,やまさくら,うつろふはなの,はるのこのもと
ちりまかふ,おもかけをたに,おもひやれ,たつねぬやとの,はなのしらゆき
とはてしも,みるそかひある,よそまても,ちりくるにはの,はなのしらゆき
けふもまた,とはてくれぬる,ふるさとの,はなはゆきとや,いまはちるらむ
よしのやま,くもらぬゆきと,みるまてに,ありあけのそらに,はなそちりける
かつらきや,たかまのあらし,ふきぬらし,そらにしらるる,はなのしらゆき
たつねこぬ,さきにはちらて,やまさくら,みるをりにしも,ゆきとふるらむ
やまさとは,とひくるひとの,あともなし,ふりつむはなは,ゆきとみれとも
