やまさくら,ちるをもなにか,をしみけむ,おなしこすゑに,かへすはるかせ
ねにかへる,はなともみえす,やまさくら,あらしのさそふ,にはのしらゆき
たつねこむ,はるよりのちの,あともかな,しかのみやこの,はなのしらゆき
けふとても,さくらはゆきと,ふるさとの,あとなきにはを,はなとやはみる
とふひとの,またれしものを,にはのおもに,あとをしむまて,ちるさくらかな
うちよする,なみにちりかふ,はなみれは,こほらぬいけに,ゆきそつもれる
よしのかは,ゆきけのみつの,はるのいろに,さそふともなき,はなのしたかせ
よしのかは,たきのうへなる,やまさくら,いはこすなみの,はなとちるらし
つくはねの,みねのさくらや,みなのかは,なかれてふちと,ちりつもるらむ
はつせかは,はなのみなわの,きえかてに,はるあらはるる,せせのしらなみ
やまかはに,はるゆくみつは,よとめとも,かせにとまらぬ,はなのしからみ
ちるはなに,せせのいはまや,せかるらむ,さくらにいつる,はるのやまかは
あしひきの,みやまかくれに,ちるはなを,さそひていつる,たにかはのみつ
ふくかせは,やとりもしらす,たにかはの,はなのゆくへを,ゆきてうらみむ
うつろふも,めにみぬかせの,つらさにて,ちりぬるはなを,たれにかこたむ
さきまかふ,はなのあたなは,ふりはてて,くもにとまらぬ,はるのやまかせ
たちかくす,かすみそつらき,やまさくら,かせたにのこす,はるのかたみを
みるままに,かつちるはなを,たつぬれは,のこれるはるそ,すくなかりける
ゆきとのみ,ふるのやまへは,うつもれて,あをはそはなの,しるしなりける
はるのよの,かすみのまより,やまのはを,ほのかにみせて,いつるつきかけ
ところから,ひかりかはらは,はるのつき,あかしのうらは,かすますもかな
はれままつ,こころはかりを,なくさめて,かすめるつきに,よそふけにける
をしむへき,くものいつくの,かけもみす,かすみてあくる,はるのよのつき
はるくれは,うきたのもりに,ひくしめや,なはしろみつの,たよりなるらむ
をちこちの,なはしろみつに,せきかけて,はるゆくかはは,すゑそわかるる
よしのかは,をられぬみつに,そてぬれて,なみにうつろふ,きしのやまふき
をりてみむ,ことたにをしき,やまふきの,はなのうへこす,ゐてのかはなみ
ちりぬへき,ゐてのやまふき,けふこすは,はなのさかりや,ひとにとはまし
たまもかる,ゐてのかはかせ,ふきにけり,みなわにうかふ,やまふきのはな
ちれはかつ,なみのかけたる,しからみや,ゐてこすかせの,やまふきのはな
いつはりの,はなとそみゆる,まつやまの,こすゑをこえて,かかるふちなみ
ふかみとり,いろもかはらぬ,まつかえは,ふちこそはるの,しるしなりけれ
いかにして,ときはのまつの,おなしえに,かかれるふちの,はなにさくらむ
しひてなほ,そてぬらせとや,ふちのはな,はるはいくかの,あめにさくらむ
さとわかす,おなしゆふへに,ゆくはるを,われそわかれと,たれをしむらむ
つれもなく,くれぬるそらを,わかれにて,ゆくかたしらす,かへるはるかな
あらたまの,としをかさねて,かへつれと,なほひとへなる,なつころもかな
けふとてや,おほみやひとの,しろたへに,かさねてきたる,せみのはころも
やまかくれ,ひとはとひこす,さくらはな,はるさへすきぬ,たれにみせまし
ほとときす,しのふころとは,しりなから,いかにまたるる,はつねなるらむ
われはまた,ゆめにもきかす,ほとときす,まちえぬほとは,ぬるよなけれは
ほとときす,ねぬよのかすは,おもひしれ,たかさとわかす,ねをはなくとも
