けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
たちはなの,かけふむみちの,やちまたに,ものをそおもふ,いもにあはすして
うちわたす,たけたのはらに,なくたつの,まなしときなし,わかこふらくは
なくさむる,こころはなしに,くもかくれ,なきゆくとりの,ねのみしなかる
うちたのむ,きみかこころの,つらからは,のにもやまにも,ゆきかくれなむ
あひおもはぬ,ひとのこころは,やまなれや,いはほよりけに,うこかさるらむ
あめやまぬ,やまのあまくも,たちゐにも,やすきそらなく,きみをこそおもへ
なかつきの,そのはつかりの,たよりにも,おもふこころは,きこえこぬかも
もゆれとも,むねのおもひは,かひもなし,けふりをみてそ,ひともとひける
しのふとも,こふともしらぬ,つれなさに,われのみいくよ,なけきてかねむ
しのはれす,こひすはなにを,ちきりとか,うきにそへたる,なけきをもせむ
いとはるる,かたこそあらめ,いまさらに,よそのなさけは,かはらさらなむ
すまのあまの,しほたれころも,なみかけて,よるこそそても,ぬれまさりけれ
いもかうへは,しはのいほりの,あめなれや,こまかにきくに,そてのぬるらむ
もしほやく,うらのけふりを,かせにみて,なひかぬひとの,こころをそおもふ
かせのおとの,きこえてすくる,ゆふくれに,わひつつあれと,とふひともなし
ゆふくれは,かならすひとを,こひなれて,ひもかたふけは,すてにかなしき
あしまより,なにはのうらを,ゆくふねの,つなてなかくも,こひわたるかな
わきもこに,こひてすへなみ,ゆめにみむと,われはおもへと,いこそねられね
いとふてふ,ことのはをたに,つゆはかり,みまくほしきや,なにのこころそ
おもひかね,つれなきひとの,はてみむと,あはれいのちの,をしくもあるかな
とにかくに,こころひとつを,つくしきて,いつをおもひの,はてとかはせむ
みにそはは,なくさみぬへき,おもかけに,なとこひしさの,なほまさるらむ
あふまてと,おもふたのみを,いのちにて,つれなくすくす,われそはかなき
おもほえす,われになきなの,たつたかは,なかるるみつを,かへしてしかな
ぬきすてむ,かたなきものは,からころも,たちとたちぬる,なにこそありけれ
なみたかは,うきなはかりを,なかしても,みはうたかたの,まつやきえなむ
よしさらは,なみたのしたに,くちもせよ,みさへなかるる,とこのさむしろ
うしろめた,かせのさきなる,もかりふね,いつれのかたに,よらむとすらむ
つれなさの,かきりをみむと,おもふにそ,うきにもをしき,いのちなりける
おもふらむ,こころのほとを,いかにして,こころにこころ,かへてしらまし
みをわけて,おもふなかには,なにとてか,こころはかりを,かへてしるへき
いまこそは,おもふあまりに,しらせつれ,いはてみゆへき,こころならねは
うきてこそ,なかれいつれと,なみたかは,こひしきせせに,あはすもあるかな
おもひいてぬ,ときはなけれと,したひもの,なととけすのみ,むすほほるらむ
あきやまの,このしたかくれ,ゆくみつの,われこそまされ,おもふこころは
なかむるを,たのむことにて,あかしてき,たたかたふきし,つきをのみみて
てるつきの,ひかりはしはし,よそならは,おもかけにのみ,またるへきかな
なかむらむ,ひとのこころも,しらなくに,つきをあはれと,おもふよはかな
をしますよ,ひとよはかりの,あふことに,かへむいのちは,さすかなれとも
いはしたた,しらはさすかにと,おもひなす,なくさめにこそ,かかるたのみを
ひともつつみ,われもかさねて,とひかたみ,たのめしよはは,たたふけそゆく
まちかほに,ひとにはみえし,とはかりに,なみたのとこに,しをれてそぬる
まとろまむ,こころもなくて,まつよひに,やすくしつまる,ひとさへそうき
おもひあれは,たのめぬよはも,ねられぬを,まつとやひとの,よそにみるらむ
ゆめちには,なこそのせきも,なしといふに,こひしきひとの,なとかみえこぬ
ひとのうへと,みしつれなさの,いまはまた,われになりても,なけかるるかな
つれなしと,みつつつれなく,しのふまに,われもつれなき,なをそたちぬる
あふことの,むなしきなのみ,のこしおきて,みはなきかすに,ききやなされむ
こひしてふ,いつはりいかに,つらからむ,こころをみする,ことのはならは
かささきの,はねにしもふり,さむきよを,ひとりかねなむ,きみをまちかね
あしひきの,やまのしつくに,いもまつと,われたちぬれぬ,やまのしつくに
おほかたの,はるはきぬるに,いかなれは,したまつはなの,おそくさくらむ
ちきりしを,わすれぬこころ,そこにあれや,たのまぬからに,けふのひさしき
くらしかたき,けふのなかめの,こころにて,またぬいくかを,いかてすきけむ
まつことの,こころにすすむ,けふのひは,くれしとすれや,あまりひさしき
おとせぬか,うれしきをりも,ありけるよ,たのみさためて,のちのゆふくれ
こよひそと,まつゆふくれの,たまつさは,またさはるかと,あけまくもうし
おもひたえて,またぬもかなし,まつもくるし,わすれつつある,ゆふくれもかな
ちきりしを,よもとたのまぬ,このゆふへ,まつとはなしに,しつこころなき
こぬひとを,さらにうらみは,ちきりしを,たのみけりとや,おもひなされむ
いかたおろす,そまやまかはの,あさきせは,またこのくれも,さこそさはらめ
ことのはは,たたなさけにも,ちきるらむ,みえぬこころの,おくそゆかしき
さのみやと,けふのたのみに,おもひなせは,きのふのうさそ,いまはうれしき
こよひとへや,のちのいくよは,いくたひも,よしいつはりに,ならはなるとも
おのつから,いつはりならぬ,ことのはも,あらはとたのむ,よさへふけぬる
ふけさらむ,そのうれしさの,あすよりも,こよひのうちの,ときのまもかな
いまのまも,いかにかおもひ,なりぬると,まつよひしもそ,しつこころなき
たのめおきし,こよひはかりも,せめてまつ,かはるなかはる,こころなりとも
わひつつは,いつはりにたに,たのめよと,おもひしことを,こよひこりぬる
おもへきみ,ちきらぬよひの,つきたにも,ひとにしられて,いつるものかは
さみたれの,たそかれときの,つきかけの,おほろけにやは,われひとをまつ
ひとしれす,ひとまたさりし,あきたにも,たたにねられし,つきのころかは
まそてもて,ゆかうちはらひ,きみまつと,をりつるほとに,つきかたふきぬ
まつひとの,みえぬからにや,さよふけて,つきにいるにも,ねはなかるらむ
ことにいてて,まつとはいはし,おのつから,いさよふつきに,まかせてをみむ
みをさらぬ,おもかけはかり,さきたちて,ふけゆくつきに,ひとそつれなき
またぬたに,くるれはいつる,やまのはの,つきをつれなき,ひとにみせはや
まちわひて,なみたかたしく,そてのうへに,こぬよのつきの,かけそふけゆく
とはむしも,いまはうしやの,あけかたも,またれすはなき,つきのよすから
つきそうき,かたふくかけを,なかめすは,まつよのふくる,そらもしられし
たのめねは,ひとやはうきと,おもひなせと,こよひもつひに,またあけにけり
なほこりす,たのむかさしも,うききはの,こよひをみても,あすのゆふくれ
いつはりに,ひとなたのめそ,いまやとも,まつほとはしも,おもはれはこそ
わかおもひ,なくさまなくに,なにしかも,こぬものゆゑに,たのめおきけむ
まちよわり,いまはとおもひ,なるほとよ,かねよりのちに,とりもこゑして
おもひしをれ,ぬるとしもなき,ときのまに,ねやのひまさへ,しらみはてぬる
ふけはつる,かねよいまはの,かなしさを,しらてつれなき,ひとやきくらむ
たのめしを,まつよのあめの,あけかたに,をやむしもこそ,つらくきこゆれ
よのうちは,まつにもつゆは,かかりけり,あくれはきゆる,ものをこそおもへ
たれかれと,われをなとひそ,なかつきの,つゆにぬれつつ,きみまつわれそ
おほつかな,こよひはたれと,ちきりてか,あけなむくれを,まてといふらむ
よしこよひ,とはてもさらは,あけななむ,あすよりひとを,うらみはつへく
ふけぬれと,なほもちきりの,すゑなれは,うきにはなさて,ひとそまたるる
まきのとを,さすなといひて,たのめしも,あらぬつらさに,あくるしののめ
うきをしるも,いくあかつきに,なりぬらむ,こよひもはやく,とりなきぬなり
いはてもや,あられぬへきの,こころみに,きのふのそらは,くらしかねてき
くるほとの,ひさしきからに,おもひやる,かたさへなくも,なりぬへきかな
とふほとの,はるけきやまの,ほとときす,なくをもひとは,きかすやあるへき
かすかのの,ゆきのしたくさ,ひとしれす,とふひありやと,われそまちつる
かるのいけの,いりえめくれる,かもすらに,たまものうへに,ひとりねなくに
あたにのみ,きみかむすへる,したひもの,とくるをひとに,しらせさらなむ
ときかへし,ゐてのしたおひ,ゆきめくり,あふせうれしき,たまかはのみつ
こひこひて,あひみるよはの,うれしきに,ひころのうさは,いはしとそおもふ
いかにして,ひころのうさの,かきりをも,あふよのうちに,いひつくさまし
とほつまと,まくらかはして,ねたるよは,とりのねなくな,あけはあくとも
あきのよを,なかしとおもへと,つもりにし,こひをつくせは,みしかかりけり
ものおもひは,けさこそまされ,つらかりし,ことはことにも,あらぬなりけり
よひのまの,たたときのまの,わかれにて,とりのねかこつ,うさまてもなし
あかつきの,あらしにむせふ,とりのねに,われもなきてそ,おきわかれゆく
ひきとめよ,ありあけのつきの,しらまゆみ,かへるさいそく,ひとのわかれち
むすひおく,ちきりわするな,したおひの,したにそふかく,われはたのみし
わかるへき,ときかやされは,かきくらす,わかなみたには,あけぬよのそら
あかつきの,わかれのきはに,しられけり,またとおもはぬ,ひとのけしきは
ときのまの,あふうれしさの,ほともなく,なこりをしたふ,なみたにそなる
いまはとて,おきてわかるる,とこのうへに,とまるまくらも,くれやまつらむ
きぬきぬに,わかれかねつる,やすらひに,あけすきぬへき,かへるさのみち
わかれちの,なこりのそらに,つきはあれと,いてつるひとの,かけはとまらす
ゆくもぬれ,とまるもしをる,そてなれは,きぬきぬにこそ,つきもわかるれ
うれしきに,うきはそひける,ならひかな,まちみしよひに,いまのわかれち
あはぬよは,こひつつもねき,あかつきの,わかれのみちに,なとまとふらむ
みちすから,われのみつらく,なかむれと,つきはわかれも,しらすかほなる
かへるさは,おもかけをのみ,みにそへて,なみたにくらす,ありあけのつき
おきてゆく,ひとはつゆにも,あらねとも,けさはなこりの,そてもかわかす
きぬきぬの,たもとにのこる,つゆしあらは,とめつるたまの,ゆくへともみよ
しらつゆの,ひたくるままに,きえゆけは,くれまつわれも,いかかとそおもふ
いかにせむ,いかにかせまし,いかにねて,おきつるけさの,なこりなるらむ
いかにみし,いかなるゆめの,なこりそと,あやしきまては,われそなかむる
なけきわひ,むなしくあけし,そらよりも,まさりてなとか,けさはかなしき
おもへとも,なほあやしきは,あふことの,なかりしむかし,なにおもひけむ
かへるさの,しののめくらき,むらくもも,わかそてよりや,しくれそめつる
きぬきぬの,しののめくらき,わかれちに,そへしなみたは,さそしくれけむ
つねよりも,あはれなりつる,なこりしも,つらきかたさへ,けふはそひぬる
けさのなこり,はれぬゆふへの,なかめより,こよひはさてや,おもひあかさむ
あけやすき,ひとのわかれを,うらみしに,わかあかつきの,いまはひさしき
しののめに,おきてわかれし,ひとよりは,ひさしくとまる,たけのはのつゆ
なきなけき,さもひとこひて,なかめしと,おもひいてよよ,ゆふくれのそら
こころにも,しはしそこむる,こひしさの,なみたにあまる,ゆふくれのそら
いつはりの,つらきゆふへを,かさねても,こころよわくそ,ひとはこひしき
こひしさの,なくさむかたと,なかむれは,こころそやかて,そらになりゆく
こひわひて,われとなかむる,ゆふくれも,なるれはひとの,かたみかほなる
つれつれと,そらそみらるる,おもふひと,あまくたりこむ,ものならなくに
いまのまの,いのちにかへて,けふのこと,あすのゆふへを,なけかすもかな
あはれわか,おもひのたゆむ,ときもかな,ねさめもつらし,ゆふくれもうし
そなたより,ふきくるかせそ,なつかしき,いもかたもとに,ふれやしぬらむ
くもとつる,やとののきはの,ゆふなかめ,こひよりあまる,あめのおとかな
つねよりも,なみたかきくらす,をりしもあれ,くさきをみるも,あめのゆふくれ
あめもよに,ふりはへとはむ,ひともなし,なきにおとりて,いけるみそうき
よるのあめの,おとにたくへる,きみなれや,ふりしまされは,われこひまさる
なけかすは,ねなましものを,よひよひに,やすくふすゐの,とこならすとも
なかそらに,ひとりありあけの,つきをみて,のこるくまなく,みをそしりぬる
たのめても,ひとのちきりは,むなしきに,こととふつきそ,そてによかれぬ
あはれにも,めくりあふよの,つきかけを,おもひいれすや,ひとはみるらむ
うくつらき,ひとのおもかけ,わかなみた,ともにそうかふ,つきのよすから
みかつきの,われてあひみし,おもかけの,ありあけまてに,なりにけるかな
うきくもの,よそになりにし,つきなれは,たえまありとも,みえしとそおもふ
わかそては,なみたありとも,つけなくに,まつしりかほに,やとるつきかな
つきかけに,みをやかへまし,おもふてふ,ひとのこころに,いりてみるへく
あはれとも,みるひとあらは,おもはなむ,つきのおもてに,やとすこころを
こひうれへ,ひとりなかむる,よはのつき,かはれやおなし,かけもうらめし
よもすから,こひなくそてに,つきはあれと,みしおもかけは,かよひしもこす
うきなみの,かかるとならは,うとはまの,うとくてひとに,あらましものを
なみのよる,しほのひるまも,わすられす,こころにかかる,まつかうらしま
いせのうみや,をふのみなとに,ひくあみの,うけくにひとを,うらみてそふる
おのつから,みるめもあらは,わたつうみと,あれにしとこを,うらみしもせし
いかなれは,くちぬるそてそ,なみかかる,いはねのまつも,さてこそはあれ
こちかせに,なひきもはてぬ,あまふねの,みをうらみつつ,こかれてそふる
うらかくれ,いりえにすつる,われふねの,われそくたけて,ひとはこひしき
やまのゐの,あさきこころを,しりぬれは,かけみむことは,おもひたえにき
わかためは,しつくににこる,やまのゐの,いかなるひとに,すまむとすらむ
ふかきかはの,そこのみくつに,あらねとも,おもひしつみて,くちやはてなむ
ちとりなく,さほのかはせの,ささらなみ,やむときもなし,わかこふらくは
つれつれと,なかむるころの,こひしさは,なくさめかたき,ものにそありける
いかにせむ,こひしきことの,まさるかな,なかなかよそに,きかましものを
みのうさの,おもひしらるる,ことわりに,おさへられぬは,なみたなりけり
いくほとも,なからふましき,よのなかに,ものをおもはて,ふるよしもかな
ときのまも,われにこころの,いかかなると,たたつねにこそ,とはまほしけれ
さてしもは,はてぬならひの,あはれさの,なれゆくままに,なほおもはるる
なほさりの,ことはかよへと,それしもそ,いつまてかはと,こころおかるる
つらからぬ,こころそつらき,よそにては,いとこれほとの,なけきやはせし
こひしさを,あひみむまてと,おもひしは,こころのすゑを,しらぬなりけり
きみゆゑに,しつまむのちの,よをそおもふ,ふかくていのちの,たえもはてなは
おもひけるか,さすかあはれにと,おもふより,うきにまさりて,なみたそおつる
おもふてふ,そのことのはよ,ときのまに,いつはりにても,きくこともかな
きみゆゑに,たへすなりにし,みそとたに,しらしとおもふも,かねてかなしき
わきもこか,かたみのころも,したにきて,たたにあふまては,われぬかめやも
なくなみた,そらにもなとか,ふらさらむ,あまくもはれぬ,ものをおもへは
ゆめをたに,おもふこころに,まかせなむ,みるはこころの,なくさむものを
こひしさの,さむるよもなき,こころには,ゆめとそおもふ,うつつなからも
おもひいつる,ことはうつつか,おほつかな,みはててさめし,あけくれのゆめ
みもはてて,さめけむゆめを,おもふにも,これそうつつと,いかてしらせむ
おのつから,うつつにさもや,おもふらむ,ゆめなれはとて,たのまさらめや
おもひねの,ゆめにうれしき,おもかけの,さなからやかて,うつつともかな
よにもらは,たかみもあらし,わすれねよ,こふなよゆめそ,いまはかきりに
つらからむ,のちのこころを,おもはすは,あるにまかせて,すきぬへきよを
ゆくすゑと,ちきりしことは,かはるとも,このころはかり,とふひともかな
ほとふへき,いのちなりせは,まことにや,わすれはてぬと,みるへきものを
いへはよの,つねのこととや,おもふらむ,われはたくひも,あらしとおもふに
さらてたに,つゆけきころを,なそもかく,あきしもものを,おもひそめけむ
ひにそへて,おもひのみそふ,みのはてよ,をしからぬしも,あはれなるかな
あらはあふ,おなしよたのむ,わかれちに,いきていのちそ,さらにくやしき
きえはてて,みこそははひに,なるとても,ゆめのたましひ,きみにあひそへ
たかためと,おもふいのちに,あらはこそ,けぬへきみをも,をしみととめめ
そてぬれて,ほしそわつらふ,からころも,きみかたまくら,ふれぬよはには
ふるそては,なみたにぬれて,くちにしを,いかにたちまふ,わかみなるらむ
こころこそ,うとくもならめ,みにそへる,おもかけたにも,われをはなるな
うらみても,なくさめてまし,なかなかに,つらくてひとの,あはぬとおもはは
つひにかかる,うさにもならは,なにかわか,おもふこころの,そこをみせけむ
たまつさに,たたひとふてと,むかへとも,おもふこころを,ととめかねぬる
ものおもへは,はかなきふての,すさひにも,こころににたる,ことそかかるる
もえこかれ,みをきるはかり,わひしきは,なけきのなかの,おもひなりけり
あふことの,かくてたえなは,あはれわか,よよのほたしと,なりぬへきかな
さりともと,たのむこころに,はかされて,しなれぬものは,いのちなりけり
おもへとも,あひもおもはす,おもふとき,おもふひとをや,おもはさりけむ
つくつくと,みるにこころは,くれはとり,あやしとひとの,めにやたつらむ
ととめあへす,やかてこほるる,なみたゆゑ,みせぬこころを,ひとにみえぬる
かはかりは,なにゆゑおつる,なみたそと,われもあやしき,ものをこそおもへ
せきやらぬ,なみたよしはし,おちとまれ,さまてはひとに,みえしとおもふに
かひあらし,いはしよしとは,おもへとも,いまひとたひは,うらみてもみむ
なほさりの,あたしことのは,たのましと,おもふものから,またそなくさむ
ふくかせの,たよりにつけて,こととはは,うはのそらにや,ひとのおもはむ
われならぬ,ひとにとくなと,いひおきし,きみかしたひも,ゆるすなるかな
むすふとも,とくともしらて,したひもの,よにみたれつつ,ものをこそおもへ
ぬれそめし,そてたにあるを,おなしのの,つゆをはさのみ,いかかわくへき
なこそとは,たれかはいひし,いはねとも,こころにすうる,せきとこそみれ
よのなかを,はかなきものと,おもふにも,まつおもひいつる,きみにもあるかな
さてもわか,こころよわさの,すさひゆゑ,くやしきことを,またやなけかむ
つれなさの,ひとのむくひを,いかにして,おなしよなから,おもひしらせむ
なほさりの,たよりにとはむ,ひとことに,うちとけてしも,みえしとそおもふ
いきてのよ,しにてののちの,のちのよも,はねをかはせる,とりとなりなむ
あきになる,ことのはたにも,かはらすは,われもかはせる,えたとなりなむ
すむひとの,かたかるへきに,にこりえは,こひちにかけも,みえぬなりけり
ひとはしらし,こころのそこの,あはれのみ,なくさめかたく,なりまさるころ
あはれをも,うきにのみこそ,ひとはなすに,われそうきをも,あはれにはなす
つらきをは,さらにもいはす,ひとこころ,あはれなるにも,ものをこそおもへ
かくしつつ,いかてかよには,なからへむ,なくさむはかり,とふひともかな
わかみには,くるしきことも,しりぬれは,ものおもふひとの,あはれなるかな
うきひとの,こころをのみや,うらむへき,わかみもものを,おもひしるやは
うきをしのひ,つらきにたへて,としへぬる,つれなさをたに,いかてしらせむ
かはるましき,ひとのこころと,おもひなして,ありはてぬよを,なけくはかなさ
こころにも,そてにもとまる,うつりかを,まくらにのみや,ちきりおくへき
なほさりの,なけのなさけを,たのますは,よしなきものは,おもはさらまし
かすならぬ,みははしたかの,すすかやま,とはぬになにの,おとをかはせむ
ゆめちには,なれしやとみゆ,うつつには,うつのやまへの,つたふけるいほ
おもふひと,みやこにおかぬ,たひねもや,なみたにそてを,なほくたすらむ
たれゆゑと,さらぬたひねの,いほりたに,みやこのかたは,なかめしものを
わすれはや,まつかせさむき,なみのうへに,けふしのへとも,ちきらぬものを
まつらむと,なにをしるしの,すきにてか,こころもしらぬ,やとをたつねむ
ひとしれぬ,こころのうちの,まつのみそ,すきにもまさる,しるしなりける
あなこひし,ふきかふかせも,ことつてよ,おもひわひぬる,くれのなかめを
おのつから,あはれとかけむ,ひとことに,たれかはつてむ,やへのしらくも
こひしさは,なかめのすゑに,かたちして,なみたにうかふ,とほやまのまつ
なくさめむ,かたこそなけれ,あひみても,あはてもなけく,こひのくるしさ
おもふてふ,ことのよにたに,ふりさらは,わかいへるとそ,きみにいはまし
わすられは,ともにわするる,ならひにて,ひとりはものを,おもはすもかな
わかたまを,きみかこころに,いれかへて,おもふとたにも,いはせてしかな
よしなしと,おもふこころの,かねてより,あらましかはと,いまそかなしき
ときのまも,あらぬこころを,ませはこそ,いまさらひとを,こひしとおもはめ
つれなさの,そのままならは,うきことに,こひしきかたは,そはすそあらまし
おもはしと,おもふはかりは,かなはねは,こころのそこよ,おもはれすなれ
なにことの,かはるとなしに,かはりゆく,ひとのこころの,あはれよのなか
いかてかは,ゆめにもひとの,みえつらむ,ものおもひそめし,のちはねなくに
あちきなや,たかためおもふ,ことなれは,わかみにかへて,ひとをこふらむ
こひしとも,いまはおもはす,たましひの,あひみぬさきに,なくなりぬれは
とへかしと,いつにもすきて,おもふよを,よしあすもとや,ひとはねぬらむ
おもひつつ,ぬれはなるへし,ゆめにさへ,つらくみえつる,けさのわひしさ
おもひつつ,こひつつはねし,あふとみる,ゆめはさめては,わひしかりけり
はかなくも,まくらさためす,あかすかな,ゆめかたりせし,ひとをまつとて
うれしくて,のちうきものは,ぬるとこの,わかみをはかる,ゆめにそありける
とこのうみの,わかみこすなみ,よるとても,うちぬるなかに,かよふゆめかは
あくかるる,たまのゆくへよ,こひしとも,おもはぬゆめに,いりやかぬらむ
こひしさの,ねてやわするると,おもへとも,またなこりそふ,ゆめのおもかけ
みてしもに,まさるうつつの,おもひかな,それとはかりの,うたたねのゆめ
なくなくも,ひとをうらむと,ゆめにみて,うつつにそてを,けにぬらしぬる
おもふかたに,みえつるゆめを,なつかしみ,けふはなかめて,われこひまさる
おのつから,こころかよふと,みるゆめも,さむれはうさに,またかへりぬる
おのつから,ひともなみたや,しるからむ,そてよりあまる,うたたねのゆめ
きみゆゑに,たえむいのちを,なへてよの,あはれとたにも,なほかけしとや
なへてよの,あはれはなとか,かけさらむ,たれゆゑたゆる,いのちなりとも
おなしよに,あるをたのみの,いのちにて,をしむもたれか,ためとかはしる
あちきなし,ありへしすへて,うきよかな,おもふこころに,ひとはかなはす
わすられす,おもはましかは,わすれぬを,わするるものと,おもはましやは
わするらむ,ことをはいさや,しらねとも,とはぬやそれと,とひしはかりそ
はるされは,もすのくさくき,みえすとも,われはみやらむ,きみかあたりを
とりのこゑ,さへつりつくす,はるひかけ,くらしかたみに,ものをこそおもへ
もろこゑに,なくへきものを,うくひすは,むつきともまた,しらすやあるらむ
にほひうすく,さけるはなをも,きみかため,をりとしをれは,いろまさりけり
をらさりし,ときよりにほふ,はななれは,わかためふかき,いろとやはみる
きみかため,たをれるえたは,はるなから,かくこそあきの,もみちしにけれ
おもふこと,うすくやなると,なつころも,かふるたもとも,なみたなりけり
とほさかる,みはうつせみの,なつころも,なれはまさらて,あきかせそふく
あけくれて,ひころへにけり,うのはなの,うきよのなかに,なかめせしまに
いととしく,ひころへゆけは,うのはなの,うきにつけてや,わすれはてぬる
わすれにし,そのかみやまの,あふひくさ,けふたにかけて,おもひいてすや
けふのみや,おもひいつらむ,あふひくさ,われはこころに,かけぬひそなき
ここにても,きけかしおなし,しのひねを,やまほとときす,こゑもかはらし
さとにのみ,なきわたるなる,ほとときす,わかまつときは,なとかつれなき
ほとときす,なきてのみふる,こゑをたに,きかぬひとこそ,つれなかりけれ
あはれといふ,ひとはなくとも,うつせみの,からになるまて,なかむとそおもふ
あやめくさ,ひとにねたゆと,おもひしは,わかみのうきに,おふるなりけり
そてぬれし,そのよのあめの,なこりより,やかてはれせぬ,さみたれのそら
さみたれに,みたれそめにし,われなれは,ひとをこひちに,ぬれぬへらなり
くれをまつ,おもひはたれも,あるものを,ほたるはかりや,みにあまるへき
ゆくほたる,おのれもえそふ,かけみえて,ひとのおもひも,さそとつけこせ
あまのかは,なぬかをちきる,こころならは,ほしあひはかり,かけをみよとや
たなはたに,かしてこよひの,いとまあらは,たちよりこかし,あまのかはなみ
いむといへは,しのふものから,よもすから,あまのかはこそ,うらやまれつれ
けふとたに,ちきらぬなかは,あふことを,くもゐにのみも,ききわたるかな
あまつほし,そらにはいかか,さたむらむ,おもひたゆへき,けふのくれかは
くもゐには,わたるとすれと,とふかりの,こゑききかたき,あきにもあるかな
あきかせも,ふきたちにけり,いまよりは,くるかりかねの,おとをこそまて
あしひきの,やまへにおりて,あきかせの,ひことにふけは,いもをしそおもふ
あきのたの,しのにおしなひ,おくつゆの,きえやしなまし,こひつつあらすは
あきはきに,おきたるつゆの,かせふきて,おつるなみたを,ととめかねつも
いつくにも,あきのねさめの,よさむならは,こひしきひとも,たれかこひしき
あきかせの,よさむにふけは,わすれにし,ひともこひしく,なるそかなしき
ものおもへは,あきもおほろの,つきかけに,なみたうらみぬ,ゆふくれそなき
ものおもふ,みはならはしの,なかきよに,つれなきひとよ,ねさめたにせし
ゆふされは,ひとまつむしの,なくなへに,ひとりあるみそ,おきところなき
あきかせの,いなはもそよと,ふくなへに,ほにいててひとそ,こひしかりける
われきても,まねきやまねは,はなすすき,またくるひとの,あるかとそおもふ
ちきりおきし,ことのはかはる,よをみれは,あきといふなの,うらめしきかな
なくしかの,こゑきくことに,あきはきの,したはこかれて,ものをこそおもへ
をきのはに,かせのふきよる,ゆふくれを,おなしこころに,なかめましかは
あきののに,いろうつろへる,をみなへし,われたにゆきて,をらむとそおもふ
あきはきを,ちらすしくれの,ふるころは,ひとりおきゐて,こふるよそおほき
ひさしくも,なりにけるかな,あきはきの,ふるえのはなも,ちりすくるまて
はるのひを,なかしとなにに,おもひけむ,あきのくれこそ,ひさしかりけれ
あきもあまた,すきけるきみと,きくものを,ひさしきくれは,けふのみやしる
かきくらし,わかみぬあきの,つきかけも,くものうへには,さやけかりけむ
なきこふる,そてにはいかか,やとすへき,くもりならはぬ,あきのよのつき
てるつきは,わかおもふひとの,なになれや,かけをしみれは,もののかなしき
あきにうつる,こすゑもうしや,ひとこころ,かはりやすさの,たくひとおもへは
いかにせむ,ひとのこころの,あきのいろを,うらみしとても,くすのしたかせ
ゆふひうつる,こすゑのいろの,しくるるに,こころもやかて,かきくらすかな
われゆゑに,ぬるるにはあらし,おほかたの,あきのさかなる,つゆそおくらむ
をきのはに,ふくあきかせを,わすれつつ,こひしきひとの,くるかとそおもふ
あはれをは,しらしとおもへと,むしのねに,こころよわくも,なりぬへきかな
ちきりこし,きみこそとはす,なりぬれと,やとにはたえす,まつむしのこゑ
いてひとの,おもふといひし,ことのはは,しくれとともに,ちりにけらしも
はつしくれ,ふりしそむれは,ことのはの,いろのみまさる,ころとこそしれ
きみこふる,なみたはあきに,かよへはや,そらもたもとも,ともにしくるる
はるさめに,はなさきしより,あきかせに,もみちちるまて,ものをこそおもへ
あられふり,ならのおちはに,かせふきて,ものこひしらに,さよそふけゆく
おのつから,かよふたまつさ,それたには,かきたえぬへく,みえまさるかな
うきなかの,なさけまちみる,たまつさよ,さすかかよふも,あはれいつまて
なににかは,いまはなくさの,はまちとり,ふみつたふへき,たよりたになし
ひとやかはる,わかこころにや,たのみまさる,はかなきことも,たたつねにうき
かすならぬ,ゆゑとおもへは,たちかへり,ひとのとかにも,みをそうらむる
こひしさを,たかとかとてか,かこつへき,うきをはひとの,うきになすとも
こころのみ,かよふなかとは,なりぬれと,うきせきもりの,たゆむよもなし
わすれなむ,いまはとおもふ,ときにこそ,ありしにまさる,ものおもひはすれ
ちかひてし,ことそともなく,わすれなは,ひとのうへまて,なけくへきかな
みのうさも,ひとのつらさも,しりぬるを,こはたかたれを,こふるなるらむ
うちたえて,きみにあふひと,いかなれや,わかみもおなし,よにこそはふれ
こひしさも,みまくほしさも,きみならて,またはこころに,おほえやはする
うきことも,わかみにむけて,ことわりと,おもひなすには,うらみしもなし
をりをりの,これやかきりも,いくおもひ,そのあはれをは,しるひともなし
いかにせむ,ひとのつらさは,まさりゆく,よしやさらはと,おもはれはせす
ききみるも,さすかにちかき,おなしよに,かよふこころの,なとかはるへき
われもかく,みにしたかはぬ,こころもて,ひとのかはるを,なにかうらむる
うきひとに,うしとおもはれむ,ひともかな,おもひしらせて,おもひしられむ
おほかたの,さらぬならひの,かなしさも,あるおなしよの,わかれにそしる
はかなさは,あるおなしよも,たのまれす,たためのまへの,さらぬわかれに
とりならは,あたりのききに,こつたひて,わひたるこゑに,なかましものを
いさやまた,かはるもしらす,いまこそは,ひとのこころを,みてもならはめ
うれしきは,おもふかきりは,いはれねと,つらきはふかく,うらみられけり
かきりあれは,これよりうさの,さのみやと,おもひしうへに,いくいろかそふ
おもひあまり,これもいかなる,むくひそと,わかさきのよの,つらくもあるかな
まれにとふ,ちきりもひとの,なさけかは,わかつれなくて,まてはこそあれ
まさるかたの,とたえもさすか,ありけりと,まれなるよはの,なさけにそしる
ちきりしも,つらさにかはる,なかなれは,うきもこころの,はてそまたるる
さまさまに,ゆくすゑかけし,かねことも,たたときのまの,なさけなりけり
たちかへり,またもしやとも,たのまれす,うききはみせし,ひとのちきりは
いまよりは,あはてものをは,おもふとも,のちうきひとに,みをはまかせし
たえなむと,きみかしけるを,しらすして,またむかしとも,おもひけるかな
