けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
やまもとの,とりのこゑこゑ,あけそめて,はなもむらむら,いろそみえゆく
あはれしはし,このときすきて,なかめはや,はなののきはの,にほふあけほの
はるはたた,くもれるそらの,あけほのに,はなはとほくて,みるへかりける
をちかたの,はなのかをりも,ややみえて,あくるかすみの,いろそのとけき
けさまては,のこるかたえも,さきそひて,ゆふへにはなの,さかりをそみる
なかめくらす,いろもにほひも,なほそひて,ゆふかけまさる,はなのしたかな
さかりなる,みねのさくらの,ひとついろに,かすみもしろき,はなのゆふはえ
やまのはに,いりひうつろふ,くれなゐの,うすはなさくら,いろそことなる
さきみてる,はなのかをりの,ゆふつくひ,かすみてしつむ,はるのとほやま
あくかるる,こころのままに,はなをみは,はるはやまちや,すみかならまし
ふくかせの,さそはぬさきと,またるるを,とはすははなの,なをややつさむ
たつねても,いろをそふへき,みならねは,とふにつけてや,はなもやつれむ
たちこむる,かすみのほかも,やまさくら,はなににほへる,ゆふくれのそら
くもにうつる,ひかけのいろも,うすくなりぬ,はなのひかりの,ゆふはえのそら
めにちかき,にはのさくらの,ひときのみ,かすみのこれる,ゆふくれのいろ
やまのはの,つきまつそらの,にほふより,はなにそむくる,はるのともしひ
はなかをり,つきかすむよの,たまくらに,みしかきゆめそ,なほわかれゆく
いりあひの,こゑするやまの,かけくれて,はなのこのまに,つきいてにけり
おほろなる,かけとはなにか,おもひけむ,はなにうつろふ,はるのよのつき
くれぬとも,やとをはとはし,やまさくら,つきにもはなは,みえぬものかは
ふたもとの,はなのひかりを,そへむとや,かすまていつる,はるのよのつき
ちりぬへき,はなをのみこそ,みにきつれ,おもひもよらぬ,あをやきのいと
うくひすの,きゐるはかせに,ちるはなを,のとけくみむと,おもひけるかな
ちりそむる,はなのはつゆき,ふりぬれは,ふみわけまうき,しかのやまこえ
さくらさく,たかねにかせや,わたるらむ,くもたちさわく,をはつせのやま
やまふかき,たにふきのほる,はるかせに,うきてあまきる,はなのしらゆき
くもとなり,ゆきとふりしく,やまさくら,いつれをはなの,いろとかもみむ
さそひゆく,はなのこすゑの,はるかせに,くもらぬゆきそ,そらにあまきる
にはのおもは,ふりしくゆきと,みるなへに,こすゑははなそ,まれになりゆく
しらくもの,たなひくいろも,かつきえぬ,はなちるやまの,みねのはるかせ
ちるはうく,かはなつかしき,はなのえに,いとひいとはぬ,はるのやまかせ
さとはみな,ちりはてにしを,あしひきの,やまのさくらは,またさかりなり
あしひきの,やまへをてらす,さくらはな,このはるさめに,ちりぬらむかも
はなならぬ,なくさめもなき,やまさとに,さくらはしはし,ちらすもあらなむ
ここのへに,うつささりせは,やまさくら,ひとりやこけの,うへにちらまし
えたしあらは,またもさきなむ,かせよりも,をるひとつらき,はなさくらかな
うきよには,ととめおかしと,はるかせの,ちらすははなを,をしむなりけり
はるのよの,かすめるそらの,つきかけに,ちりしくはなの,いろはまかひぬ
ちりつもる,にはにひかりを,うつすより,つきこそはなの,かかみなりけれ
みよしのの,みねのはなその,かせふけは,ふもとにくもる,はるのよのつき
あきもなほ,しのはれぬへき,ひかりかな,はなしくにはの,おほろよのつき
はるかせに,こころをしはし,やとしおきて,はなのをしさを,しらせてしかな
はることに,さそふあらしの,なくもかな,ちよもとはなを,みるひとのため
はなならて,またなくさむる,かたもかな,つれなくちるを,つれなくてみむ
わかみよに,ふるともなしの,なかめして,いくはるかせに,はなのちるらむ
こすゑより,あらしふきおろす,そまかはの,いかたをこゆる,はなのしらなみ
にはのおもは,うつみさたむる,かたもなし,あらしにかろき,はなのしらゆき
おもひきや,そらにしられぬ,ゆきもなほ,くものうへまて,ちらむものとは
おもひやる,なへてのはなの,はるのかせ,このひともとの,うらみのみかは
みよしのの,やまのあなたに,ちるはなを,ふきこすかせの,たよりにそしる
をしとおもふ,はなのあるしを,おきなから,わかものかほに,さそふかせかな
みつのおもに,うきてなかるる,さくらはな,いつれをあわと,ひとはみるらむ
ふりくらす,あめしつかなる,にはのおもに,ちりてかたよる,はなのしらなみ
すきうつる,ときとかせとそ,うらめしき,はなのこころは,ちらむともせし
なへてよの,はるのこころは,のとけきに,うつろひやすく,はなのちるらむ
きのふこえし,をのへのさくら,ちりにけり,けふかへるさの,みちまとふまて
さくらはな,こすゑさひしく,ちりすきて,のこれるえたに,はるそすくなき
たちならふ,みねのこすゑを,ふくかせに,まつよりもちる,やまさくらかな
ふきよわる,あらしのにはの,このもとに,ひとむらしろく,はなそのこれる
もろくちる,はなをはかろく,ふきなして,やなきにおもき,はるのゆふかせ
かせにさそ,ちるらむはなの,おもかけの,みぬいろをしき,はるのよのやみ
むかしまて,おもふもつらし,はるかせに,はなちらせとは,たれをしへけむ
はるかせの,やまのたかねを,ふきこせは,こすゑもみえぬ,はなそちりける
のとかなる,いりあひのかねは,ひひきくれて,おとせぬかせに,はなそちりくる
ちるそうき,おもへはかせも,つらからす,はなをわきても,ふかはこそあらめ
なかめつつ,なれにしはるを,かそへても,ふりぬるみこそ,はなにをしけれ
いかにせむ,みにもやくると,やまさくら,またるるはなも,ちりはてぬへき
まちつけて,ちりはてぬとも,やまさくら,しはしはにはを,はらはさらなむ
はなをこそ,ちらぬさきにと,たつねつれ,ゆきをわけても,かへりぬるかな
みよしのの,いはもとさらす,なくかはつ,うへもなきけり,このかはのせに
さきいつる,やへやまふきの,いろぬれて,さくらなみよる,はるさめのには
ゆきとのみ,さくらはちれる,このしたに,いろかへてさく,やまふきのはな
はるさめに,ぬれぬれをらむ,けふすきは,ゐてのやまふき,ちりもこそすれ
やへにのみ,ありとみえつる,やまふきの,ここのへちかく,さきにけるかな
さくらちり,はるのくれゆく,ものおもひも,わすられぬへき,やまふきのはな
はなはちり,とりはまれなる,ころにしも,さくやまふきは,こころありけり
はなもちり,とりもかへりぬ,あはれてふ,ことをあまたに,くるるはるかな
ととまらぬ,わかれのみかは,はなとりの,なこりにつけて,をしきはるかな
いまはとて,さくらなかるる,よしのかは,みつのはるさへ,せくかたもなし
はなとりの,いろねもたえて,くるるそらの,かすみはかりに,のこるはるかな
はるとてや,やまほとときす,なかさらむ,あをはのききの,むらさめのやと
ぬれてをる,ふちのしたかけ,つゆちりて,はるやいくかの,ゆふくれのあめ
いろふかく,にほへるふちの,はなゆゑに,のこりすくなき,はるをこそおもへ
ふちなみの,はなさくみれは,ほとときす,なくへきときは,ちかつきにけり
はなたにも,ちりのこらなむ,おのつから,をしむにとまる,はるかともみむ
はなはたた,かせのつらさに,なしはてぬ,はるをはなにの,さそひてかゆく
なれきつる,はなのなこりも,あはれなり,みはななそちの,はるのくれかた
はるをしたふ,なこりのはなも,いろくれぬ,とよらのてらの,いりあひのそら
はるをしたふ,こころのともそ,あはれなる,やよひのくれの,うくひすのこゑ
えたにちる,はなこそあらめ,うくひすの,ねさへかれゆく,はるのくれかな
くれてゆく,はるののこりを,なかむれは,かすみのそこに,ありあけのつき
をしめとも,こよひもあけは,ゆくはるを,あすはかりとや,あすはおもはむ
なかめやる,とやまのあさけ,このままに,かすめやあすも,はるをのこして
とふとりの,おくりのつはさ,しをるらし,くもちあめなる,はるのわかれに
としをへて,はるのをしさは,まされとも,おいはつきひの,はやくもあるかな
よもすから,をしみをしみて,あかつきの,かねとともにや,はるはつくらむ
めくりゆかは,はるにはまたも,あふとても,けふのこよひは,のちにしもあらし
はなとりの,あかぬわかれに,はるくれて,けさよりむかふ,なつやまのいろ
いつしかと,かへつるはなの,たもとかな,ときにうつるは,ならひなれとも
さくらいろの,はなのたもとを,たちかへて,ふたたひはるの,なこりをそおもふ
はるはすて,またほとときす,かたらはぬ,けふのなかめを,とふひともかな
おほゐかは,いはなみはやく,はるくれて,いかたのとこに,なつそきにける
けふはいとと,さくらもとこそ,ゆかしけれ,はるのかたみに,はなやのこると
をしやなほ,さくらやまふき,ちりしをれ,はるなりぬへき,けふのけしきを
のこりける,みやまかくれの,おそさくら,なつさへかせを,なほやいとはむ
うすみとり,ましるあふちの,はなみれは,おもかけにたつ,はるのふちなみ
うのはなの,ちらぬかきりは,やまさとの,このしたやみも,あらしとそおもふ
さかきとる,ころとはしるし,しろたへに,ゆふかけわたす,もりのうのはな
うのはなの,つゆにひかりを,さしそへて,つきにみかける,たまかはのさと
ときやいつ,そらにしられぬ,つきゆきの,いろをうつして,さけるうのはな
つきかけの,もるかとみえて,なつこたち,しけれるにはに,さけるうのはな
ほとときす,なくへきさとを,さためねは,けふもやまちを,たつねくらしつ
われききて,ひとにはつけむ,ほとときす,おもふもしるく,まつここになけ
ほとときす,いまやとおもふ,やまのはに,つきをまつこと,なれをこそまて
ひとこそあれ,やまほとときす,おのれさへ,なとわかやとに,おとつれもせぬ
つきたにも,こころつくさぬ,やまのはに,まつよひすくる,ほとときすかな
ひとをわく,なさけなりけり,ほとときす,わかねさめには,おとつれもせす
なきぬへき,くものけしきに,まちなして,いまやとたのむ,ほとときすかな
このさとに,をりはへきなけ,ほとときす,ほかにはをしむ,はつねなりとも
いまたにも,なかてはあらし,ほとときす,むらさめすくる,くものゆふくれ
なきぬへき,ゆふくれことの,あらましに,きかてなれぬる,ほとときすかな
ふちなみの,ちらまくをしみ,ほとときす,いまきのをかに,なきてこゆなり
かくはかり,あめのふらくに,ほとときす,うのはなやまに,なほかなくらむ
ほとときす,そらにこゑして,うのはなの,かきねもしろく,つきそいてぬる
まちえても,たれかはきかむ,ほとときす,たたひとこゑを,さよふけてなく
なほさりに,まつひとはみな,ねぬるよの,ふけてのちなく,ほとときすかな
まつときは,やまほとときす,とほけれと,ねさめのこゑは,まくらにそきく
ほとときす,くもゐのこゑを,きくひとは,こころもそらに,なりそしにける
ふくるよに,おきてきかすは,ほとときす,はつかなるねを,たれかしらまし
さとなるる,たそかれときの,ほとときす,きかすかほにて,またなのらせむ
いつしかと,なきわたるなり,ほとときす,くもゐにてこそ,まつへかりけれ
いくこゑか,きみはききつる,ほとときす,いもねぬわれは,かすもしられす
いなりやま,こえてやきつる,ほとときす,ゆふかけてのみ,こゑのきこゆる
いまよりは,やとにてまたむ,ほとときす,たつねぬひとそ,まつはききける
ほとときす,すきつるかたの,くもまより,なほなかめよと,いつるつきかけ
ほとときす,こゑさやかにて,すくるあとに,をりしもはるる,むらくものつき
ほとときす,なきつるくもを,かたみにて,やかてなかむる,ありあけのそら
わかための,はつねとのみや,ほとときす,おなしねさめの,ひとはきくらむ
いくこゑも,なほきかましを,ほとときす,ねさめのさきも,なきやしつらむ
ひとこゑは,なほしもつらし,ほとときす,きかぬよりはと,おもひなせとも
