いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
さかきはの,ゆふしてかけし,そのかみに,おしかへしても,にたるころかな
いまはたた,おもひたえなむ,とはかりを,ひとつてならて,いふよしもかな
みちのくの,をたえのはしや,これならむ,ふみみふますみ,こころまとはす
こひしさも,わすれやはする,なかなかに,こころさわかす,しかのうらなみ
こしとたに,いはてたえなは,うかりける,ひとのまことを,いかてしらまし
たかそてに,きみかさぬらむ,からころも,よなよなわれに,かたしかせつつ
くろかみの,みたれもしらす,うちふせは,まつかきやりし,ひとそこひしき
うつりかの,うすくなりゆく,たきものの,くゆるおもひに,きえぬへきかな
なきなかす,なみたにたへて,たえぬれは,はなたのおひの,ここちこそすれ
なかたゆる,かつらきやまの,いははしは,ふみみることも,かたくそありける
わすれなむと,おもふさへこそ,おもふこと,かなはぬみには,かなはさりけれ
わすれなむと,おもふにぬるる,たもとかな,こころなかきは,なみたなりけり
いかはかり,おほつかなさを,なけかまし,このよのつねと,おもひなさすは
あふことの,たたひたふるの,ゆめならは,おなしまくらに,またもねなまし
あらさらむ,このよのほかの,おもひいてに,いまひとたひの,あふこともかな
みやこにも,こひしきひとの,おほかれは,なほこのたひは,いかむとそおもふ
ちきりしに,あらぬつらさも,あふことの,なきにはえこそ,うらみさりけれ
わすれなむ,それもうらみす,おもふらむ,こふらむとたに,おもひおこせは
としのうちに,あはぬためしの,なをたてて,われたなはたに,いまるへきかな
たなはたを,もとかしとみし,わかみしも,はてはあひみぬ,ためしにそなる
くもてさへ,かきたえにける,ささかにの,いのちをいまは,なににかけまし
ちきりきな,かたみにそてを,しほりつつ,すゑのまつやま,なみこさしとは
あしのねの,うきみのほとと,しりぬれは,うらみぬそても,なみはたちけり
あひみしを,うれしきことと,おもひしは,かへりてのちの,なけきなりけり
みやまきの,こりやしぬらむと,おもふまに,いととおもひの,もえまさるかな
いはしろの,もりのいはしと,おもへとも,しつくにぬるる,みをいかにせむ
あちきなし,わかみにまさる,ものやあると,こひせしひとを,もときしものを
われといかて,つれなくなりて,こころみむ,つらきひとこそ,わすれかたけれ
あやしくも,あらはれぬへき,たもとかな,しのひねにのみ,なくとおもふを
うちしのひ,なくとせしかと,きみこふる,なみたはいろに,いてにけるかな
こひすとも,なみたのいろの,なかりせは,しはしはひとに,しられさらまし
ひとしれぬ,こひにししなは,おほかたの,よのはかなきと,ひとやおもはむ
ひとしれす,かほにはそてを,おほひつつ,なくはかりをそ,なくさめにする
おもひわひ,かへすころもの,たもとより,ちるやなみたの,こほりなるらむ
なくさむる,こころはなくて,よもすから,かへすころもの,うらそぬれつる
よのなかに,あらはそひとの,つらからむと,おもふにしもそ,ものはかなしき
よなよなは,めのみさめつつ,おもひやる,こころやゆきて,おとろかすらむ
おもふてふ,ことはいはても,おもひけり,つらきもいまは,つらしとおもはし
おもひやる,かたなきままに,わすれゆく,ひとのこころそ,うらやまれける
ねやちかき,うめのにほひに,あさなあさな,あやしくこひの,まさるころかな
あやふしと,みゆるとたえの,まろはしの,まろなとかかる,ものおもふらむ
よのなかに,こひてふいろは,なけれとも,ふかくみにしむ,ものにそありける
ささかにの,いつこにひとを,ありとたに,こころほそくも,しらてふるかな
こひしさの,うきにまきるる,ものならは,またふたたひと,きみをみましや
あれはこそ,ひともつらけれ,あやしきは,いのちもかなと,たのむなりけり
にはのおもの,はきのうへにて,しりぬらむ,ものおもふひとの,よはのたもとは
わかそてを,あきのくさはに,くらへはや,いつれかつゆの,おきはまさると
ありそうみの,はまのまさこを,みなもかな,ひとりぬるよの,かすにとるへく
かそふれは,そらなるほしも,しるものを,なにをつらさの,かすにおかまし
つれつれと,おもへはなかき,はるのひに,たのむこととは,なかめをそする
ひたすらに,のきのあやめの,つくつくと,おもへはねのみ,かかるそてかな
たくひなく,うきみなりけり,おもひしる,ひとたにあらは,とひこそはせめ
きみこふる,こころはちちに,くたくれと,ひとつもうせぬ,ものにそありける
なみたかは,おなしみよりは,なかるれと,こひをはけたぬ,ものにそありける
わかこひは,ますたのいけの,うきぬなは,くるしくてのみ,としをふるかな
おほかたに,ふるとそみえし,さみたれは,ものおもふそての,なにこそありけれ
よそにふる,ひとはあめとや,おもふらむ,わかめにちかき,そてのしつくを
ひにそへて,うきことのみも,まさるかな,くれてはやかて,あけすもあらなむ
きみこふと,かつはきえつつ,ふるほとを,かくてもいける,みとやみるらむ
こひしさの,わすられぬへき,ものならは,なににかいける,みをもうらみむ
こひしさを,しのひもあへぬ,うつせみの,うつしこころも,なくなりにけり
きみかため,おつるなみたの,たまならは,つらぬきかけて,みせましものを
ちきりあらは,おもふかことそ,おもはまし,あやしやなにの,むくひなるらむ
けふしなは,あすまてものは,おもはしと,おもふにたにも,かなはぬそうき
おもひには,つゆのいのちそ,きえぬへき,ことのはにたに,かけよかしきみ
やくとのみ,まくらのうへに,しほたれて,けふりたえせぬ,とこのうらかな
うらみわひ,ほさぬそてたに,あるものを,こひにくちなむ,なこそをしけれ
かみなつき,よはのしくれに,ことよせて,かたしくそてを,ほしそわつらふ
さまさまに,おもふこころは,あるものを,おしひたすらに,ぬるるそてかな
わかこころ,かはらむものか,かはらやの,したたくけふり,わきかへりつつ
うちはへて,くゆるもくるし,いかてなほ,よにすみかまの,けふりたえなむ
ひとのみも,こひにはかへつ,なつむしの,あらはにもゆと,みえぬはかりそ
かるもかき,ふすゐのとこの,いをやすみ,さこそねさらめ,かからすもかな
わかこひは,はるのやまへに,つけてしを,もえいててきみか,めにもみえなむ
はるののに,つくるおもひの,あまたあれは,いつれをきみか,もゆとかはみむ
かすかのは,なのみなりけり,わかみこそ,とふひならねと,もえわたりけれ
いつとなく,こころそらなる,わかこひや,ふしのたかねに,かかるしらくも
うしとても,さらにおもひそ,かへされぬ,こひはうらなき,ものにそありける
まつしまや,をしまのいそに,あさりせし,あまのそてこそ,かくはぬれしか
かきりそと,おもふにつきぬ,なみたかな,おさふるそても,くちぬはかりに
かきくらし,くもまもみえぬ,さみたれは,たえすものおもふ,わかみなりけり
なみたこそ,あふみのうみと,なりにけれ,みるめなしてふ,なかめせしまに
しらつゆも,ゆめもこのよも,まほろしも,たとへていへは,ひさしかりけり
としふれは,あれのみまさる,やとのうちに,こころなかくも,すめるつきかな
つきかけの,いるををしむも,くるしきに,にしにはやまの,なからましかは
われひとり,なかむとおもひし,やまさとに,おもふことなき,つきもすみけり
みなれさを,とらてそくたす,たかせふね,つきのひかりの,さすにまかせて
つきかけの,かたふくままに,いけみつを,にしへなかると,おもひけるかな
つきかけは,やまのはいつる,よひよりも,ふけゆくそらそ,てりまさりける
しきたへの,まくらのちりや,つもるらむ,つきのさかりは,いこそねられね
いけみつは,あまのかはにや,かよふらむ,そらなるつきの,そこにみゆるは
いつかたへ,ゆくともつきの,みえぬかな,たなひくくもの,そらになけれは
いつよりも,くもりなきよの,つきなれは,みるひとさへに,いりかたきかな
やまのはの,かからましかは,いけみつに,いれともつきは,かくれさりけり
やとことに,かはらぬものは,やまのはの,つきまつほとの,こころなりけり
われひとり,なかめてのみや,あかさまし,こよひのつきの,おほろなりせは
いはまより,なかるるみつは,はやけれと,うつれるつきの,かけそのとけき
いたまあらみ,あれたるやとの,さひしきは,こころにもあらぬ,つきをみるかな
あめふれは,ねやのいたまも,ふきつらむ,もりくるつきは,うれしかりしを
つきみては,たれもこころそ,なくさまぬ,をはすてやまの,ふもとならねと
かくはかり,くまなきつきを,おなしくは,こころもはれて,みるよしもかな
すみなるる,みやこのつきの,さやけきに,なにかくらまの,やまはこひしき
もろともに,やまのはいてし,つきなれは,みやこなからも,わすれやはする
あまのはら,つきはかはらぬ,そらなから,ありしむかしの,よをやこふらむ
いつとても,かはらぬあきの,つきみれは,たたいにしへの,そらそこひしき
つねよりも,さやけきあきの,つきをみて,あはれこひしき,くものうへかな
もろともに,なかめしひとも,われもなき,やとにはつきや,ひとりすむらむ
つきみれは,やまのはたかく,なりにけり,いてはといひし,ひとにみせはや
やまのはに,いりぬるつきの,われならは,うきよのなかに,またはいてしを
むかしみし,つきのかけにも,にたるかな,われとともにや,やまをいてけむ
いりぬとて,ひとのいそきし,つきかけは,いててののちも,ひさしくそみし
こころにも,あらてうきよに,なからへは,こひしかるへき,よはのつきかな
いまはたた,くもゐのつきを,なかめつつ,めくりあふへき,ほともしられす
なほさりの,そらたのめせて,あはれにも,まつにかならす,いつるつきかな
たのめすは,またてぬるよそ,かさねまし,たれゆゑかみる,ありあけのつき
たれとてか,あれたるやとと,いひなから,つきよりほかの,ひとをいるへき
よしさらは,またれぬみをは,おきなから,つきみぬきみか,なこそをしけれ
なかむれは,つきかたふきぬ,あはれわか,このよのほとも,かはかりそかし
やまのはに,かくれなはてそ,あきのつき,このよをたにも,やみにまとはし
もろともに,おなしうきよに,すむつきの,うらやましくも,にしへゆくかな
いかかせむ,やまのはにたに,ととまらて,こころのそらに,いつるつきをは
くもるよの,つきとわかみの,ゆくすゑと,おほつかなさは,いつれまされり
かくれぬに,おふるあやめの,うきねして,はてはつれなく,なるこころかな
かはかみや,あちふのいけの,うきぬなは,うきことあれや,くるひともなし
あらはれて,うらみやせまし,かくれぬの,みきはによせし,なみのこころを
きしとほみ,たたよふなみは,なかそらに,よるかたもなき,なけきをそせし
ひきすつる,いはかきぬまの,あやめくさ,おもひしらすも,けふにあふかな
ゆかはこそ,あはてもあらめ,ははききの,ありとはかりは,おとつれよかし
おもひいてて,とふことのはを,たれみまし,つらきにたへぬ,いのちなりせは
やまさとを,たつねてとふと,おもひしは,つらきこころを,みするなりけり
ゆめのこと,おほめかれゆく,よのなかに,いつとはむとか,おとつれもせぬ
ふみみても,ものおもふみとそ,なりにける,まののつきはし,とたえのみして
のかはねと,あれゆくこまを,いかかせむ,もりのしたくさ,さかりならねは
いたつらに,みはなりぬとも,つらからぬ,ひとゆゑとたに,おもはましかは
あるかうへに,またぬきかくる,からころも,いかかみさをも,つくりあふへき
わりなしや,こころにかなふ,なみたたに,みのうきときは,とまりやはする
わするなよ,わするときかは,みくまのの,うらのはまゆふ,うらみかさねむ
わすれしと,いひつるなかは,わすれけり,わすれむとこそ,いふへかりけれ
ものいはて,ひとのこころを,みるからに,やかてとはれて,やみぬへきかな
あまのかは,おなしなかれと,ききなから,わたらむことの,なほそかなしき
このころの,よはのねさめは,おもひやる,いかなるをしか,しもははらはむ
おもひきや,あきのよかせの,さむけきに,いもなきとこに,ひとりねむとは
いかなれや,はなのにほひも,かはらぬを,すきにしはるの,こひしかるらむ
すみそめに,あけのころもを,かさねきて,なみたのいろの,ふたへなるかな
あさちはら,あれたるやとは,むかしみし,ひとをしのふの,わたりなりけり
なきひとは,おとつれもせて,ことのをを,たちしつきひそ,かへりきにける
しくるれと,かひなかりけり,うもれきは,いろつくかたそ,ひともとひける
ひとしれす,おつるなみたの,おとをせは,よはのしくれに,おとらさらまし
こそのけふ,わかれしほしも,あひぬめり,なとたくひなき,わかみなるらむ
はかなさに,よそへてみれと,さくらはな,をりしらぬにや,ならむとすらむ
かたみそと,おもはてはなを,みしにたに,かせをいとはぬ,はるはなかりき
かすならぬ,みのうきことは,よのなかに,なきうちにたに,いらぬなりけり
かれはつる,あさちかうへの,しもよりも,けぬへきほとを,いまかとそまつ
いにしへを,こふるねさめや,まさるらむ,ききもならはぬ,みねのあらしに
かしはきの,もりのしたくさ,くれことに,なほたのめとや,もるをみるみる
まつほとの,すきのみゆけは,おほゐかは,たのむるくれを,いかかとそおもふ
あさきせを,こすいかたしの,つなよわみ,なほこのくれも,あやふかりけり
ひとりぬる,ひとやしるらむ,あきのよを,なかしとたれか,きみにつけつる
はるかすみ,たちいてむことも,おもほえす,あさみとりなる,そらのけしきに
そのいろの,くさともみえす,かれにしを,いかにいひてか,けふはかくへき
ふしにけり,さしもおもはて,ふえたけの,おとをそせまし,よふけたりとも
やすらはて,たつにたてうき,まきのとを,さしもおもはぬ,ひともありけり
ひとしらて,ねたさもねたし,むらさきの,ねすりのころも,うはきにをきむ
ぬれきぬと,ひとにはいはむ,むらさきの,ねすりのころも,うはきなりとも
あききりは,たちかくせとも,はきはらに,しかふしけりと,けさみつるかな
あさなあさな,おきつつみれは,しらきくの,しもにそいたく,うつろひにける
あふさかの,せきにこころは,かよはねと,みしあつまちは,なほそこひしき
ねぬなはの,ねぬなのおほく,たちぬれは,なほおほさはの,いけらしやよに
すむひとの,かれゆくやとは,ときわかす,くさきもあきの,いろにそありける
あかつきの,かねのこゑこそ,きこゆなれ,これをいりあひと,おもはましかは
いつくにか,きてもかくれむ,へたてたる,こころのくまの,あらはこそあらめ
やすらひに,まきのとこそは,さささらめ,いかにあけつる,ふゆのよならむ
あをやきの,いとになきなそ,たちにける,よるくるひとは,われならねとも
またさかぬ,まかきのきくも,あるものを,いかなるやとに,うつろひにけむ
たまくしけ,みはよそよそに,なりぬとも,ふたりちきりし,ことなわすれそ
いつかたへ,ゆくとはかりは,つけてまし,とふへきひとの,あるみとおもはは
かはかりに,しのふるあめを,ひととはは,なににぬれたる,そてといふらむ
そらになる,ひとのこころに,ささかにの,いかにけふまた,かくてくらさむ
みかさやま,さしはなれぬと,いひしかと,あめもよにとは,おもひしものを
なけかしな,つひにすましき,わかれかは,これはあるよにと,おもふはかりそ
いにしへの,きならしころも,いまさらに,そのものこしの,とけすしもあらし
まことにや,そらになきなの,ふりぬらむ,あまてるかみの,くもりなきよに
こりぬらむ,あたなるひとに,わすられて,われならはさむ,おもふためしは
はるさめの,ふるめかしくも,つくるかな,はやかしはきの,もりにしものを
いにしへの,とこよのくにや,かはりにし,もろこしはかり,とほくみゆるは
わたのはら,たつしらなみの,いかなれは,なこりひさしく,みゆるなるらむ
かせはたた,おもはぬかたに,ふきしかと,わたのはらたつ,なみもなかりき
ひとしれす,こころなからや,しくるらむ,ふけゆくあきの,よはのねさめに
あふさかの,せきのあなたも,またみねは,あつまのことも,しられさりけり
かきくもれ,しくるとならは,かみなつき,けしきそらなる,ひとやとまると
よをこめて,とりのそらねに,はかるとも,よにあふさかの,せきはゆるさし
ふるさとの,みわのやまへを,たつぬれと,すきまのつきの,かけたにもなし
あつまちの,そのはらからは,きたりとも,あふさかまては,こさしとそおもふ
ちらさしと,おもふあまりに,さくらはな,ことのはをさへ,をしみつるかな
さらてたに,いはまのみつは,もるものを,こほりとけなは,なこそなかれめ
いのりけむ,ことはゆめにて,かきりてよ,さてもあふてふ,なこそをしけれ
ちかきたに,きかぬみそきを,なにかその,からかみまては,とほくいのらむ
わするるも,くるしくもあらす,ねぬなはの,ねたくもとおもふ,ことしなけれは
ならされぬ,みそののうりと,しりなから,よひあかつきと,たつそつゆけき
おひたつを,まつとたのめし,かひもなく,なみこすへしと,きくはまことか
いつしかと,まちしかひなく,あきかせに,そよとはかりも,をきのおとせぬ
きみはまた,しらさりけりな,あきのよの,このまのつきは,はつかにそみる
さもこそは,こころくらへに,まけさらめ,はやくもみえし,こまのあしかな
おのつから,わかわするるに,なりにけり,ひとのこころを,こころみしまに
うらみすは,いかてかひとに,とはれまし,うきもうれしき,ものにそありける
つなたえて,はなれはてにし,みちのくの,をふちのこまを,きのふみしかな
ことのはに,つけてもなとか,とはさらむ,よもきのやとも,わかぬあらしを
やへふきの,ひまたにあらは,あしのやに,おとせぬかせは,あらしとをしれ
わりなしや,みはここのへの,うちなから,とへとはひとの,うらむへしやは
しはしこそ,おもひもいてめ,つのくにの,なからへゆかは,いまわすれなむ
これもさは,あしかりけりや,つのくにの,こやことつくる,はしめなるらむ
こころえつ,あまのたくなは,うちはへて,くるをくるしと,おもふなるへし
かすならぬ,ひとをのかひの,こころには,うしともものを,おもはさらなむ
いそなるる,ひとはあまたに,きこゆるを,たかなのりそを,かりてこたへむ
とへとしも,おもはぬやへの,やまふきを,ゆるすといはは,をりにこむとや
あちきなく,おもひこそやれ,つれつれと,ひとりやゐての,やまふきのはな
ねぬなはの,くるしきほとの,たえまかと,たゆるをしらて,おもひけるかな
ゆくすゑを,なかれてなにに,たのみけむ,たえけるものを,なかかはのみつ
なかしとて,あけすやはあらむ,あきのよは,まてかしまきの,とはかりをたに
あまのはら,はるかにわたる,つきたにも,いつるはひとに,しらせこそすれ
うきことも,またしらくもの,やまのはに,かかるやつらき,こころなるらむ
かせふくに,なひくあさちは,われなれや,ひとのこころの,あきをしらする
たれかまた,としへぬるみを,ふりすてて,きひのなかやま,こえむとすらむ
はることに,わすられにける,うもれきは,はなのみやこを,おもひこそやれ
かはふねに,のりてこころの,ゆくときは,しつめるみとも,おもほえぬかな
よのなかを,きくにたもとの,ぬるるかな,なみたはよその,ものにそありける
いたつらに,なりぬるひとの,またもあらは,いひあはせてそ,ねをはなかまし
みちのくの,あたちのまゆみ,ひくやとて,きみにわかみを,まかせつるかな
くものうへに,ひかりかくれし,ゆふへより,いくよといふに,つきをみるらむ
かきりあれは,あまのはころも,ぬきかへて,おりそわつらふ,くものかけはし
うれしといふ,ことはなへてに,なりぬれは,いはておもふに,ほとそへにける
さはみつに,おりゐるたつは,としふとも,なれしくもゐそ,こひしかるへき
おもひきや,ころものいろを,みとりにて,みよまてたけを,かさすへしとは
おしなへて,さくしらきくは,やへやへの,はなのしもとそ,みえわたりける
まつことの,あるとやひとの,おもふらむ,こころにもあらて,なからふるみを
きみをたに,うかへてしかな,なみたかは,しつむなかにも,ふちせありやと
われのみと,おもひこしかと,たかさこの,をのへのまつも,またたてりけり
よのなかを,いまはかきりと,おもふには,きみこひしくや,ならむとすらむ
もみちする,かつらのなかに,すみよしの,まつのみひとり,みとりなるかな
われふねの,しつみぬるみの,かなしきは,なきさによする,なみさへそなき
たつねつる,ゆきのあしたの,はなれこま,きみはかりこそ,あとをしるらめ
くもゐまて,たちのほるへき,けふりかと,みしはおもひの,ほかにもあるかな
まつかせは,いろやみとりに,ふきつらむ,ものおもふひとの,みにそしみける
よのなかを,おもひみたれて,つくつくと,なかむるやとに,まつかせそふく
こころには,つきみむとしも,おもはねと,うきにはそらそ,なかめられける
よのなかの,うきにおひたる,あやめくさ,けふはたもとに,ねそかかりける
けふまても,あやめしられぬ,たもとには,ひきたかへたる,ねをやかくらむ
さつきやみ,ここひのもりの,ほとときす,ひとしれすのみ,なきわたるかな
ほとときす,ここひのもりに,なくこゑは,きくよそひとの,そてもぬれけり
すめらきも,あらひとかみも,なこむまて,なきけるもりの,ほとときすかな
ことわりや,いかてかしかの,なかさらむ,こよひはかりの,いのちとおもへは
まつかせも,きしうつなみも,もろともに,むかしにあらぬ,おとのするかな
しぬはかり,なけきにこそは,なけきしか,いきてとふへき,みにしあらねは
おほそらに,かせまつほとの,くものいの,こころほそさを,おもひやらなむ
おもひやる,わかころもては,ささかにの,くもらぬそらに,あめのみそふる
なきかすに,おもひなしてや,とはさらむ,またありあけの,つきまつものを
ちるをこそ,あはれとみしか,うめのはな,はなやことしは,ひとをしのはむ
とへかしな,いくよもあらし,つゆのみを,しはしもことの,はにやかかると
ものをのみ,おもひしほとに,はかなくて,あさちかすゑに,よはなりにけり
しのふへき,ひともなきみは,あるをりに,あはれあはれと,いひやおかまし
いかなれは,おなしいろにて,おつれとも,なみたはめにも,とまらさるらむ
つねよりも,はかなきころの,ゆふくれは,なくなるひとそ,かそへられける
くさのはに,おかぬはかりの,つゆのみは,いつそのかすに,いらむとすらむ
きえもあへす,はかなきころの,つゆはかり,ありやなしやと,ひとのとへかし
よのなかを,なににたとへむ,あきのたを,ほのかにてらす,よひのいなつま
あけぬなり,かものかはせに,ちとりなく,けふもはかなく,くれむとすらむ
こひしくは,ゆめにもひとを,みるへきを,まとうつあめに,めをさましつつ
なけきこし,みちのつゆにも,まさりけり,なれにしさとを,こふるなみたは
おもひきや,ふるきみやこを,たちはなれ,このくにひとに,ならむものとは
みるからに,かかみのかけの,つらきかな,かからさりせは,かからましやは
いにしへは,つらくきこえし,とりのねの,うれしきさへそ,ものはかなしき
ともすれは,よものやまへに,あくかれし,こころにみをも,まかせつるかな
しかすかに,かなしきものは,よのなかを,うきたつほとの,こころなりけり
なにかその,みのいるにしも,たけからむ,こころをふかき,やまにすませよ
まことにや,おなしみちには,いりにける,ひとりはにしへ,ゆかしとおもふに
いかてかく,はなのたもとを,たちかへて,うらなるたまを,わすれさりけむ
かけてたに,ころものうらに,たまありと,しらてすきけむ,かたそくやしき
きみすらも,まことのみちに,いりぬなり,ひとりやなかき,やみにまとはむ
けふとしも,おもひやはせし,あさころも,なみたのたまの,かかるへしとは
おもふにも,いふにもあまる,ことなれや,ころものたまの,あらはるるひは
よをすてて,やとをいてにし,みなれとも,なほこひしきは,むかしなりけり
ときのまも,こひしきことの,なくさまは,よはふたたひも,そむかさらまし
おもひしる,ひともありける,よのなかを,いつをいつとて,すくすなるらむ
きみにひと,なれなならひそ,おくやまに,いりてののちは,わひしかりけり
わすられす,おもひいてつつ,やまひとを,しかそこひしく,われもなかむる
みしひとも,わすれのみゆく,ふるさとに,こころなかくも,きたるはるかな
たにかせに,なれすといかか,おもふらむ,こころははやく,すみにしものを
みくさゐし,おほろのしみつ,そこすみて,こころにつきの,かけはうかふや
ほとへてや,つきもうかはむ,おほはらや,おほろのしみつ,すむなはかりそ
おもひやる,こころさへこそ,さひしけれ,おほはらやまの,あきのゆふくれ
おもはすに,いるとはみえき,あつさゆみ,かへらはかへれ,ひとのためかは
おもひやれ,とふひともなき,やまさとの,かけひのみつの,こころほそさを
たけくまの,まつはふたきを,みやこひと,いかかととはは,みきとこたへむ
たけくまの,まつはこのたひ,あともなし,ちとせをへてや,われはきつらむ
さとひとの,くむたにいまは,なかるへし,いはゐのしみつ,みくさゐにけり
としへたる,まつたになくは,あさちはら,なにかむかしの,しるしならまし
としをへて,みるひともなき,ふるさとに,かはらぬまつそ,あるしならまし
きみかうゑし,まつはかりこそ,のこりけれ,いつれのはるの,ねのひなりけむ
たれをけふ,まつとはいはむ,かくはかり,わするるなかの,ねたけなるよに
みとりにて,いろもかはらぬ,くれたけは,よのなかきをや,あきとしるらむ
いはしろの,をのへのかせに,としふれと,まつのみとりは,かはらさりけり
よろつよの,あきをもしらて,すききたる,はかへぬたにの,いはねまつかな
みやまきを,ねりそもてゆふ,しつのをは,なほこりすまの,こころとそみる
たひねする,やとはみやまに,とちられて,まさきのかつら,くるひともなし
とりもゐて,いくよへぬらむ,かつまたの,いけにはいひの,あとたにもなし
たちのほる,もしほのけふり,たえせねは,そらにもしるき,すまのうらかな
くるひとも,なきおくやまの,たきのいとは,みつのわくにそ,まかせたりける
ものいはは,とふへきものを,もものはな,いくよかへたる,たきのしらいと
せきれたる,なこそなかれて,とまるらむ,たえすみるへき,たきのいとかは
あせにける,いまたにかかり,たきつせの,はやくそひとは,みるへかりける
としことに,せくとはすれと,おほゐかは,むかしのなこそ,なほなかれけれ
さきのひに,かつらのやとを,みしゆゑは,けふつきのわに,くへきなりけり
いつるゆの,わくにかかれる,しらいとは,くるひとたえぬ,ものにそありける
すみよしの,かみはあはれと,おもふらむ,むなしきふねを,さしてきたれは
おきつかせ,ふきにけらしな,すみよしの,まつのしつえを,あらふしらなみ
すみよしの,うらかせいたく,ふきぬらし,きしうつなみの,こゑしきるなり
まつみれは,たちうきものを,すみのえの,いかなるなみか,しつこころなき
わすれくさ,つみてかへらむ,すみよしの,きしかたのよは,おもひいてもなし
おもふこと,かみはしるらむ,すみよしの,きしのしらなみ,たよせなりとも
ときかけつ,ころものたまは,すみのえの,かみさひにける,まつのこすゑに
たのみては,ひさしくなりぬ,すみよしの,まつこのたひの,しるしみせなむ
みやこいてて,あきよりふゆに,なりぬれは,ひさしきたひの,ここちこそすれ
よろつよを,すめるかめゐの,みつはさは,とみのをかはの,なかれなるらむ
はしはしら,なからましかは,なかれての,なをこそきかめ,あとをみましや
われはかり,なからのはしは,くちにけり,なにはのことも,ふるるかなしさ
いにしへに,ふりゆくみこそ,あはれなれ,むかしなからの,はしをみるにも
なにたかき,にしきのうらを,きてみれは,かつかぬあまは,すくなかりけり
やまからす,かしらもしろく,なりにけり,わかかへるへき,ときやきぬらむ
わかれゆく,ふねはつなてに,まかすれと,こころはきみか,かたにこそひけ
みちすから,おちぬはかりに,ふるそての,たもとになにを,つつむなるらむ
ゆふたすき,たもとにかけて,いのりこし,かみのしるしを,けふみつるかな
ととのへし,かものやしろの,ゆふたすき,かへるあしたそ,みたれたりける
あけぬよの,ここちなからに,やみにしを,あさくらといひし,こゑはきききや
ひとりのみ,きのまろとのに,あらませは,なのらてやみに,かへらましやは
なのりせは,ひとしりぬへし,なのらすは,きのまろとのを,いかてすきまし
ひとまきに,ちちのこかねを,こめたれは,ひとこそなけれ,こゑはのこれり
いにしへの,ちちのこかねは,かきりあるを,あふはかりなき,きみかたまつさ
かへしけむ,むかしのひとの,たまつさを,ききてそそそく,おいのなみたは
はなのしへ,もみちのしたは,かきつめて,このもとよりや,ちらむとすらむ
たつねすは,かきやるかたや,なからまし,むかしのなかれ,みくさつもりて
いにしへの,いへのかせこそ,うれしけれ,かかることのは,ちりくとおもへは
あきかせに,あふことのはや,ちりにけむ,そのよのつきの,もりにけるかな
まことにや,をはすてやまの,つきはみる,よにさらしなと,おもふわたりを
たえやせむ,いのちそしらぬ,みなせかは,よしなかれても,こころみよきみ
いはぬまは,つつみしほとに,くちなしの,いろにやみえし,やまふきのはな
うれしさを,けふはなににか,つつむらむ,くちはてにきと,みえしたもとを
かたらへは,なくさむことも,あるものを,わすれやしなむ,こひのまきれに
しのひねを,ききこそわたれ,ほとときす,かよふかきねの,かくれなけれは
うかりける,みのふのうらの,うつせかひ,むなしきなのみ,たつはきききや
おほつかな,つくまのかみの,ためならは,いくつかなへの,かすはいるへき
はることの,ねのひはおほく,すきつれと,かかるふたはの,まつはみさりき
しのひねの,なみたなかけそ,かくはかり,せはしとおもふ,ころのたもとに
はるのひに,かへらさりせは,いにしへの,たもとなからや,くちはてなまし
はなさかり,はるのみやまの,あけほのに,おもひわするな,あきのゆふくれ
よろつよを,きみかまもりと,いのりつつ,たちつくりえの,しるしとをみよ
いにしへの,ちかきまもりを,こふるまに,これはしのふる,しるしなりけり
ちちにつけ,おもひそいつる,むかしをは,のとけかれとも,きみそいはまし
たかさこの,たかくないひそ,むかしきく,をのへのしらへ,まつそこひしき
ひかりいつる,あふひのかけを,みてしかは,としへにけるも,うれしかりけり
もろかつら,ふたはなからも,きみにかく,あふひやかみの,しるしなるらむ
みゆきせし,かものかはなみ,かへるさに,たちやよるとそ,まちあかしつる
みゆきとか,よにはふらせて,いまはたた,こすゑのさくら,ちらすなりけり
ゆふしてや,しけきこのまを,もるつきの,おほろけならて,みえしかけかは
わかなつむ,かすかのはらに,ゆきふれは,こころつかひを,けふさへそやる
みをつみて,おほつかなきは,ゆきやまぬ,かすかののへの,わかななりけり
みかさやま,かすかのはらの,あさきりに,かへりたつらむ,けさをこそまて
としつもる,かしらのゆきは,おほそらの,ひかりにあたる,けふそうれしき
としをへて,すめるしみつに,かけみれは,みつはくむまて,おいそしにける
はるくれと,きえせぬものは,としをへて,かしらにつもる,ゆきにそありける
よにとよむ,とよのみそきを,よそにして,をしほのやまの,みゆきをやみし
をしほやま,こすゑもみえす,ふりつみし,そやすめらきの,みゆきなるらむ
はやくみし,やまゐのみつの,うすこほり,うちとけさまは,かはらさりけり
おほかりし,とよのみやひと,さしわけて,しるきひかけを,あはれとそみし
ひかけくさ,かかやくかけや,まかひけむ,ますみのかかみ,くもらぬものを
かみよより,すれるころもと,いひなから,またかさねても,めつらしきかな
あしひきの,やまゐのみつは,こほれるを,いかなるひもの,とくるなるらむ
まことにや,あまたかさねし,をみころも,とよのあかりの,かくれなきよに
おもひきや,わかしめゆひし,なてしこを,ひとのまかきの,はなとみむとは
しなのなる,そのはらにこそ,あらねとも,わかははききと,いまはたのまむ
