いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
はれすのみ,ものそかなしき,あききりは,こころのうちに,たつにやあるらむ
のこりなき,いのちををしと,おもふかな,やとのあきはき,ちりはつるまて
おきあかし,みつつなかむる,はきのうへの,つゆふきみたる,あきのよのかせ
おもふこと,なけれとぬれぬ,わかそては,うたたあるのへの,はきのつゆかな
またよひに,ねたるはきかな,おなしえに,やかておきゐる,つゆもこそあれ
ひとしれす,ものをやおもふ,あきはきの,ねたるかほにて,つゆそこほるる
かきりあらむ,なかははかなく,なりぬとも,つゆけきはきの,うへをたにとへ
しらつゆも,こころおきてや,おもふらむ,ぬしもたつねぬ,やとのあきはき
おくつゆに,たわむえたたに,あるものを,いかてかをらむ,やとのあきはき
きみなくて,あれたるやとの,あさちふに,うつらなくなり,あきのゆふくれ
あきかせに,したはやさむく,なりぬらむ,こはきかはらに,うつらなくなり
けさきつる,のはらのつゆに,われぬれぬ,うつりやしぬる,はきかはなすり
いはれのの,はきのあさつゆ,わけゆけは,こひせしそての,ここちこそすれ
ささかにの,すかくあさちの,すゑことに,みたれてぬける,しらつゆのたま
いかにして,たまにもぬかむ,ゆふされは,をきのはわきに,むすふしらつゆ
そてふれは,つゆこほれけり,あきののは,まくりてにてそ,ゆくへかりける
あきののは,をるへきはなも,なかりけり,こほれてきえむ,つゆのをしさに
くさのうへに,おきてそあかす,あきののの,つゆことならぬ,わかみとおもへは
をみなへし,かけをうつせは,こころなき,みつもいろなる,ものにそありける
をみなへし,おほかるのへに,けふしまれ,うしろめたくも,おもひやるかな
あきかせに,をれしとすまふ,をみなへし,いくたひのへに,おきふしぬらむ
あきののに,かりそくれぬる,をみなへし,こよひはかりの,やともかさなむ
やとことに,おなしのへをや,うつすらむ,おもかはりせぬ,をみなへしかな
よそにのみ,みつつはゆかし,をみなへし,をらむたもとは,つゆにぬるとも
ありとても,たのむへきかは,よのなかを,しらするものは,あさかほのはな
